,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",10833,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",10833,7,0.00016754428530010846,0.78,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",10833,7,0.0002747035563823891,0.88,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",10833,7,0.0014184361755922843,0.97,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",10833,7,4.554703631070215e-05,0.8,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",10833,7,0.0021214693030068253,1.0,0.9999999999983393
6,6,"('Other', 'Unknown')","('Response', 'Fear')",10833,7,0.0006043712370139489,0.35,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",10833,7,0.0008054919182890788,0.1,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",10833,7,0.00038300492312175476,0.64,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",10833,7,0.0006397966264908636,0.06,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",10833,7,0.0010638800945018938,0.09,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",10833,7,0.0023041732280605007,1.0,0.9999999999523719
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",10833,7,0.0004232857089771926,0.61,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",10833,7,0.0009549375224668245,0.38,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",10833,7,0.0029617055456965867,0.93,0.999999557664737
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",10833,7,0.00034827595346956794,0.48,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",10833,7,0.005600790513970185,0.68,0.6504268554290934
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",10833,7,0.0005349998816120099,0.77,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",10833,7,0.0017717610859464673,0.02,0.9999999999999993
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",10833,7,0.0006465361725499387,0.6,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",10833,7,0.0005089208797916647,0.37,1.0
