,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",9680,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",9680,7,0.00028286807044677464,0.45,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",9680,7,0.0007709641158777591,0.25,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",9680,7,0.002212430879307423,0.35,0.9999999999999165
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",9680,7,2.3853995049469162e-05,0.88,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",9680,7,0.003111260543284991,0.65,0.9999999480342934
6,6,"('Other', 'Unknown')","('Response', 'Fear')",9680,7,0.00019908126933293433,0.69,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",9680,7,0.0002997709370514034,0.78,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",9680,7,0.00035809782473152546,0.29,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",9680,7,0.0001848598780967707,0.47,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",9680,7,0.0005691719560345989,0.58,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",9680,7,0.0032334353533306987,0.81,0.9999998062113211
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",9680,7,0.0002967838735474603,0.91,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",9680,7,0.0007419297411901905,0.84,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",9680,7,0.003884119861314898,0.92,0.9999457790573162
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",9680,7,0.00026904780384436413,0.51,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",9680,7,0.00754233872208914,0.25,0.13296074152748227
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",9680,7,0.0008898016264276401,0.31,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",9680,7,0.000964492736323934,0.71,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",9680,7,0.00046301407004957284,0.9,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",9680,7,0.00024841785640265497,0.96,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",9680,7,0.0010214837476344633,0.99,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",9680,7,0.007866979899956938,0.39,0.07115468198866448
23,23,"('Response', 'Anger')","('Other', 'Unknown')",9680,7,0.00042209220164925025,0.48,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",9680,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",9680,7,0.002070996139125619,0.0,0.9999999999999953
26,26,"('Response', 'Anger')","('Response', 'Arousal')",9680,7,0.0032787993255487813,0.0,0.9999996913884986
27,27,"('Response', 'Anger')","('Response', 'Disgust')",9680,7,0.0006258137141288611,0.03,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",9680,7,0.006067969305278486,0.0,0.7390270239628948
