,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",7939,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",7939,7,0.000977079348141387,0.06,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",7939,7,0.00010270935127235225,0.98,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",7939,7,0.0018861647848784273,0.43,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",7939,7,0.0009645398561139713,0.06,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",7939,7,0.0008408235560838798,1.0,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",7939,7,0.0006450731192237175,0.35,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",7939,7,0.00029474240584684714,0.53,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",7939,7,0.00010350054730344324,0.95,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",7939,7,0.0002605690297310147,0.32,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",7939,7,0.0003728989635325618,0.66,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",7939,7,0.0010707650460604246,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",7939,7,0.0005840852026684433,0.87,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",7939,7,0.0017064204074916016,0.28,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",7939,7,0.004262828939583327,0.96,0.9999975736120011
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",7939,7,0.0010497720950113836,0.11,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",7939,7,0.007021809644136107,0.85,0.8518368877464735
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",7939,7,0.0006154037467463295,0.94,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",7939,7,0.00095011732740477,0.64,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",7939,7,0.0005632371315590252,0.79,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",7939,7,0.00046108690922514747,0.72,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",7939,7,0.0010599451613155565,0.81,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",7939,7,0.007056001182902363,0.93,0.8430829399718083
23,23,"('Response', 'Anger')","('Other', 'Unknown')",7939,7,0.0005109161067174638,0.45,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",7939,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",7939,7,0.002480029282432822,0.0,0.9999999999999979
26,26,"('Response', 'Anger')","('Response', 'Arousal')",7939,7,0.00284763288933214,0.07,0.9999999999991719
27,27,"('Response', 'Anger')","('Response', 'Disgust')",7939,7,0.0004115826405590033,0.28,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",7939,7,0.005400992035883328,0.0,0.9984964151679994
29,29,"('Response', 'Anger')","('Response', 'Fear')",7939,7,0.001334888821745004,0.04,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",7939,7,0.0018514699860013477,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",7939,7,0.00102437855007429,0.08,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",7939,7,0.0009114066165996128,0.01,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",7939,7,0.0014329304435387867,0.02,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",7939,7,0.0060842851468065635,0.0,0.9827475753700924
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",7939,7,0.0013678798335163389,0.14,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",7939,7,0.0009624668402887332,0.73,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",7939,7,0.003795515057177425,0.96,0.9999999473826661
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",7939,7,0.0002704731634686789,0.84,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",7939,7,0.004933472920927331,1.0,0.9998374231817623
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",7939,7,0.001490421675855101,0.18,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",7939,7,0.0007775876009110046,0.63,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",7939,7,0.0010946519784530706,0.21,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",7939,7,0.0005578727991171755,0.51,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",7939,7,0.0012704123652657441,0.66,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",7939,7,0.006468250786697053,0.93,0.951876697714962
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",7939,7,0.00042270903815873177,0.67,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",7939,7,0.0016015753225906337,0.04,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",7939,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",7939,7,0.005712504670228255,0.0,0.9949078960840723
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",7939,7,0.001163356172664239,0.02,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",7939,7,0.005804637625797366,0.0,0.9929520561458205
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",7939,7,0.0014082892132726147,0.02,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",7939,7,0.0009487631032051176,0.03,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",7939,7,0.0009166597270052665,0.14,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",7939,7,0.00015480510632679057,0.56,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",7939,7,0.0016583280455244847,0.03,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",7939,7,0.004638157097843813,0.05,0.9999699288471546
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",7939,7,0.0010892032367289981,0.49,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",7939,7,0.002156649142346245,0.08,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",7939,7,0.003405713639641793,1.0,0.9999999989613693
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",7939,7,0.0003122706284766966,0.93,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",7939,7,0.004411601042070822,1.0,0.9999930548147212
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",7939,7,0.0006763779503886129,0.92,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",7939,7,0.0010488948420720684,0.51,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",7939,7,0.0006051720456122989,0.79,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",7939,7,0.0004082073300924111,0.82,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",7939,7,0.0012160076946039831,0.69,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",7939,7,0.0046018461902986125,1.0,0.9999759733605353
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",7939,7,0.000633287721968538,0.98,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",7939,7,0.0022543769965292816,0.01,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",7939,7,0.004392606730459322,0.0,0.9999939025298674
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",7939,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",7939,7,0.0017740672754681063,0.03,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",7939,7,0.011585119542449718,0.0,0.0009048192826950352
75,75,"('Response', 'Arousal')","('Response', 'Fear')",7939,7,0.002881245793704579,0.0,0.9999999999986475
76,76,"('Response', 'Arousal')","('Response', 'Joy')",7939,7,0.004561860633745366,0.0,0.9999813186158745
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",7939,7,0.004170869195614161,0.0,0.9999987807046088
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",7939,7,0.003115584837617733,0.0,0.9999999999671637
79,79,"('Response', 'Arousal')","('Response', 'Trust')",7939,7,0.003478437375567651,0.0,0.999999997711107
80,80,"('Response', 'Arousal')","('Response', 'Valence')",7939,7,0.011607036467840873,0.0,0.000853622662118525
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",7939,7,0.0015913566902232392,0.57,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",7939,7,0.002546246146770578,0.43,0.9999999999999933
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",7939,7,0.009362603327458452,0.53,0.10358911625645895
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",7939,7,0.000858393117423807,0.65,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",7939,7,0.010403271379923099,0.95,0.01524019277092048
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",7939,7,0.002826803417967555,0.09,0.9999999999993917
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",7939,7,0.001782165215111878,0.63,1.0
