,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",19435,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",19435,7,1.743503817810544e-05,0.91,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",19435,7,0.00010130616836209999,0.61,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",19435,7,0.0006537836504960487,0.09,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",19435,7,0.00011854048729814267,0.13,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",19435,7,0.0009468419395600767,0.18,0.9999999999999999
6,6,"('Other', 'Unknown')","('Response', 'Fear')",19435,7,4.277820047758098e-05,0.76,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",19435,7,8.737382429637743e-05,0.6,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",19435,7,0.00038208788839731283,0.02,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",19435,7,8.93787891906469e-06,0.96,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",19435,7,9.824551147242368e-05,0.75,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",19435,7,0.001264887907323118,0.06,0.9999999999737705
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",19435,7,0.0009169852183816706,0.92,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",19435,7,0.0015828176859629755,0.96,0.99999989087447
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",19435,7,0.005296367022767898,0.78,1.5585214906299605e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",19435,7,0.0007967496045690721,0.58,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",19435,7,0.002579079657773394,0.71,0.9670191303476634
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",19435,7,0.0014854688786965487,0.68,0.9999999881794384
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",19435,7,0.0023226028162395655,0.16,0.9953283798165088
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",19435,7,0.0015600679216615817,0.75,0.9999999336005088
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",19435,7,0.0011254532587233516,0.39,0.9999999999997904
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",19435,7,0.0028578001191108477,0.17,0.8573435226067534
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",19435,7,0.00157741995966193,0.13,0.9999999028922104
23,23,"('Response', 'Anger')","('Other', 'Unknown')",19435,7,3.4869593157774947e-05,0.93,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",19435,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",19435,7,0.00022355794110394124,0.06,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",19435,7,0.00014468281491453912,0.27,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",19435,7,0.0002621199816580216,0.04,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",19435,7,0.0010947299529659974,0.0,0.999999999999936
29,29,"('Response', 'Anger')","('Response', 'Fear')",19435,7,0.00023258627563888624,0.03,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",19435,7,0.0004351210952359768,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",19435,7,0.0002834351600116468,0.01,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",19435,7,3.473046859685001e-05,0.1,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",19435,7,0.0001386521939100339,0.13,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",19435,7,0.001547729605060904,0.0,0.9999999495675637
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",19435,7,0.0004810029833593122,0.67,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",19435,7,0.0010009680998307698,0.36,0.9999999999999988
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",19435,7,0.0018863897269241739,0.97,0.9999730460691393
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",19435,7,0.0006428476105862187,0.09,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",19435,7,0.0008166363711086552,1.0,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",19435,7,0.0010631911558079503,0.06,0.9999999999999821
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",19435,7,0.0006783420591014048,0.69,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",19435,7,0.0012172335682805358,0.02,0.999999999994455
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",19435,7,0.000337052246713949,0.75,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",19435,7,0.0007375040306374707,0.98,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",19435,7,0.0007372004560277668,0.2,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",19435,7,0.00036323747827955336,0.1,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",19435,7,0.0014275405727552438,0.0,0.9999999972268072
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",19435,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",19435,7,0.0011995250926345661,0.0,0.9999999999969628
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",19435,7,0.0011489325559547827,0.0,0.9999999999994968
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",19435,7,0.0015757790498372225,0.0,0.9999999062899995
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",19435,7,0.0008787393221183423,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",19435,7,0.0008862879796642351,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",19435,7,0.0006103886737010236,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",19435,7,0.0005980336414683839,0.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",19435,7,0.0008151731281742688,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",19435,7,0.0017014082473692184,0.0,0.9999988136360661
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",19435,7,0.0009274341855054479,0.34,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",19435,7,0.0010490592173032704,0.95,0.99999999999999
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",19435,7,0.004389365260128665,0.14,0.007101886022752302
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",19435,7,0.001049857319298074,0.02,0.9999999999999897
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",19435,7,0.0014032468763271694,0.96,0.9999999985357922
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",19435,7,0.0012677826423100923,0.18,0.9999999999712598
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",19435,7,0.0013043314697628466,0.35,0.999999999911374
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",19435,7,0.0017407633569773483,0.02,0.9999975583582582
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",19435,7,0.0006438034693545192,0.49,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",19435,7,0.0018168418379224784,0.23,0.9999909945591575
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",19435,7,0.0006794137484485446,0.68,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",19435,7,0.00043598531169647793,0.33,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",19435,7,0.0014194107679797977,0.0,0.9999999977558082
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",19435,7,0.003518988153005628,0.0,0.28252057288288435
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",19435,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",19435,7,0.0009265970874145959,0.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",19435,7,0.002612315074774166,0.0,0.9594172225824852
75,75,"('Response', 'Arousal')","('Response', 'Fear')",19435,7,0.0019663078855617793,0.0,0.9999144656702901
76,76,"('Response', 'Arousal')","('Response', 'Joy')",19435,7,0.002115296675089923,0.0,0.999437585574536
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",19435,7,0.001063266865675735,0.0,0.999999999999982
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",19435,7,0.0015488363760631637,0.0,0.9999999482993172
79,79,"('Response', 'Arousal')","('Response', 'Trust')",19435,7,0.0030206057231154486,0.0,0.7395061013681272
80,80,"('Response', 'Arousal')","('Response', 'Valence')",19435,7,0.003510150888350489,0.0,0.28950826218019443
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",19435,7,0.0015476440836239076,0.39,0.9999999496643257
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",19435,7,0.0023140523505364805,0.41,0.9956746383702866
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",19435,7,0.0030511594475331975,1.0,0.7134496855146132
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",19435,7,0.0009896410745735085,0.35,0.9999999999999992
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",19435,7,0.002236575792671424,0.94,0.9979293268815229
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",19435,7,0.0019793471397326224,0.23,0.999897763220557
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",19435,7,0.0023007570862937326,0.22,0.9961691210429483
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",19435,7,0.002302717462545145,0.13,0.9960994311366334
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",19435,7,0.0009393927093648127,0.72,0.9999999999999999
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",19435,7,0.0029022115587161233,0.24,0.8290681248616196
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",19435,7,0.0010794250249317255,0.76,0.9999999999999653
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",19435,7,4.305140550071183e-05,0.52,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",19435,7,0.0007572939362283159,0.0,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",19435,7,0.0004909692878662218,0.0,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",19435,7,0.0005339027404817956,0.0,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",19435,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",19435,7,0.0012884799289519476,0.0,0.999999999945275
98,98,"('Response', 'Disgust')","('Response', 'Fear')",19435,7,0.0006611637501806421,0.0,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",19435,7,0.0007279551692089989,0.0,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",19435,7,0.00044859569075043714,0.0,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",19435,7,0.00018058246585630548,0.02,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",19435,7,0.0005638724623181593,0.01,1.0
103,103,"('Response', 'Disgust')","('Response', 'Valence')",19435,7,0.0010918080552941925,0.0,0.999999999999943
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",19435,7,0.0005687232452416241,0.2,1.0
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",19435,7,0.001128149739504187,0.03,0.9999999999997679
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",19435,7,0.0014923488411965966,0.97,0.9999999860501526
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",19435,7,0.00024875872289318,0.55,1.0
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",19435,7,0.0006602996274813794,0.9,1.0
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",19435,7,0.0010292224302304136,0.02,0.9999999999999957
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",19435,7,0.0006004337746028613,0.45,1.0
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",19435,7,0.001094941136614508,0.01,0.9999999999999356
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",19435,7,0.00033413349576871034,0.5,1.0
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",19435,7,0.0007603523083188515,0.63,1.0
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",19435,7,0.0005778961191068774,0.21,1.0
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",19435,7,0.000649725962388535,0.23,1.0
116,116,"('Response', 'Dominance')","('Response', 'Anger')",19435,7,0.0025534074009498247,0.0,0.9720887863536077
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",19435,7,0.0024221049755716994,0.0,0.9892096183639683
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",19435,7,0.0045275788777147654,0.0,0.00319584656375993
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",19435,7,0.0017671634280072822,0.0,0.9999961089029039
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",19435,7,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",19435,7,0.0030383105802828454,0.0,0.7245352799949946
122,122,"('Response', 'Dominance')","('Response', 'Joy')",19435,7,0.002212581616497542,0.0,0.9983757475388746
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",19435,7,0.0018919988023078545,0.0,0.999970666196772
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",19435,7,0.0019318916828247861,0.0,0.9999472898699022
125,125,"('Response', 'Dominance')","('Response', 'Trust')",19435,7,0.0023097202730898163,0.0,0.9958414718418401
126,126,"('Response', 'Dominance')","('Response', 'Valence')",19435,7,0.002365564497550534,0.0,0.9932057586656458
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",19435,7,0.0016297644854504861,0.69,0.9999997079918856
128,128,"('Response', 'Dominance')","('Stimulus', 'Anticipation')",19435,7,0.0024769143689791833,0.81,0.9836260967930447
129,129,"('Response', 'Dominance')","('Stimulus', 'Arousal')",19435,7,0.005891663123789214,0.35,1.0609123390903363e-07
130,130,"('Response', 'Dominance')","('Stimulus', 'Disgust')",19435,7,0.0012992587001350664,0.27,0.9999999999239663
131,131,"('Response', 'Dominance')","('Stimulus', 'Dominance')",19435,7,0.0021686272763081185,1.0,0.9989784531026866
132,132,"('Response', 'Dominance')","('Stimulus', 'Fear')",19435,7,0.001998155433089959,0.65,0.9998683932987267
133,133,"('Response', 'Dominance')","('Stimulus', 'Joy')",19435,7,0.0028794188858977145,0.15,0.843963215281539
134,134,"('Response', 'Dominance')","('Stimulus', 'Sadness')",19435,7,0.002802276041097239,0.12,0.8883315889518181
135,135,"('Response', 'Dominance')","('Stimulus', 'Surprise')",19435,7,0.0011293569991640917,0.75,0.9999999999997571
136,136,"('Response', 'Dominance')","('Stimulus', 'Trust')",19435,7,0.00322912036610945,0.31,0.5467219032764903
