,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",12003,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",12003,7,5.494959896469295e-05,0.97,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",12003,7,0.0003131732823290723,0.39,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",12003,7,0.001770745244926477,0.25,0.9999999999999395
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",12003,7,0.0001569051802911822,0.34,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",12003,7,0.002431031212645466,0.59,0.999999982827369
6,6,"('Other', 'Unknown')","('Response', 'Fear')",12003,7,7.472620574308274e-05,0.98,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",12003,7,0.00016589484161063912,0.71,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",12003,7,2.9597352219668912e-05,0.99,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",12003,7,4.1866861366049575e-05,0.8,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",12003,7,0.0005569850344131553,0.16,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",12003,7,0.0021042734085290624,0.95,0.9999999999238635
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",12003,7,0.0003373204062243016,0.98,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",12003,7,0.0008752251578799227,0.46,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",12003,7,0.0034432578084193535,0.75,0.9993635324885711
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",12003,7,0.00032783672043859607,0.51,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",12003,7,0.0067002762657111335,0.23,0.02646484080133582
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",12003,7,0.0003360340340110139,1.0,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",12003,7,0.0005464485863436028,0.89,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",12003,7,0.00044607679811208,0.88,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",12003,7,0.00012486473445547623,1.0,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",12003,7,0.0010072944798484008,0.59,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",12003,7,0.0062848509482440655,0.67,0.08248601067075978
23,23,"('Response', 'Anger')","('Other', 'Unknown')",12003,7,6.669574332212008e-05,0.98,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",12003,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",12003,7,0.0005568539885232307,0.13,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",12003,7,0.002266856917602314,0.06,0.9999999986685436
