,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",24832,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",24832,7,0.00025341203796584835,0.18,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",24832,7,0.000118794414283965,1.0,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",24832,7,0.0010265702754495706,0.91,0.999999999889314
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",24832,7,0.00012714085833236052,0.41,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",24832,7,0.0014527390689006536,1.0,0.9999830423400563
6,6,"('Other', 'Unknown')","('Response', 'Fear')",24832,7,0.0001656375726285244,0.56,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",24832,7,0.000202529489546767,0.92,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",24832,7,0.00031045561767531764,0.1,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",24832,7,6.399919859455013e-05,0.82,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",24832,7,0.00039471134490925774,0.7,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",24832,7,0.0013843300422995636,1.0,0.999995990474611
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",24832,7,0.0004036467223975998,0.72,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",24832,7,0.0010810003508258336,0.04,0.9999999991911334
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",24832,7,0.003304530775042639,0.23,0.017318482203806607
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",24832,7,0.00016946030562283186,0.95,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",24832,7,0.004093631558449209,0.67,2.5870047777987182e-05
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",24832,7,0.0003974165794516704,0.92,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",24832,7,0.0007204939260254909,0.65,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",24832,7,0.0004017596584415374,0.78,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",24832,7,0.0003449278705007617,0.71,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",24832,7,0.0008334294446725892,0.96,0.9999999999999808
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",24832,7,0.00482445880047683,0.14,8.713505028623558e-09
23,23,"('Response', 'Anger')","('Other', 'Unknown')",24832,7,0.0003475093815780057,0.75,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",24832,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",24832,7,0.001062883603806517,0.0,0.9999999995748822
26,26,"('Response', 'Anger')","('Response', 'Arousal')",24832,7,0.0012951685185947225,0.01,0.9999995154721555
27,27,"('Response', 'Anger')","('Response', 'Disgust')",24832,7,0.00027008440914459193,0.04,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",24832,7,0.0024336992101798146,0.0,0.6608161135063889
29,29,"('Response', 'Anger')","('Response', 'Fear')",24832,7,0.0004141287219145408,0.01,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",24832,7,0.0012483289064157104,0.0,0.9999998580557785
31,31,"('Response', 'Anger')","('Response', 'Sadness')",24832,7,0.0003320689528203569,0.02,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",24832,7,0.0009361688548556469,0.0,0.9999999999972886
33,33,"('Response', 'Anger')","('Response', 'Trust')",24832,7,0.0006546431672610327,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",24832,7,0.0022667255437526083,0.0,0.8329352379004129
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",24832,7,0.0005360696761727398,0.08,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",24832,7,0.0003808753396767028,0.54,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",24832,7,0.001212288968794718,0.99,0.999999948043263
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",24832,7,0.000176368811008347,0.4,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",24832,7,0.002342348058161638,0.94,0.7620623071546361
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",24832,7,0.0003393526481147276,0.47,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",24832,7,0.00025975767996882376,0.85,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",24832,7,0.00022230559284810685,0.62,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",24832,7,0.00015937380143810962,0.65,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",24832,7,0.0005549767227482297,0.75,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",24832,7,0.0023271207957998898,0.98,0.7773949340037994
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",24832,7,0.0006067676277689772,0.7,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",24832,7,0.00043122765255734704,0.01,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",24832,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",24832,7,0.0022861254514232386,0.0,0.816052201593618
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",24832,7,0.00036874931740805446,0.01,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",24832,7,0.0024088426450855427,0.0,0.6897329716017174
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",24832,7,0.0010400684585387858,0.0,0.9999999998158215
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",24832,7,0.0006779680630136092,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",24832,7,0.0005315379783341466,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",24832,7,0.0007933745831370713,0.0,0.9999999999999978
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",24832,7,0.00152567878662711,0.0,0.9999323062323668
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",24832,7,0.002280388887152696,0.05,0.8211415286946611
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",24832,7,0.000299108945746757,0.62,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",24832,7,0.0005151761942325543,0.44,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",24832,7,0.0015793612295316231,0.99,0.9998290179636967
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",24832,7,0.00017770508977474838,0.63,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",24832,7,0.002945098112561528,0.99,0.129185600422558
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",24832,7,0.000290950871521464,0.87,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",24832,7,0.0008019456190357882,0.15,0.9999999999999964
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",24832,7,0.00028564552577223543,0.75,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",24832,7,0.00035678584763520983,0.36,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",24832,7,0.0010084893906369013,0.34,0.9999999999450009
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",24832,7,0.003092677146557386,1.0,0.06146243205565338
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",24832,7,0.0012532838283542307,0.86,0.9999998377057444
70,70,"('Response', 'Arousal')","('Response', 'Anger')",24832,7,0.001066359366783903,0.0,0.999999999518362
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",24832,7,0.002640996720451187,0.0,0.40695943174891913
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",24832,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",24832,7,0.0013255294848268796,0.0,0.9999989729870984
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",24832,7,0.004986203725312961,0.0,1.2139694804957912e-09
75,75,"('Response', 'Arousal')","('Response', 'Fear')",24832,7,0.0016493104966074181,0.0,0.9994863681135454
76,76,"('Response', 'Arousal')","('Response', 'Joy')",24832,7,0.0040803275824553755,0.0,2.9459959188793405e-05
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",24832,7,0.0022717075748297944,0.0,0.8286888171869712
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",24832,7,0.0020944118795784027,0.0,0.9411012907337677
79,79,"('Response', 'Arousal')","('Response', 'Trust')",24832,7,0.0030645679743371824,0.0,0.07144901509968005
80,80,"('Response', 'Arousal')","('Response', 'Valence')",24832,7,0.0048886083523358706,0.0,4.018872123978667e-09
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",24832,7,0.0007422811694015051,0.22,0.9999999999999999
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",24832,7,0.001091169264681962,0.3,0.9999999988484826
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",24832,7,0.002992332127049597,0.86,0.10317234200163439
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",24832,7,0.0005433472187787084,0.26,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",24832,7,0.005262602396249527,0.04,3.6193714691989953e-11
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",24832,7,0.0007377531573740692,0.55,0.9999999999999999
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",24832,7,0.0014277563559373773,0.07,0.9999898143518575
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",24832,7,0.00045045166598802475,0.82,1.0
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",24832,7,0.00065494968817667,0.21,1.0
