,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",28891,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",28891,7,5.6751911256234566e-05,0.6,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",28891,7,3.828481782081543e-05,0.95,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",28891,7,0.0004575060825087059,0.62,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",28891,7,0.00010109797983634917,0.06,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",28891,7,0.0006836915929567836,0.97,0.9999999999999976
6,6,"('Other', 'Unknown')","('Response', 'Fear')",28891,7,3.3040460532144804e-05,0.55,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",28891,7,0.00014209042090992003,0.23,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",28891,7,3.767540994573742e-05,0.56,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",28891,7,1.0575238953180493e-05,0.93,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",28891,7,0.00022926916895905347,0.13,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",28891,7,0.0008983515890636244,0.9,0.9999999997768153
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",28891,7,0.00024124494844315309,0.81,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",28891,7,0.000977219141866144,0.16,0.9999999947097636
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",28891,7,0.002435485457958189,0.78,0.20900880030312785
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",28891,7,0.000133569005938494,0.92,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",28891,7,0.004002146343199512,0.2,6.280005981906811e-08
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",28891,7,0.00033507781113397247,0.84,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",28891,7,0.0004501603098547394,0.93,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",28891,7,0.00045792283042832987,0.49,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",28891,7,0.00013935630529111732,1.0,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",28891,7,0.0005161695615095009,0.99,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",28891,7,0.0043322496446729815,0.11,6.167464317030635e-10
23,23,"('Response', 'Anger')","('Other', 'Unknown')",28891,7,0.00013413317041845627,0.32,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",28891,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",28891,7,7.993266584151997e-05,0.17,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",28891,7,0.0004383306667406794,0.01,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",28891,7,4.856040072925837e-06,0.2,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",28891,7,0.000881271040005239,0.0,0.9999999998942988
29,29,"('Response', 'Anger')","('Response', 'Fear')",28891,7,0.00023218304322685909,0.01,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",28891,7,0.00018299012794091888,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",28891,7,0.00045395731303559745,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",28891,7,6.406563607351084e-05,0.05,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",28891,7,0.0002491240162594136,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",28891,7,0.001115401146449895,0.0,0.9999994825099575
