,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",25907,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",25907,7,0.00018780888571794628,0.29,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",25907,7,0.00017342396040059583,0.67,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",25907,7,0.0005315211014889635,0.95,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",25907,7,0.00024967405940611254,0.07,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",25907,7,0.0009246386025190446,1.0,0.9999999999907344
6,6,"('Other', 'Unknown')","('Response', 'Fear')",25907,7,0.0001257808019012537,0.66,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",25907,7,3.3504930617149066e-05,1.0,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",25907,7,0.00019042820066344064,0.23,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",25907,7,1.8560080369395308e-05,1.0,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",25907,7,0.00022718576028268186,0.6,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",25907,7,0.0015687890969184215,0.84,0.9995749969781595
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",25907,7,0.00022954677326543043,0.94,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",25907,7,0.00032566876580121567,0.89,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",25907,7,0.0023591552732469003,0.48,0.6277915099076352
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",25907,7,0.0002068258993753809,0.7,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",25907,7,0.003570075407051367,0.61,0.0007465048244170713
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",25907,7,0.0005914815694573042,0.46,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",25907,7,0.0002702975181553879,0.79,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",25907,7,0.0003027191815355235,0.9,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",25907,7,0.00026346927353618557,0.53,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",25907,7,0.0010161137848626368,0.13,0.9999999996153096
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",25907,7,0.004186033224390723,0.2,1.5656617875503542e-06
23,23,"('Response', 'Anger')","('Other', 'Unknown')",25907,7,0.00010680834207795088,0.87,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",25907,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",25907,7,0.0006109218767837924,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",25907,7,0.0013584273572546089,0.0,0.9999918262253863
27,27,"('Response', 'Anger')","('Response', 'Disgust')",25907,7,0.00039715469433559145,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",25907,7,0.002388752362073972,0.0,0.5900336481107595
29,29,"('Response', 'Anger')","('Response', 'Fear')",25907,7,0.0002107592043090718,0.11,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",25907,7,0.0006143880193279486,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",25907,7,0.00020001833041674745,0.17,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",25907,7,0.0002895954946605746,0.04,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",25907,7,0.000844415246783071,0.0,0.9999999999997883
34,34,"('Response', 'Anger')","('Response', 'Valence')",25907,7,0.002438248525654106,0.0,0.5258792909626349
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",25907,7,0.0001784487369942009,0.88,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",25907,7,0.00026966411135639456,0.78,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",25907,7,0.0009181742571557229,1.0,0.999999999993036
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",25907,7,9.157676054222371e-05,0.85,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",25907,7,0.001983033855472762,1.0,0.9510826568087001
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",25907,7,0.0001726916638984086,0.99,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",25907,7,0.00015521089943439038,0.87,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",25907,7,0.00017545459416988394,0.87,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",25907,7,8.894617806339469e-05,1.0,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",25907,7,0.000273114992014945,0.97,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",25907,7,0.0024026612883484154,0.99,0.572083396570747
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",25907,7,0.0003711693083482252,0.41,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",25907,7,0.0006338550615040178,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",25907,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",25907,7,0.0016221183916072994,0.0,0.999044403515009
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",25907,7,0.0005696257777935334,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",25907,7,0.0025456483470283732,0.0,0.3894602184890199
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",25907,7,0.0005812845026618325,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",25907,7,0.0005222975578927894,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",25907,7,0.0006542959009461648,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",25907,7,0.0006027891886450126,0.0,1.0
