,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",28048,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",28048,7,9.228177164731931e-06,0.59,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",28048,7,1.8490150152950502e-05,0.41,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",28048,7,4.956736265517822e-05,0.6,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",28048,7,6.587740195087326e-06,0.6,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",28048,7,9.995649282775499e-06,0.98,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",28048,7,1.0548588037010855e-05,0.36,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",28048,7,1.5844678398793128e-05,0.71,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",28048,7,9.227509218264648e-06,0.38,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",28048,7,9.227509218264648e-06,0.37,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",28048,7,2.779519247194355e-05,0.58,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",28048,7,1.2025519935086575e-05,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",28048,7,0.001426786190461696,0.84,0.9997118783480898
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",28048,7,0.0018544061031752809,0.36,0.9410063187673984
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",28048,7,0.0033525047963473558,0.89,0.0004395453224625978
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",28048,7,0.0009959821573233898,0.54,0.9999999964132301
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",28048,7,0.00281811420327342,0.21,0.03679417401502516
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",28048,7,0.0020506658560647817,0.59,0.7879561622274317
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",28048,7,0.0010894679251627262,0.98,0.9999999128202006
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",28048,7,0.0013202901126755265,0.89,0.9999640609210694
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",28048,7,0.0008365588191646277,0.7,0.9999999999960199
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",28048,7,0.002124624574706984,0.77,0.6999568558561087
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",28048,7,0.0015447800419718378,0.1,0.9980685387136118
23,23,"('Response', 'Anger')","('Other', 'Unknown')",28048,7,5.844989342843635e-06,0.95,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",28048,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",28048,7,1.8050836021285324e-07,1.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",28048,7,6.286803806094634e-05,0.01,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",28048,7,5.74490422957754e-05,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",28048,7,0.0001071773056649545,0.01,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",28048,7,4.413187069973934e-08,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",28048,7,4.447116035702382e-06,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",28048,7,5.147430462376168e-08,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",28048,7,7.721421581557223e-08,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",28048,7,1.1084136100514943e-05,0.01,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",28048,7,9.992952904209446e-05,0.02,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",28048,7,2.6572671238483713e-05,0.99,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",28048,7,5.6223258866412735e-05,0.99,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",28048,7,0.00027706179940412584,0.68,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",28048,7,4.245726125748993e-05,0.4,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",28048,7,0.0002310094037619626,0.23,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",28048,7,6.522492082349376e-05,0.92,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",28048,7,0.00025427971938790634,0.14,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",28048,7,6.44330170763388e-05,0.66,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",28048,7,0.00014985389195539445,0.25,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",28048,7,0.00030537757232691336,0.03,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",28048,7,0.0001582500566176463,0.2,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",28048,7,1.022998032985207e-05,1.0,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",28048,7,1.544560291619761e-07,1.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",28048,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",28048,7,0.0005587520238956524,0.0,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",28048,7,1.1026268373688492e-07,1.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",28048,7,9.786409642963353e-05,0.06,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",28048,7,1.4712464129964138e-07,1.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",28048,7,3.383596641790391e-05,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",28048,7,1.2869955834063458e-07,1.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",28048,7,1.1582753266269663e-07,1.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",28048,7,1.4582915829376793e-05,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",28048,7,0.00017754698037777638,0.01,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",28048,7,0.00010069530646738285,0.88,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",28048,7,0.00012527622606419103,0.85,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",28048,7,0.0005385458249719214,0.0,1.0
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",28048,7,6.267985681333677e-05,0.57,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",28048,7,0.000245044808063531,0.74,1.0
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",28048,7,0.00014054331968153962,0.83,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",28048,7,0.00018750962306716162,0.52,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",28048,7,0.00010068682417254333,0.8,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",28048,7,7.432415950617482e-05,0.53,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",28048,7,0.00025634117949150515,0.64,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",28048,7,0.00015446486649594977,0.49,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",28048,7,3.850423701585652e-05,0.84,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",28048,7,0.00018913220945092116,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",28048,7,0.00040214574017779494,0.0,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",28048,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",28048,7,0.0002629248402277533,0.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",28048,7,0.00032937457396402643,0.0,1.0
75,75,"('Response', 'Arousal')","('Response', 'Fear')",28048,7,0.00018309505669658773,0.0,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",28048,7,0.00044953037273772476,0.0,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",28048,7,5.408474783493337e-07,1.0,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",28048,7,0.00018549229102971125,0.0,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",28048,7,0.0003674250702081814,0.01,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",28048,7,0.0004520041766166411,0.0,1.0
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",28048,7,0.00031947845979201316,0.77,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",28048,7,0.00040237478446706834,0.72,1.0
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",28048,7,0.001402147314226831,0.5,0.9998160381987062
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",28048,7,0.0003834458288906438,0.12,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",28048,7,0.0007443215561177043,0.58,0.9999999999999718
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",28048,7,0.000670070082503302,0.23,0.9999999999999998
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",28048,7,0.0003562462507388739,0.6,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",28048,7,0.00020265266607025087,0.99,1.0
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",28048,7,0.00024623994972960994,0.48,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",28048,7,0.0007716069333075715,0.28,0.9999999999998662
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",28048,7,0.0005141220795803562,0.13,1.0
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",28048,7,4.383563620162687e-06,0.99,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",28048,7,3.860779763799119e-08,1.0,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",28048,7,0.000253872492702533,0.0,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",28048,7,7.575350509928945e-06,0.02,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",28048,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",28048,7,0.0001498900623065584,0.01,1.0
98,98,"('Response', 'Disgust')","('Response', 'Fear')",28048,7,4.413187069973934e-08,1.0,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",28048,7,0.00018149368424852413,0.0,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",28048,7,5.147430462376168e-08,1.0,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",28048,7,0.00029154091457761364,0.0,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",28048,7,0.00013571336766917213,0.01,1.0
103,103,"('Response', 'Disgust')","('Response', 'Valence')",28048,7,0.0001682028960982552,0.02,1.0
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",28048,7,3.68033981385067e-05,0.97,1.0
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",28048,7,0.00014574815631940183,0.15,1.0
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",28048,7,0.00023630179737954736,0.04,1.0
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",28048,7,0.00011901949274553722,0.16,1.0
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",28048,7,0.00020367318584132188,0.31,1.0
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",28048,7,0.00012542546702994846,0.44,1.0
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",28048,7,0.00025571219539909307,0.03,1.0
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",28048,7,4.355662486989823e-05,0.65,1.0
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",28048,7,0.00016948577814947526,0.02,1.0
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",28048,7,0.00019852236876757783,0.26,1.0
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",28048,7,0.00024729025555751823,0.05,1.0
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",28048,7,0.0001357571428285412,0.52,1.0
116,116,"('Response', 'Dominance')","('Response', 'Anger')",28048,7,0.0001568078928261022,0.0,1.0
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",28048,7,0.001390516903314494,0.0,0.9998521344106204
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",28048,7,0.001742195485515743,0.0,0.9785641692650247
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",28048,7,0.00020469917549196238,0.0,1.0
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",28048,7,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",28048,7,0.0003814824229952266,0.0,1.0
122,122,"('Response', 'Dominance')","('Response', 'Joy')",28048,7,0.0005933864314861278,0.0,1.0
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",28048,7,0.00015681150896882818,0.0,1.0
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",28048,7,0.000393248866218285,0.0,1.0
125,125,"('Response', 'Dominance')","('Response', 'Trust')",28048,7,0.0005105031476587607,0.0,1.0
126,126,"('Response', 'Dominance')","('Response', 'Valence')",28048,7,0.0003641794171105249,0.0,1.0
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",28048,7,0.00032324505910715293,0.99,1.0
128,128,"('Response', 'Dominance')","('Stimulus', 'Anticipation')",28048,7,0.0008780055113221204,0.25,0.9999999999717375
129,129,"('Response', 'Dominance')","('Stimulus', 'Arousal')",28048,7,0.0025603760550818038,0.05,0.16385357066445982
130,130,"('Response', 'Dominance')","('Stimulus', 'Disgust')",28048,7,0.00036757661650440503,0.42,1.0
131,131,"('Response', 'Dominance')","('Stimulus', 'Dominance')",28048,7,0.0007947193251552987,0.96,0.9999999999995306
132,132,"('Response', 'Dominance')","('Stimulus', 'Fear')",28048,7,0.0005394529911951172,0.95,1.0
133,133,"('Response', 'Dominance')","('Stimulus', 'Joy')",28048,7,0.00048146709726761715,0.73,1.0
134,134,"('Response', 'Dominance')","('Stimulus', 'Sadness')",28048,7,0.0003741661370048458,0.98,1.0
135,135,"('Response', 'Dominance')","('Stimulus', 'Surprise')",28048,7,0.00021632145241244342,0.87,1.0
136,136,"('Response', 'Dominance')","('Stimulus', 'Trust')",28048,7,0.0010268876504285415,0.43,0.9999999890958964
137,137,"('Response', 'Dominance')","('Stimulus', 'Valence')",28048,7,0.0005901440578875807,0.21,1.0
138,138,"('Response', 'Fear')","('Other', 'Unknown')",28048,7,5.844989342843635e-06,1.0,1.0
139,139,"('Response', 'Fear')","('Response', 'Anger')",28048,7,3.860779763799119e-08,1.0,1.0
140,140,"('Response', 'Fear')","('Response', 'Anticipation')",28048,7,0.000253872492702533,0.0,1.0
141,141,"('Response', 'Fear')","('Response', 'Arousal')",28048,7,7.787705509090416e-05,0.0,1.0
142,142,"('Response', 'Fear')","('Response', 'Disgust')",28048,7,5.74490422957754e-05,0.0,1.0
143,143,"('Response', 'Fear')","('Response', 'Dominance')",28048,7,0.00039805440026726856,0.0,1.0
144,144,"('Response', 'Fear')","('Response', 'Fear')",28048,7,0.0,1.0,1.0
145,145,"('Response', 'Fear')","('Response', 'Joy')",28048,7,0.0002578167236463229,0.0,1.0
146,146,"('Response', 'Fear')","('Response', 'Sadness')",28048,7,5.147430462376168e-08,1.0,1.0
147,147,"('Response', 'Fear')","('Response', 'Surprise')",28048,7,0.00028293688555189594,0.0,1.0
148,148,"('Response', 'Fear')","('Response', 'Trust')",28048,7,0.00020978538515389574,0.0,1.0
149,149,"('Response', 'Fear')","('Response', 'Valence')",28048,7,0.0003151834355152894,0.0,1.0
150,150,"('Response', 'Fear')","('Stimulus', 'Anger')",28048,7,3.4388734256670354e-05,0.98,1.0
151,151,"('Response', 'Fear')","('Stimulus', 'Anticipation')",28048,7,0.0001170551380410181,0.51,1.0
152,152,"('Response', 'Fear')","('Stimulus', 'Arousal')",28048,7,0.00022254979195572124,0.89,1.0
153,153,"('Response', 'Fear')","('Stimulus', 'Disgust')",28048,7,4.0808826872939164e-05,0.42,1.0
154,154,"('Response', 'Fear')","('Stimulus', 'Dominance')",28048,7,0.00017053786139174126,0.5,1.0
155,155,"('Response', 'Fear')","('Stimulus', 'Fear')",28048,7,5.14276730463154e-05,0.91,1.0
156,156,"('Response', 'Fear')","('Stimulus', 'Joy')",28048,7,0.0002527541732255687,0.02,1.0
157,157,"('Response', 'Fear')","('Stimulus', 'Sadness')",28048,7,6.367169459314306e-05,0.65,1.0
158,158,"('Response', 'Fear')","('Stimulus', 'Surprise')",28048,7,8.773971924632642e-05,0.24,1.0
