,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",28048,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",28048,7,0.00014115630925961458,0.33,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",28048,7,3.774915858400495e-05,0.98,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",28048,7,0.00037969862422675306,0.91,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",28048,7,0.00011505968854417557,0.25,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",28048,7,0.0009793842316609942,0.63,0.999999998074661
6,6,"('Other', 'Unknown')","('Response', 'Fear')",28048,7,0.000149212384806961,0.42,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",28048,7,0.00010413640933981636,0.66,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",28048,7,0.00020623940248299617,0.16,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",28048,7,2.1778868638918878e-05,0.92,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",28048,7,0.0002226914709580516,0.47,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",28048,7,0.0011382282589683717,0.63,0.999999619531983
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",28048,7,0.001426786190461696,0.82,0.9997118783480898
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",28048,7,0.0018544061031752809,0.28,0.9410063187673984
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",28048,7,0.0032957349339177242,0.88,0.000759039700690689
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",28048,7,0.0009959821573233898,0.47,0.9999999964132301
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",28048,7,0.002759430385673578,0.31,0.05380079307455787
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",28048,7,0.0020506658560647817,0.56,0.7879561622274317
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",28048,7,0.0010894679251627262,0.96,0.9999999128202006
