,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",35950,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",35950,7,7.53451220028451e-05,0.91,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",35950,7,0.0002034434566881938,0.32,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",35950,7,0.0008988043114929537,0.62,0.9999994339988497
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",35950,7,2.8366842391755417e-05,1.0,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",35950,7,0.0014015089549515713,0.72,0.9640110492015981
6,6,"('Other', 'Unknown')","('Response', 'Fear')",35950,7,0.00018043894772696434,0.6,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",35950,7,0.00012871253365313634,0.63,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",35950,7,0.00011209799090192596,0.76,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",35950,7,4.061683464198012e-05,0.99,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",35950,7,0.00011349932454338965,0.96,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",35950,7,0.0014700297813336437,0.94,0.925567276121243
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",35950,7,0.0019724404843509485,0.08,0.1910305555282077
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",35950,7,0.0017559156628019323,0.38,0.5277744202409829
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",35950,7,0.00322199079503285,0.06,5.695590765686376e-08
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",35950,7,0.0010500808046438222,0.17,0.9999384930307132
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",35950,7,0.0023542023998925467,0.69,0.008570000267298483
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",35950,7,0.0023460834352639908,0.02,0.009303221828792618
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",35950,7,0.0017054948304117406,0.12,0.6180863835598649
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",35950,7,0.001434256755482009,0.55,0.948218257626046
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",35950,7,0.0011092663210673936,0.17,0.999736204139983
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",35950,7,0.0019010625388467333,0.61,0.28401903961922703
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",35950,7,0.00136469752063508,0.32,0.9769925206096741
23,23,"('Response', 'Anger')","('Other', 'Unknown')",35950,7,0.00022108025893089123,0.98,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",35950,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",35950,7,0.000455875682610481,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",35950,7,0.0007880509195370202,0.0,0.9999999939899563
27,27,"('Response', 'Anger')","('Response', 'Disgust')",35950,7,0.0007045179344395277,0.0,0.9999999999138225
28,28,"('Response', 'Anger')","('Response', 'Dominance')",35950,7,0.0023403211273036752,0.0,0.009857473168384479
29,29,"('Response', 'Anger')","('Response', 'Fear')",35950,7,0.00024524237077505314,0.03,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",35950,7,0.0006439580918541715,0.0,0.9999999999977094
31,31,"('Response', 'Anger')","('Response', 'Sadness')",35950,7,0.0004758853132609638,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",35950,7,0.0003999942276445591,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",35950,7,0.0008045264372208662,0.0,0.9999999873058852
34,34,"('Response', 'Anger')","('Response', 'Valence')",35950,7,0.002602214058581061,0.0,0.0005184818512218303
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",35950,7,0.0005744069880634935,0.85,0.9999999999999825
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",35950,7,0.0008778364854021493,0.33,0.9999997402092718
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",35950,7,0.0020148720314552017,0.99,0.14665280448353524
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",35950,7,0.0006997499977884619,0.03,0.9999999999340434
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",35950,7,0.001526646516503665,0.52,0.8765730804433252
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",35950,7,0.001111158288172632,0.08,0.9997244726113145
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",35950,7,0.0006112707183835923,0.68,0.9999999999997427
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",35950,7,0.0007925103002524221,0.12,0.9999999926220013
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",35950,7,0.0007620399798987501,0.0,0.9999999982563125
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",35950,7,0.0009253361984392382,0.7,0.9999985564713109
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",35950,7,0.0007510127128235041,0.16,0.9999999989906191
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",35950,7,0.0001772772101863672,1.0,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",35950,7,0.000962064497507586,0.0,0.9999951542598059
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",35950,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",35950,7,0.0021270877211245517,0.0,0.06591587196492954
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",35950,7,0.0007448263645752385,0.0,0.999999999261637
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",35950,7,0.0011774145582849037,0.0,0.99886640246601
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",35950,7,0.0006965060212845175,0.0,0.9999999999451079
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",35950,7,0.0005502697431296553,0.0,0.9999999999999973
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",35950,7,0.0008578465612918486,0.0,0.9999998804327214
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",35950,7,0.00013786352643880488,0.16,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",35950,7,0.0010311175718061092,0.0,0.9999629728100847
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",35950,7,0.0015852564186909807,0.0,0.8078180122087744
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",35950,7,0.0007732979604484904,0.56,0.9999999969946952
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",35950,7,0.0005285397654734174,1.0,0.9999999999999996
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",35950,7,0.002544227512816902,0.93,0.001049676184645465
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",35950,7,0.0004921844572563169,0.4,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",35950,7,0.0014639947722981516,0.87,0.9298160172843103
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",35950,7,0.0010878386870700693,0.28,0.9998408913015842
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",35950,7,0.0010476185660184718,0.0,0.9999423479888948
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",35950,7,0.0007578689501199639,0.44,0.9999999985797772
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",35950,7,0.0004977979929811869,0.29,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",35950,7,0.000914625153422632,0.88,0.9999990044458197
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",35950,7,0.0005208332071342441,0.84,0.9999999999999998
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",35950,7,0.0006264660121790247,0.99,0.9999999999992735
70,70,"('Response', 'Arousal')","('Response', 'Anger')",35950,7,0.0018180919145132392,0.0,0.4172626494352918
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",35950,7,0.0020297018803182463,0.0,0.13304611257391252
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",35950,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",35950,7,0.0015669976962750219,0.0,0.8311870406473674
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",35950,7,0.0028988724686157246,0.0,9.218677015421228e-06
75,75,"('Response', 'Arousal')","('Response', 'Fear')",35950,7,0.0016977358704024087,0.0,0.6317062912091207
76,76,"('Response', 'Arousal')","('Response', 'Joy')",35950,7,0.0020769999171810333,0.0,0.09588196565213147
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",35950,7,0.002322452212756513,0.0,0.011770335994733538
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",35950,7,0.0016620101386138708,0.0,0.6925839947616612
