,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",34162,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",34162,7,7.485149479702314e-05,0.46,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",34162,7,0.0001355775125281925,0.21,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",34162,7,0.0003193706973932452,0.83,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",34162,7,3.105974079354786e-06,0.96,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",34162,7,0.0008189501160702553,0.71,0.9999999962049085
6,6,"('Other', 'Unknown')","('Response', 'Fear')",34162,7,3.343966631253774e-05,0.72,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",34162,7,3.544890780510973e-05,0.88,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",34162,7,1.072567609726764e-05,0.97,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",34162,7,7.471822034251963e-05,0.44,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",34162,7,0.00012417611756979338,0.5,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",34162,7,0.0005182967607753477,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",34162,7,0.0004013168535592757,0.99,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",34162,7,0.0013230885718955527,0.53,0.9951830966761614
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",34162,7,0.002890805685676018,0.85,7.892372684914495e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",34162,7,0.0003332614013502093,0.92,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",34162,7,0.0018526904394222793,0.28,0.5194564132979755
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",34162,7,0.0006466694919362365,1.0,0.9999999999996781
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",34162,7,0.0018849427382203704,0.02,0.46450309499015197
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",34162,7,0.0007209321054367238,0.77,0.9999999999715865
