,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",13112,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",13112,7,0.00011485050555747425,0.19,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",13112,7,0.0005777647075478056,0.08,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",13112,7,0.0008280815581056883,0.28,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",13112,7,5.277657657992843e-05,0.34,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",13112,7,0.0008479826602052574,0.89,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",13112,7,2.187638352169888e-05,0.93,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",13112,7,8.157472943417282e-05,0.7,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",13112,7,0.00023028091850272906,0.16,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",13112,7,0.0003261216165198347,0.06,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",13112,7,0.00015245476039736994,0.69,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",13112,7,0.0011706155067284026,0.64,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",13112,7,0.0007104640154129832,0.24,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",13112,7,0.0010719060211055523,0.58,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",13112,7,0.004814834368175788,0.38,0.5285007997765221
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",13112,7,0.000707699588761958,0.06,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",13112,7,0.005956493321007661,0.93,0.04608285725444339
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",13112,7,0.001684468576972843,0.02,0.9999999999996855
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",13112,7,0.0015704604936012973,0.18,0.9999999999999847
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",13112,7,0.0005237823310090193,0.84,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",13112,7,0.0007242481515563558,0.28,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",13112,7,0.0014689492044230982,0.51,0.9999999999999992
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",13112,7,0.0071029017317013506,0.78,0.0006047939959993309
23,23,"('Response', 'Anger')","('Other', 'Unknown')",13112,7,0.00027740596656492726,0.21,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",13112,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",13112,7,0.0019482845033309375,0.0,0.9999999998809208
26,26,"('Response', 'Anger')","('Response', 'Arousal')",13112,7,0.0006662228555946055,0.02,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",13112,7,0.0007414642549774647,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",13112,7,0.0018846981399950322,0.0,0.9999999999678898
29,29,"('Response', 'Anger')","('Response', 'Fear')",13112,7,0.0003897802105463997,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",13112,7,0.000744262525016371,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",13112,7,0.00011807522233325533,0.16,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",13112,7,0.00024766884239400805,0.03,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",13112,7,0.0016062964696367046,0.0,0.9999999999999591
34,34,"('Response', 'Anger')","('Response', 'Valence')",13112,7,0.002451827989333819,0.0,0.999999525911484
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",13112,7,6.845872026891556e-05,0.71,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",13112,7,0.00012493038852577135,0.98,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",13112,7,0.0008139272347656688,1.0,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",13112,7,0.00019393386615141486,0.25,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",13112,7,0.0013455320844529266,1.0,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",13112,7,0.0003892945723518937,0.23,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",13112,7,0.0004003409152380015,0.45,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",13112,7,0.0002557135922125421,0.41,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",13112,7,0.00019692404156800052,0.46,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",13112,7,0.0001903987553547192,0.97,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",13112,7,0.0015836524932691344,0.99,0.9999999999999779
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",13112,7,0.00022089863156471315,0.68,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",13112,7,0.00014996484254302676,0.07,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",13112,7,0.0,1.0,1.0
