,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",29260,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",29260,7,6.068413646792511e-05,0.31,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",29260,7,1.8457755488191432e-05,0.98,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",29260,7,0.000209050340139764,1.0,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",29260,7,4.1940627429981066e-05,0.48,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",29260,7,0.0005446017852515928,0.93,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",29260,7,1.98332485114831e-05,0.76,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",29260,7,3.338494866147227e-05,0.74,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",29260,7,8.262161332183628e-05,0.37,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",29260,7,9.823253743523903e-06,0.77,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",29260,7,0.00020988361518273576,0.21,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",29260,7,0.0006677049981531826,0.94,0.9999999999999984
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",29260,7,0.0005777663396561426,0.35,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",29260,7,0.000627481039585178,0.8,0.9999999999999999
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",29260,7,0.0025711067633851508,0.91,0.08561010156741222
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",29260,7,0.000282943730267467,0.46,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",29260,7,0.004180113957962537,0.12,2.5564621530804743e-09
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",29260,7,0.000311331323251991,0.99,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",29260,7,0.0009424037773136352,0.31,0.9999999977803833
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",29260,7,0.0007579633239255082,0.24,0.9999999999996207
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",29260,7,0.0007578425391200043,0.01,0.9999999999996232
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",29260,7,0.0011468046886386827,0.16,0.9999981042664685
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",29260,7,0.004443524238729738,0.06,5.1064930062239e-11
23,23,"('Response', 'Anger')","('Other', 'Unknown')",29260,7,4.451190212024232e-05,0.78,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",29260,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",29260,7,0.0002145595769642555,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",29260,7,0.000512714467018557,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",29260,7,1.415742242187361e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",29260,7,0.000770812356736099,0.0,0.9999999999992296
29,29,"('Response', 'Anger')","('Response', 'Fear')",29260,7,0.00012117018390772093,0.05,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",29260,7,0.00029159136315646427,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",29260,7,0.00011409043679253511,0.04,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",29260,7,0.000110602552396991,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",29260,7,0.00020095901304369718,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",29260,7,0.0009145294546054777,0.0,0.9999999992808029
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",29260,7,2.23323683229723e-05,0.96,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",29260,7,6.477731490965566e-05,0.99,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",29260,7,0.0007338964348881247,0.62,0.9999999999999043
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",29260,7,6.018363671620505e-05,0.54,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",29260,7,0.001029393183606507,0.94,0.9999999469676861
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",29260,7,0.00011980762126311078,0.59,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",29260,7,8.120547116585367e-05,0.95,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",29260,7,4.992180866753926e-05,0.91,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",29260,7,0.0001307946108244079,0.25,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",29260,7,6.65785926384017e-05,1.0,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",29260,7,0.0011041946788868506,0.98,0.999999436689223
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",29260,7,0.00019008681985187184,0.47,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",29260,7,0.00015377432659699098,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",29260,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",29260,7,0.000743518467620088,0.0,0.9999999999998327
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",29260,7,6.743919732873419e-05,0.02,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",29260,7,0.0009443558119054377,0.0,0.9999999976032039
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",29260,7,0.0005413099607685906,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",29260,7,0.000459762791112314,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",29260,7,0.00029723626674483383,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",29260,7,6.489103871200342e-05,0.03,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",29260,7,0.000403784956711174,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",29260,7,0.0009808848669810102,0.0,0.9999999903937155
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",29260,7,0.00022033563107177207,0.38,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",29260,7,0.00023527317650316282,0.76,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",29260,7,0.00105636433272267,0.96,0.9999998710995349
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",29260,7,5.124626665659598e-05,0.7,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",29260,7,0.0017834259615454914,0.96,0.9380629830708853
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",29260,7,0.0002475409071942248,0.46,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",29260,7,0.00019021075187561468,0.87,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",29260,7,0.00020007848542742202,0.51,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",29260,7,7.727758452892083e-05,0.89,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",29260,7,0.0002385913844893395,0.93,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",29260,7,0.002368904353468761,0.58,0.24630585233025792
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",29260,7,0.00043048872438511,0.65,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",29260,7,0.0008408854054154148,0.0,0.999999999972718
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",29260,7,0.0010705534005556654,0.0,0.9999997977377296
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",29260,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",29260,7,0.0007057335492750952,0.0,0.9999999999999825
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",29260,7,0.0024505063613963923,0.0,0.16704617687214363
75,75,"('Response', 'Arousal')","('Response', 'Fear')",29260,7,0.0011069193342775905,0.0,0.9999993895662586
76,76,"('Response', 'Arousal')","('Response', 'Joy')",29260,7,0.0006659452689094431,0.0,0.9999999999999987
