,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",29894,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",29894,7,0.00010298111677476912,0.35,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",29894,7,0.0002099082777707826,0.17,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",29894,7,0.00030059862302001775,0.85,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",29894,7,5.820415968843986e-05,0.15,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",29894,7,0.0006403392505621895,0.98,0.9999999999999994
6,6,"('Other', 'Unknown')","('Response', 'Fear')",29894,7,2.8989861463291225e-05,0.8,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",29894,7,0.00012886754261789277,0.28,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",29894,7,2.7402666958714344e-05,0.66,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",29894,7,9.589073323922107e-05,0.13,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",29894,7,0.0001067909581517219,0.49,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",29894,7,0.000968914933682427,0.69,0.9999999866469615
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",29894,7,0.0017793712219922417,0.04,0.9184829541789776
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",29894,7,0.00187414229146925,0.58,0.8416244891566058
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",29894,7,0.0026603499701538034,0.96,0.03273705950143435
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",29894,7,0.0009727341545011308,0.27,0.9999999846299397
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",29894,7,0.002314325243256448,0.5,0.2511660232660772
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",29894,7,0.0020437167591014285,0.06,0.6288421976958191
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",29894,7,0.0021387821148496017,0.31,0.4872738621737932
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",29894,7,0.001761751201194692,0.35,0.9291793856811608
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",29894,7,0.0010229187348260896,0.38,0.9999999106213759
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",29894,7,0.0019195922761676026,0.75,0.793054104412111
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",29894,7,0.0017624633240089593,0.01,0.928767765756864
23,23,"('Response', 'Anger')","('Other', 'Unknown')",29894,7,1.1640919796308702e-05,0.99,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",29894,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",29894,7,0.00032786889895880484,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",29894,7,0.0006232148759119627,0.0,0.9999999999999998
27,27,"('Response', 'Anger')","('Response', 'Disgust')",29894,7,4.494990594996043e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",29894,7,0.001576121694422756,0.0,0.9889936981903719
29,29,"('Response', 'Anger')","('Response', 'Fear')",29894,7,3.1833623755313925e-05,0.22,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",29894,7,0.00020503025989349852,0.05,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",29894,7,9.434442864066882e-05,0.03,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",29894,7,0.00025223984919795075,0.04,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",29894,7,0.0006324434880624878,0.0,0.9999999999999997
34,34,"('Response', 'Anger')","('Response', 'Valence')",29894,7,0.0013909823698506412,0.0,0.9992564946986675
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",29894,7,0.0004485370607855513,0.53,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",29894,7,0.0005981922089296548,0.79,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",29894,7,0.0018404025288070796,0.93,0.8728096027698169
