,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",23617,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",23617,7,5.8588097428564316e-05,0.59,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",23617,7,0.0003379915027470295,0.08,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",23617,7,0.0010311721137766365,0.23,0.9999999999819633
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",23617,7,0.00011957806743253242,0.29,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",23617,7,0.0010897266718877493,0.81,0.9999999998394973
6,6,"('Other', 'Unknown')","('Response', 'Fear')",23617,7,0.000247900823418047,0.2,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",23617,7,0.000586361029477464,0.0,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",23617,7,0.00014446306616541739,0.4,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",23617,7,3.0726723184529964e-05,0.78,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",23617,7,0.00038497084039304616,0.03,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",23617,7,0.0016802732414671765,0.55,0.9997680009238483
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",23617,7,0.00020119135547280975,1.0,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",23617,7,0.0006406824259245066,0.31,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",23617,7,0.002670508768705251,0.9,0.5308946358198035
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",23617,7,0.0002662259775787183,0.58,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",23617,7,0.0038215956157680426,0.88,0.001564510952421605
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",23617,7,0.0008614914888159527,0.17,0.9999999999999909
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",23617,7,0.0007098525795061971,0.25,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",23617,7,0.000681950667046946,0.34,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",23617,7,0.0003759723722131231,0.49,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",23617,7,0.0010288290442292847,0.02,0.9999999999835419
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",23617,7,0.004845056372178292,0.32,1.096309437675913e-07
23,23,"('Response', 'Anger')","('Other', 'Unknown')",23617,7,7.003963090555385e-05,0.93,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",23617,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",23617,7,0.0005016167916172024,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",23617,7,0.0008634604914390032,0.04,0.9999999999999899
27,27,"('Response', 'Anger')","('Response', 'Disgust')",23617,7,0.0001272586494627377,0.14,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",23617,7,0.0029518540636038594,0.0,0.23178820961708257
29,29,"('Response', 'Anger')","('Response', 'Fear')",23617,7,0.0006298168888901431,0.02,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",23617,7,0.0004220309196422445,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",23617,7,0.0003924471638473195,0.02,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",23617,7,0.00031278812638856394,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",23617,7,0.0002489759921837981,0.14,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",23617,7,0.0031416426936518188,0.0,0.10543615155859698
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",23617,7,0.00020675817235642327,0.9,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",23617,7,0.0001979196139806581,0.94,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",23617,7,0.001492084857648005,1.0,0.9999915088527059
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",23617,7,0.00017296365273705114,0.61,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",23617,7,0.0023798369691097622,1.0,0.8357672827698427
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",23617,7,0.00031425039446459664,0.72,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",23617,7,0.0003210379633348727,0.52,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",23617,7,0.00014367115687710205,1.0,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",23617,7,0.000536640755915027,0.04,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",23617,7,0.0002615240495430911,0.86,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",23617,7,0.0026346475709221975,1.0,0.5733270509950745
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",23617,7,0.00013139082145396429,0.94,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",23617,7,0.0005424028981504634,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",23617,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",23617,7,0.0015248049455604718,0.0,0.9999838920857957
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",23617,7,0.0005416462417157046,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",23617,7,0.001915634818225363,0.0,0.9950983220530478
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",23617,7,0.0005039237224725099,0.03,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",23617,7,0.00048114106091219844,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",23617,7,0.00048740042428398704,0.03,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",23617,7,0.00027015736300410164,0.08,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",23617,7,0.000235867039744409,0.23,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",23617,7,0.0024097692043902022,0.0,0.810912599078519
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",23617,7,0.00043755351787291125,0.49,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",23617,7,0.00047215008801729344,0.6,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",23617,7,0.001927995888779742,1.0,0.9944044520545144
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",23617,7,0.00011420530012822088,0.99,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",23617,7,0.0029520002587036243,1.0,0.23166394709498306
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",23617,7,0.0003052961737629641,0.94,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",23617,7,0.00027997071632900327,0.83,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",23617,7,0.0002583724683642261,0.93,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",23617,7,0.0002270839374155627,0.8,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",23617,7,0.00037510460831795945,0.83,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",23617,7,0.0034223702156978724,0.99,0.02378616575998449
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",23617,7,0.000948490594761883,0.08,0.9999999999994232
70,70,"('Response', 'Arousal')","('Response', 'Anger')",23617,7,0.0012875638809169546,0.0,0.9999999264203825
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",23617,7,0.001239196704826374,0.0,0.9999999807261558
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",23617,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",23617,7,0.0009571729136974154,0.0,0.9999999999991541
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",23617,7,0.004130108742934112,0.0,0.00012472425373644125
75,75,"('Response', 'Arousal')","('Response', 'Fear')",23617,7,0.0010566996956344733,0.0,0.9999999999520909
76,76,"('Response', 'Arousal')","('Response', 'Joy')",23617,7,0.0007858516163775086,0.0,0.9999999999999999
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",23617,7,0.0011064859985930279,0.0,0.9999999997101895
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",23617,7,0.0006446705960972472,0.0,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",23617,7,0.001459675074719105,0.0,0.999995629045105
80,80,"('Response', 'Arousal')","('Response', 'Valence')",23617,7,0.004349652294110046,0.0,1.6903554921898767e-05
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",23617,7,0.0004579020829789447,0.97,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",23617,7,0.0011777259780179536,0.11,0.9999999969485994
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",23617,7,0.003988336827311525,0.37,0.0004161104244821967
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",23617,7,0.00046130092133380416,0.66,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",23617,7,0.004866067442242601,0.24,8.724967592854682e-08
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",23617,7,0.0007615946674285072,0.84,1.0
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",23617,7,0.0007190459600311038,0.61,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",23617,7,0.0009845857444708544,0.36,0.9999999999972611
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",23617,7,0.00044065412406381506,0.78,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",23617,7,0.0008741871432355153,0.55,0.9999999999999827
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",23617,7,0.005872565863061084,0.01,4.864997293907436e-13
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",23617,7,4.462574926104822e-05,0.94,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",23617,7,8.604270823447407e-05,0.14,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",23617,7,0.0005647080411859186,0.01,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",23617,7,0.000960502422112038,0.0,0.9999999999990218
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",23617,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",23617,7,0.0025276489808552863,0.0,0.6953314219796767
98,98,"('Response', 'Disgust')","('Response', 'Fear')",23617,7,0.00039044414129883075,0.03,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",23617,7,0.00042686617708776137,0.0,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",23617,7,0.0003881652422290734,0.03,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",23617,7,0.00015380103380427523,0.06,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",23617,7,0.0002764802659936271,0.06,1.0
103,103,"('Response', 'Disgust')","('Response', 'Valence')",23617,7,0.002509470738616889,0.0,0.714761078516505
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",23617,7,0.00018772077631537827,0.81,1.0
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",23617,7,0.00019037421323952068,0.82,1.0
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",23617,7,0.0008487579018813722,1.0,0.9999999999999953
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",23617,7,0.00019361591806462268,0.38,1.0
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",23617,7,0.0018136089983615538,1.0,0.9985134629250535
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",23617,7,0.00036815768829052086,0.39,1.0
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",23617,7,0.00036874128277966146,0.2,1.0
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",23617,7,0.00013375979880656655,0.97,1.0
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",23617,7,0.0006541369586581516,0.01,1.0
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",23617,7,0.00015475088778399475,0.99,1.0
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",23617,7,0.001656165184022787,1.0,0.9998406908232649
