,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",13013,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",13013,7,6.43045108935931e-05,0.43,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",13013,7,0.00012359617318210555,0.58,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",13013,7,0.0001928075717490131,0.79,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",13013,7,5.543682179952797e-05,0.5,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",13013,7,0.0003837638003427891,0.89,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",13013,7,0.00010255628522907255,0.48,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",13013,7,9.530926762023392e-05,0.38,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",13013,7,0.00010889890875104584,0.52,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",13013,7,7.722681163463237e-05,0.16,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",13013,7,0.00014866515997452278,0.26,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",13013,7,0.00047519941880720635,0.9,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",13013,7,0.0015231618434049655,0.89,0.9999999999999972
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",13013,7,0.004164786885465144,0.09,0.8954646346537707
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",13013,7,0.009265641630880068,0.15,6.084413861628946e-09
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",13013,7,0.0010730340619957376,0.83,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",13013,7,0.004601644477535819,0.18,0.6874472405620161
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",13013,7,0.0030477530852005543,0.36,0.9997727998866991
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",13013,7,0.0030404036534583566,0.51,0.9997865311136345
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",13013,7,0.002708602043801999,0.46,0.9999915091789808
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",13013,7,0.00181918887828036,0.18,0.9999999999943392
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",13013,7,0.0046754895490938924,0.1,0.6419934325007466
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",13013,7,0.001991455254517174,0.17,0.999999999791982
23,23,"('Response', 'Anger')","('Other', 'Unknown')",13013,7,6.44733774137242e-05,0.63,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",13013,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",13013,7,0.0007789106659043013,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",13013,7,0.000765669571767828,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",13013,7,1.259934563817946e-05,0.13,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",13013,7,0.0009697978691948344,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",13013,7,1.9496529492341768e-05,0.17,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",13013,7,0.00027691765381877647,0.01,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",13013,7,0.00012641476492706344,0.09,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",13013,7,9.22394770879803e-06,0.11,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",13013,7,0.00025303871366124677,0.02,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",13013,7,0.0010681153194357321,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",13013,7,0.0007777936726792172,0.22,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",13013,7,0.0008983930680280269,0.61,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",13013,7,0.0021007379909248297,0.28,0.9999999984104709
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",13013,7,0.0005479654390407969,0.22,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",13013,7,0.0008415485482503132,0.62,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",13013,7,0.001064717697178475,0.18,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",13013,7,0.000309663786176152,1.0,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",13013,7,0.0010228868443154305,0.13,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",13013,7,0.00015304017028875408,0.95,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",13013,7,0.0005182764449730228,1.0,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",13013,7,0.0005735779112084171,0.22,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",13013,7,4.738449943780815e-05,0.92,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",13013,7,0.00030844445813822636,0.02,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",13013,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",13013,7,0.00035359100196516864,0.14,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",13013,7,3.6484281061742875e-05,0.13,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",13013,7,0.0012716940469846415,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",13013,7,0.00020066007705266172,0.01,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",13013,7,1.9552064833886064e-05,0.5,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",13013,7,0.00039941803648129023,0.0,1.0
