,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",34955,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",34955,7,8.720165852775383e-05,0.35,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",34955,7,5.750075240480364e-05,0.58,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",34955,7,0.0004884945449394674,0.42,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",34955,7,6.219062941717734e-05,0.42,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",34955,7,0.0009556584934833968,0.36,0.9999983526902232
6,6,"('Other', 'Unknown')","('Response', 'Fear')",34955,7,0.00013138459341202814,0.27,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",34955,7,4.705556732931794e-05,0.59,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",34955,7,0.00011797431970334284,0.29,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",34955,7,2.845003980977957e-05,0.74,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",34955,7,4.7994100748492395e-05,0.96,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",34955,7,0.0010911728896411113,0.46,0.9999184514779725
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",34955,7,0.0008276462491677909,0.84,0.9999999871875215
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",34955,7,0.0014257011789605392,0.48,0.969956698846429
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",34955,7,0.0031954120078373956,0.26,3.755273300098949e-07
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",34955,7,0.000728522269100329,0.59,0.9999999998933573
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",34955,7,0.0022520205546407495,0.84,0.03967832168954466
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",34955,7,0.0012383321398837812,0.6,0.9981081182099488
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",34955,7,0.0012280487332066577,0.8,0.9984333730701453
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",34955,7,0.001148093585026763,0.52,0.9996900900563247
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",34955,7,0.0010800945582782465,0.03,0.9999383092745032
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",34955,7,0.0021383666849587347,0.07,0.09439283500429219
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",34955,7,0.0010442279577191,0.11,0.9999761270813039
23,23,"('Response', 'Anger')","('Other', 'Unknown')",34955,7,5.8697564707579774e-05,0.84,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",34955,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",34955,7,0.0004056959351536863,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",34955,7,0.0004932844259907522,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",34955,7,0.00022975571960782192,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",34955,7,0.0014257012480273109,0.0,0.9699566745266851
29,29,"('Response', 'Anger')","('Response', 'Fear')",34955,7,0.00017574465779595437,0.03,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",34955,7,0.00021967777454430247,0.02,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",34955,7,0.00013883677114123925,0.02,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",34955,7,0.0003050174662549108,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",34955,7,0.0004880382702582783,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",34955,7,0.001380534143495654,0.0,0.982835432224603
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",34955,7,0.0004592096625362534,0.15,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",34955,7,0.0005338437997097257,0.44,0.9999999999999998
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",34955,7,0.0015193783992504305,0.97,0.9201948034918198
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",34955,7,0.0006182957736167688,0.01,0.9999999999998735
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",34955,7,0.0013497681261761506,0.14,0.9886958583244833
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",34955,7,0.0005381974931324459,0.11,0.9999999999999998
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",34955,7,0.0005890412236204509,0.19,0.9999999999999846
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",34955,7,0.00038970489794633257,0.41,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",34955,7,0.0003313536603630532,0.27,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",34955,7,0.0006842422269524605,0.35,0.9999999999912726
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",34955,7,0.00035328652563726344,0.23,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",34955,7,0.00036637410319372704,0.03,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",34955,7,0.00047881978636312713,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",34955,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",34955,7,0.0010639144397729175,0.0,0.9999594439708204
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",34955,7,0.0004839023944427405,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",34955,7,0.0012590925426215788,0.0,0.9972665183489793
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",34955,7,0.0002386983347066294,0.01,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",34955,7,0.0005843507138649481,0.0,0.9999999999999891
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",34955,7,0.0002119796166161004,0.01,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",34955,7,0.00044177235762799704,0.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",34955,7,0.0005864600708843678,0.0,0.9999999999999872
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",34955,7,0.0011656621821258405,0.0,0.999546630331036
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",34955,7,0.0004527141055490722,0.38,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",34955,7,0.0007037318179491052,0.56,0.9999999999729126
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",34955,7,0.0027163958554082238,0.15,0.0003175839006559489
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",34955,7,0.0005176940508397686,0.11,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",34955,7,0.0009669373143462261,1.0,0.9999976185317572
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",34955,7,0.0005975637462345472,0.38,0.999999999999971
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",34955,7,0.0005574992909543091,0.75,0.9999999999999987
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",34955,7,0.0004275533402677784,0.8,1.0
