,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",26582,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",26582,7,5.8092733973611915e-05,0.25,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",26582,7,4.978789379986219e-05,0.6,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",26582,7,0.0004286714013104373,0.12,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",26582,7,2.7952841680818113e-05,0.61,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",26582,7,0.000542523707297705,0.51,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",26582,7,7.66148183982361e-05,0.27,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",26582,7,8.702303465550482e-05,0.27,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",26582,7,2.559449386725805e-05,0.81,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",26582,7,1.2042214033588515e-05,0.81,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",26582,7,0.00030309509521643253,0.02,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",26582,7,0.0008407708309076724,0.21,0.9999999999994754
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",26582,7,0.0003458866377799933,0.84,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",26582,7,0.0004564309544642661,0.68,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",26582,7,0.0025121294818275766,0.57,0.35135042561983987
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",26582,7,0.0003005401806207686,0.51,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",26582,7,0.0043584225536643815,0.11,5.650518253297321e-08
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",26582,7,0.0004262827090273128,0.78,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",26582,7,0.0004152313955649928,0.64,1.0
