,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",38535,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",38535,7,6.0625842478655947e-05,0.31,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",38535,7,1.3305793158029915e-05,1.0,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",38535,7,0.00038228234793563555,0.33,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",38535,7,3.08432416535789e-05,0.32,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",38535,7,0.0005455816424303572,0.72,0.9999999999999616
6,6,"('Other', 'Unknown')","('Response', 'Fear')",38535,7,0.00018147533089153355,0.04,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",38535,7,1.1268677972900391e-05,0.93,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",38535,7,9.716040799079886e-05,0.17,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",38535,7,1.1022778816828888e-05,0.95,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",38535,7,2.3731655729163825e-05,0.98,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",38535,7,0.0005835051611600405,0.81,0.9999999999993204
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",38535,7,0.0010106295992241556,0.45,0.9998574412981769
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",38535,7,0.0012509244916795181,0.81,0.9831624624241497
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",38535,7,0.0022987605063931626,0.92,0.0026505093960760284
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",38535,7,0.0005642749576655493,0.55,0.9999999999998359
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",38535,7,0.001786746659054413,0.59,0.263762843455865
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",38535,7,0.0018663159028661069,0.0,0.16073022006740167
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",38535,7,0.0009394103729721919,0.86,0.9999811846404721
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",38535,7,0.0009125098056254926,0.7,0.9999920057218474
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",38535,7,0.0005268485946642691,0.92,0.9999999999999917
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",38535,7,0.001966308154885075,0.1,0.07644793731537847
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",38535,7,0.0009051135562335154,0.06,0.9999937415123499
23,23,"('Response', 'Anger')","('Other', 'Unknown')",38535,7,1.51190559482721e-05,0.98,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",38535,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",38535,7,0.0001424285484541214,0.03,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",38535,7,0.00036203261151683536,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",38535,7,2.0594857959054737e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",38535,7,0.0006688348604164331,0.0,0.9999999998293934
29,29,"('Response', 'Anger')","('Response', 'Fear')",38535,7,0.00018633654601609142,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",38535,7,0.00030977496357496626,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",38535,7,0.00017229244708339417,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",38535,7,0.00010398862914653979,0.05,1.0
