,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",25565,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",25565,7,2.394185915581607e-05,0.56,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",25565,7,6.250875184756731e-06,0.96,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",25565,7,9.46761750289602e-05,0.91,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",25565,7,1.7915436312314597e-05,0.53,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",25565,7,0.00031333681059274174,0.94,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",25565,7,3.161130769196757e-05,0.52,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",25565,7,8.687905476406047e-06,0.87,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",25565,7,3.2453741146173224e-05,0.61,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",25565,7,2.0219901851457944e-05,0.78,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",25565,7,3.7366110999499717e-06,0.95,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",25565,7,0.0004179781020460157,0.94,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",25565,7,0.00027778770004658444,0.59,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",25565,7,0.0003054929205081332,0.79,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",25565,7,0.0020372416706742526,0.85,0.9398423680000481
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",25565,7,0.00011692249078428176,0.73,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",25565,7,0.003527981171911283,0.73,0.0015949807290372986
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",25565,7,0.00026588399439743035,0.93,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",25565,7,0.00044796362708300413,0.22,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",25565,7,0.0002962828513201516,0.75,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",25565,7,0.00021509906004453226,0.75,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",25565,7,0.0004584167987720444,0.54,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",25565,7,0.0036383734748866576,0.89,0.0006245510606005533
23,23,"('Response', 'Anger')","('Other', 'Unknown')",25565,7,2.4951823281741204e-05,0.63,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",25565,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",25565,7,0.00013889178248502072,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",25565,7,0.0004600769926484361,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",25565,7,6.53540453709385e-07,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",25565,7,0.00029615327323244525,0.02,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",25565,7,7.815639024666113e-07,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",25565,7,0.00035610360045619185,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",25565,7,4.707599473348051e-05,0.05,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",25565,7,4.146219338451677e-05,0.03,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",25565,7,0.00025077222707461157,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",25565,7,0.000642590255785458,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",25565,7,7.063619504315568e-05,0.26,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",25565,7,1.8874442197429084e-05,1.0,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",25565,7,0.0003902781480272981,0.93,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",25565,7,2.890844494600916e-05,0.73,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",25565,7,0.0006087212988490026,0.97,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",25565,7,4.146583344153532e-05,0.74,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",25565,7,0.0002477627168936113,0.05,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",25565,7,5.2227492583843736e-05,0.76,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",25565,7,1.4906370257592988e-05,0.87,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",25565,7,0.00032475088145169804,0.04,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",25565,7,0.0005756252131543931,1.0,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",25565,7,7.886871620456926e-05,0.36,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",25565,7,0.0001217322293452214,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",25565,7,0.0,1.0,1.0
