,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",12099,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",12099,7,5.919102754934584e-05,0.18,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",12099,7,6.669353774325468e-05,0.36,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",12099,7,0.00024043964075674045,0.55,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",12099,7,2.805419641209922e-05,0.98,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",12099,7,0.0007581934372278146,0.47,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",12099,7,4.797036031441994e-05,0.43,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",12099,7,5.6691386524328145e-05,0.28,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",12099,7,4.9240322279569936e-05,0.44,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",12099,7,3.4761962058657316e-05,0.87,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",12099,7,0.00011615370015956409,0.26,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",12099,7,0.0007083178617049749,0.64,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",12099,7,0.0014292229515136573,0.58,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",12099,7,0.003099985833623703,0.22,0.9999491197746326
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",12099,7,0.0071447464511078616,0.96,0.0051266049531403235
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",12099,7,0.0006213427156818514,0.88,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",12099,7,0.0034878858173192774,0.95,0.9989534463225422
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",12099,7,0.0017210248657656706,0.56,0.9999999999999751
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",12099,7,0.0033478447697672838,0.06,0.9996123174726379
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",12099,7,0.002347488926448514,0.3,0.9999999935012156
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",12099,7,0.0007305694467544978,0.89,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",12099,7,0.0022145973412604253,0.83,0.9999999992536325
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",12099,7,0.0009639178560556342,0.77,1.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",12099,7,0.00013964609168211958,0.18,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",12099,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",12099,7,3.5483539489530515e-05,0.1,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",12099,7,0.0009345147155582611,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",12099,7,0.00040997504771449466,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",12099,7,0.0015674730565425274,0.0,0.9999999999999997
29,29,"('Response', 'Anger')","('Response', 'Fear')",12099,7,2.56687986594054e-06,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",12099,7,0.0002956321434415417,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",12099,7,1.8130841515767454e-06,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",12099,7,1.1152132940453457e-05,0.12,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",12099,7,0.00029273286627763516,0.01,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",12099,7,0.0011583929029894806,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",12099,7,0.0005977185191464,0.22,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",12099,7,0.0006700729674930531,0.51,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",12099,7,0.0018189783400759051,0.51,0.9999999999997303
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",12099,7,0.000515065438290243,0.14,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",12099,7,0.001098688490707163,0.65,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",12099,7,0.0006614844165778966,0.15,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",12099,7,0.0007053167701453315,0.56,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",12099,7,0.0006433308458351875,0.27,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",12099,7,0.00022449381533020594,0.58,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",12099,7,0.0005388887271562501,0.76,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",12099,7,0.00024648401902735477,0.71,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",12099,7,8.673431268398537e-05,0.41,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",12099,7,2.3884644948967317e-05,0.07,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",12099,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",12099,7,0.000484284323881062,0.02,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",12099,7,3.754578486054589e-06,1.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",12099,7,0.0010431377085937674,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",12099,7,8.411425652667062e-05,0.02,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",12099,7,0.0001809128277745699,0.02,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",12099,7,2.276892323214349e-05,0.05,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",12099,7,1.9362064401664257e-05,0.08,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",12099,7,0.00012108078092017546,0.07,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",12099,7,0.0018328427291834026,0.0,0.9999999999996279
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",12099,7,0.00033912071727088607,0.82,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",12099,7,0.0010689706637494146,0.32,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",12099,7,0.0023731610277536856,0.26,0.9999999903642336
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",12099,7,0.00022341044057310516,0.59,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",12099,7,0.0010509180294200476,0.95,1.0
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",12099,7,0.000900669946000506,0.13,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",12099,7,0.0007029575193122848,0.59,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",12099,7,0.0005696112253415259,0.6,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",12099,7,0.00016402261665818775,0.83,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",12099,7,0.0008670904008938977,0.5,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",12099,7,0.0004202056510749813,0.42,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",12099,7,0.00011514546007958303,0.82,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",12099,7,0.000636304991160183,0.01,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",12099,7,0.00034880325425230336,0.06,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",12099,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",12099,7,0.00017447695952593778,0.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",12099,7,0.002469220536147895,0.0,0.999999960565808
75,75,"('Response', 'Arousal')","('Response', 'Fear')",12099,7,6.970831311552334e-05,0.16,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",12099,7,0.0006168408510034835,0.0,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",12099,7,0.00023128461029138072,0.02,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",12099,7,3.1217991424046405e-05,0.17,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",12099,7,0.0018820269530305386,0.0,0.9999999999988666
80,80,"('Response', 'Arousal')","('Response', 'Valence')",12099,7,0.0022176647306041226,0.0,0.9999999992134552
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",12099,7,0.0011695951125328852,0.49,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",12099,7,0.0017870504276921721,0.57,0.9999999999998734
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",12099,7,0.004380518775974719,1.0,0.9228943640188478
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",12099,7,0.00039499111836759727,0.81,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",12099,7,0.002565528109336415,0.92,0.9999998529107601
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",12099,7,0.00124998437182103,0.43,1.0
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",12099,7,0.0014801495390882142,0.8,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",12099,7,0.0008599159035486759,0.92,1.0
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",12099,7,0.0003940315664357844,0.98,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",12099,7,0.0019430959158836627,0.46,0.9999999999957464
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",12099,7,0.0005395470155393366,0.86,1.0
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",12099,7,0.0001614024903326886,0.1,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",12099,7,8.086788793618738e-05,0.03,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",12099,7,1.2878954085365201e-05,0.09,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",12099,7,0.0006701862372939536,0.0,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",12099,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",12099,7,0.0005014072368308413,0.0,1.0
98,98,"('Response', 'Disgust')","('Response', 'Fear')",12099,7,5.878828416447786e-05,0.06,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",12099,7,0.0003473751947970121,0.01,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",12099,7,8.365635288054669e-07,1.0,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",12099,7,9.874596785655882e-06,0.02,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",12099,7,0.0008152247130653446,0.0,1.0
103,103,"('Response', 'Disgust')","('Response', 'Valence')",12099,7,0.0007712604369071914,0.01,1.0
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",12099,7,0.000437415228649445,0.27,1.0
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",12099,7,0.00026160571393188636,0.82,1.0
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",12099,7,0.0011924971115479144,0.01,1.0
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",12099,7,0.00014902269008628153,0.39,1.0
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",12099,7,0.0006803008748747367,0.55,1.0
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",12099,7,0.0002732154121143988,0.41,1.0
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",12099,7,0.00031393885677483564,0.61,1.0
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",12099,7,0.00044882454128480383,0.25,1.0
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",12099,7,0.00012707007509331732,0.58,1.0
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",12099,7,0.0004883200747193061,0.34,1.0
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",12099,7,0.00017196698767793348,0.48,1.0
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",12099,7,0.00022907264314328944,0.82,1.0
116,116,"('Response', 'Dominance')","('Response', 'Anger')",12099,7,0.0012566513390593272,0.0,1.0
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",12099,7,0.0016962672521839103,0.0,0.9999999999999868
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",12099,7,0.0036871748093950754,0.0,0.99637096515003
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",12099,7,0.0006116351100205361,0.0,1.0
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",12099,7,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",12099,7,0.0003681022694568596,0.04,1.0
122,122,"('Response', 'Dominance')","('Response', 'Joy')",12099,7,0.0011305003605301279,0.0,1.0
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",12099,7,0.00038730301330056006,0.0,1.0
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",12099,7,0.0003038788774233856,0.02,1.0
125,125,"('Response', 'Dominance')","('Response', 'Trust')",12099,7,0.0013628731510536452,0.0,1.0
126,126,"('Response', 'Dominance')","('Response', 'Valence')",12099,7,0.0012261815369886476,0.25,1.0
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",12099,7,0.0017077266162265727,0.45,0.9999999999999823
128,128,"('Response', 'Dominance')","('Stimulus', 'Anticipation')",12099,7,0.003550983868490136,0.11,0.9984161153567153
129,129,"('Response', 'Dominance')","('Stimulus', 'Arousal')",12099,7,0.008527567167865808,0.49,1.4279954066553913e-05
130,130,"('Response', 'Dominance')","('Stimulus', 'Disgust')",12099,7,0.0008019451798470633,0.76,1.0
131,131,"('Response', 'Dominance')","('Stimulus', 'Dominance')",12099,7,0.003209085323229403,1.0,0.9998698167776339
132,132,"('Response', 'Dominance')","('Stimulus', 'Fear')",12099,7,0.002133627151088021,0.2,0.9999999998212483
133,133,"('Response', 'Dominance')","('Stimulus', 'Joy')",12099,7,0.0026206338579137078,0.53,0.9999997000313077
134,134,"('Response', 'Dominance')","('Stimulus', 'Sadness')",12099,7,0.0015833144900253202,0.9,0.9999999999999994
135,135,"('Response', 'Dominance')","('Stimulus', 'Surprise')",12099,7,0.0007273385954224334,0.9,1.0
136,136,"('Response', 'Dominance')","('Stimulus', 'Trust')",12099,7,0.003575171084269413,0.11,0.998153065568545
137,137,"('Response', 'Dominance')","('Stimulus', 'Valence')",12099,7,0.0015433686005749646,0.19,0.9999999999999998
138,138,"('Response', 'Fear')","('Other', 'Unknown')",12099,7,0.00014283636539248883,0.13,1.0
139,139,"('Response', 'Fear')","('Response', 'Anger')",12099,7,0.0004774065073678426,0.0,1.0
140,140,"('Response', 'Fear')","('Response', 'Anticipation')",12099,7,4.476334399468743e-05,0.02,1.0
141,141,"('Response', 'Fear')","('Response', 'Arousal')",12099,7,0.0007751558708250972,0.0,1.0
142,142,"('Response', 'Fear')","('Response', 'Disgust')",12099,7,0.00040014050244695953,0.0,1.0
143,143,"('Response', 'Fear')","('Response', 'Dominance')",12099,7,0.0010406558753530833,0.0,1.0
144,144,"('Response', 'Fear')","('Response', 'Fear')",12099,7,0.0,1.0,1.0
145,145,"('Response', 'Fear')","('Response', 'Joy')",12099,7,2.3999983038168e-06,1.0,1.0
146,146,"('Response', 'Fear')","('Response', 'Sadness')",12099,7,0.000436497447064628,0.0,1.0
147,147,"('Response', 'Fear')","('Response', 'Surprise')",12099,7,1.0034242056734361e-05,0.08,1.0
148,148,"('Response', 'Fear')","('Response', 'Trust')",12099,7,0.0003164125465497519,0.0,1.0
149,149,"('Response', 'Fear')","('Response', 'Valence')",12099,7,0.0006988097856428803,0.0,1.0
150,150,"('Response', 'Fear')","('Stimulus', 'Anger')",12099,7,0.00012710661644040842,0.84,1.0
151,151,"('Response', 'Fear')","('Stimulus', 'Anticipation')",12099,7,0.00033843887811008664,0.85,1.0
152,152,"('Response', 'Fear')","('Stimulus', 'Arousal')",12099,7,0.0010603693844461722,0.96,1.0
153,153,"('Response', 'Fear')","('Stimulus', 'Disgust')",12099,7,0.0001688967367931695,0.36,1.0
154,154,"('Response', 'Fear')","('Stimulus', 'Dominance')",12099,7,0.0007241447165166064,0.8,1.0
155,155,"('Response', 'Fear')","('Stimulus', 'Fear')",12099,7,0.00026284864118298473,0.53,1.0
156,156,"('Response', 'Fear')","('Stimulus', 'Joy')",12099,7,0.00028494903374589226,0.9,1.0
157,157,"('Response', 'Fear')","('Stimulus', 'Sadness')",12099,7,0.00040777776613275745,0.45,1.0
