,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",4631,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",4631,7,0.0004824238187743645,0.24,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",4631,7,0.0003866732617499877,0.47,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",4631,7,0.0012732419527745826,0.58,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",4631,7,0.00013480080540870668,0.66,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",4631,7,0.0017990652145293455,0.84,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",4631,7,0.0007098424832812392,0.23,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",4631,7,0.000174293071115043,0.65,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",4631,7,0.0007842042078382119,0.29,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",4631,7,0.0001226455812678193,0.91,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",4631,7,0.00023366342387065426,0.73,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",4631,7,0.0017174191620706932,0.91,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",4631,7,0.00035804766199921484,0.96,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",4631,7,0.001093747804186434,0.43,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",4631,7,0.0041040234464743315,0.89,0.9999999999999996
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",4631,7,0.00021809884112470673,0.7,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",4631,7,0.006669262487830314,0.93,0.9999998797591915
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",4631,7,0.000839363310321137,0.74,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",4631,7,0.0007540606868694108,0.32,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",4631,7,0.0005477957514565135,0.81,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",4631,7,9.808301088324884e-05,0.98,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",4631,7,0.0012951145577655605,0.35,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",4631,7,0.008493440288740857,0.81,0.9998213287245461
23,23,"('Response', 'Anger')","('Other', 'Unknown')",4631,7,0.00026836437004263043,0.52,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",4631,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",4631,7,0.002491950786401255,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",4631,7,0.0019965173125529945,0.1,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",4631,7,0.0011895329657305453,0.01,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",4631,7,0.010373100164711794,0.0,0.984569342801921
29,29,"('Response', 'Anger')","('Response', 'Fear')",4631,7,0.00243461367221081,0.01,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",4631,7,0.0021124854907799613,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",4631,7,0.001237860521322708,0.02,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",4631,7,0.0012826364740833726,0.05,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",4631,7,0.0009398864826256576,0.16,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",4631,7,0.007034043852322596,0.0,0.9999992943983844
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",4631,7,0.00023046856697714284,0.87,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",4631,7,0.0002999471766155843,0.76,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",4631,7,0.002979918924623041,0.86,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",4631,7,0.00011191130855622714,0.81,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",4631,7,0.003187637656213599,1.0,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",4631,7,0.00035982685410528367,0.96,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",4631,7,0.00048509309926596505,0.5,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",4631,7,0.0002707811916118549,0.81,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",4631,7,0.0004242987540184414,0.5,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",4631,7,0.0007949963688959856,0.55,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",4631,7,0.003360201770083164,1.0,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",4631,7,0.0002465587428591355,0.71,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",4631,7,0.0029233785999681697,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",4631,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",4631,7,0.006118627680054617,0.0,0.9999999942352693
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",4631,7,0.00260273054454424,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",4631,7,0.00836957314479576,0.0,0.9998787306039024
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",4631,7,0.004780983085138849,0.0,0.9999999999996654
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",4631,7,0.0011951769481245516,0.06,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",4631,7,0.0045355883142984225,0.0,0.9999999999999651
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",4631,7,0.0009736922945877076,0.1,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",4631,7,0.0019006032785011953,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",4631,7,0.007411477859195321,0.0,0.9999963185236693
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",4631,7,0.0009945806118723324,0.47,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",4631,7,0.00045310900188656755,0.83,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",4631,7,0.0020548071686038007,1.0,1.0
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",4631,7,0.00022277575929876973,0.7,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",4631,7,0.0050544439004754855,1.0,0.9999999999965792
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",4631,7,0.002081556722797856,0.17,1.0
