,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",49913,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",49913,7,3.056870564497651e-05,0.47,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",49913,7,6.8145119369330684e-06,0.78,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",49913,7,6.203583751055295e-05,0.99,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",49913,7,1.78010547257904e-05,0.47,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",49913,7,0.00023761657499218837,0.82,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",49913,7,4.061786873656523e-05,0.35,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",49913,7,1.1073648932373124e-05,0.7,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",49913,7,3.262568349298666e-05,0.44,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",49913,7,2.0605189477662788e-06,0.95,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",49913,7,0.00015988799883043324,0.01,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",49913,7,0.0002531416032645351,0.95,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",49913,7,0.0003290678184532137,0.48,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",49913,7,0.0006041091437869729,0.08,0.999999944733744
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",49913,7,0.0021532779290465826,0.06,2.3583776229685327e-06
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",49913,7,0.0003268346928440261,0.05,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",49913,7,0.002779328933059393,0.0,4.721778523730791e-13
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",49913,7,0.00020296127054298375,0.97,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",49913,7,0.00042857920387895463,0.55,0.9999999999999185
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",49913,7,0.00038726999097785716,0.36,0.9999999999999991
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",49913,7,0.0005133309642296083,0.02,0.9999999998642041
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",49913,7,0.0004229250601820338,0.79,0.9999999999999541
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",49913,7,0.0028007752225699,0.01,2.6123547769429933e-13
23,23,"('Response', 'Anger')","('Other', 'Unknown')",49913,7,4.531209773274593e-06,1.0,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",49913,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",49913,7,5.577850607040382e-05,0.02,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",49913,7,0.00022133016077116472,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",49913,7,8.755578002765801e-05,0.02,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",49913,7,0.00043270859805221817,0.0,0.9999999999998769
29,29,"('Response', 'Anger')","('Response', 'Fear')",49913,7,0.00020412626953905886,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",49913,7,1.2281525430446866e-05,0.08,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",49913,7,0.00021932276043587113,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",49913,7,0.00010774113284918041,0.02,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",49913,7,5.781757997662936e-05,0.01,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",49913,7,0.00036114059386735224,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",49913,7,7.963950271700945e-05,0.32,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",49913,7,0.00028419837850889853,0.0,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",49913,7,0.0006426833525164283,0.19,0.9999995529578553
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",49913,7,7.95334735239591e-05,0.22,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",49913,7,0.0005436178919954158,1.0,0.9999999987802599
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",49913,7,0.00012975757755355455,0.3,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",49913,7,5.299336633824491e-05,0.85,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",49913,7,0.00010831675392211118,0.33,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",49913,7,4.927420826448436e-05,0.62,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",49913,7,6.694870570691903e-05,0.94,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",49913,7,0.0007792500303891251,0.88,0.9998620434744769
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",49913,7,3.987522085430842e-05,0.71,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",49913,7,0.00029014982068014636,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",49913,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",49913,7,0.0006450648092565139,0.0,0.9999994953078327
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",49913,7,0.00027745179367428304,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",49913,7,0.0004828319157851413,0.0,0.9999999999881035
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",49913,7,0.00027703276348561265,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",49913,7,5.532028621218797e-05,0.03,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",49913,7,0.0002380881209988005,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",49913,7,3.206375915719706e-05,0.08,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",49913,7,0.0001607243503126076,0.01,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",49913,7,0.000594913137690771,0.0,0.9999999676424618
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",49913,7,7.288796103303316e-05,0.64,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",49913,7,0.00018053050731296627,0.33,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",49913,7,0.0005907708745974858,0.91,0.999999974700176
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",49913,7,9.322146124096154e-05,0.2,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",49913,7,0.0009846136854694593,0.9,0.9762764519372474
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",49913,7,4.27130597054746e-05,1.0,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",49913,7,4.413526782915237e-05,0.99,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",49913,7,0.00010671073042891563,0.43,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",49913,7,6.949590046890675e-05,0.54,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",49913,7,8.47169398149216e-05,0.92,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",49913,7,0.001181165897154716,0.77,0.7280945726042725
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",49913,7,0.0001309286994163422,0.79,1.0
