,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",47190,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",47190,7,1.4290184048226025e-06,0.98,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",47190,7,7.636536995007457e-06,0.39,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",47190,7,4.1844656369255423e-05,0.41,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",47190,7,4.768451504088193e-07,0.92,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",47190,7,4.6052612231941466e-05,0.9,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",47190,7,1.9082978846705794e-06,0.64,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",47190,7,4.749373693285959e-06,1.0,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",47190,7,9.538431321291235e-07,0.74,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",47190,7,7.630856722109424e-06,0.35,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",47190,7,7.140137121914951e-06,1.0,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",47190,7,4.7637756668283245e-05,0.89,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",47190,7,0.00017516666522243983,0.42,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",47190,7,0.0004904745693734981,0.35,0.9999999999977246
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",47190,7,0.001964338823864153,0.28,0.0006932209983449011
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",47190,7,0.00019017138236015148,0.07,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",47190,7,0.0024342657427615074,0.26,8.854292299353972e-08
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",47190,7,9.50753651845583e-05,0.97,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",47190,7,0.0004040072313482572,0.67,0.9999999999999994
