,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",7003,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",7003,7,0.00015135830723995845,0.69,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",7003,7,0.00014678211769326532,0.56,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",7003,7,0.0011429867660117162,0.62,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",7003,7,8.574563668650274e-05,0.61,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",7003,7,0.003646978602038147,0.15,0.999999999884161
6,6,"('Other', 'Unknown')","('Response', 'Fear')",7003,7,0.00019408168095310011,0.36,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",7003,7,6.990241403135988e-05,0.85,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",7003,7,2.869610654719367e-05,0.96,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",7003,7,0.001194596213087608,0.01,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",7003,7,0.0010792094898490314,0.11,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",7003,7,0.004224846110596842,0.21,0.9999999723605203
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",7003,7,0.0015736871202425842,0.03,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",7003,7,0.0015378008292738386,0.13,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",7003,7,0.005435345853999984,0.69,0.9999245436071748
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",7003,7,0.0006685630820971619,0.23,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",7003,7,0.009388620319372303,0.9,0.40124555187241184
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",7003,7,0.0011286058843102797,0.36,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",7003,7,0.0007843591067870034,0.67,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",7003,7,0.0007732563824741719,0.63,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",7003,7,0.0005811719932865056,0.64,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",7003,7,0.0015518945849038875,0.42,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",7003,7,0.011958202586042575,0.69,0.011191845806410416
23,23,"('Response', 'Anger')","('Other', 'Unknown')",7003,7,0.000134780490162721,0.73,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",7003,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",7003,7,0.0013262606162956474,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",7003,7,0.0004954583354184821,0.36,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",7003,7,7.2056712864663295e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",7003,7,0.0029576794217290483,0.0,0.9999999999999807
29,29,"('Response', 'Anger')","('Response', 'Fear')",7003,7,9.867103530825795e-05,0.11,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",7003,7,0.00025118642862111443,0.03,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",7003,7,0.0002190246362494575,0.08,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",7003,7,0.00033818221351324405,0.06,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",7003,7,0.00031844687350795033,0.14,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",7003,7,0.0038081234433441423,0.0,0.9999999993859378
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",7003,7,0.0002063274877812331,0.37,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",7003,7,0.0008419080111717825,0.18,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",7003,7,0.0014142884530896512,0.84,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",7003,7,0.00012456208445555886,0.2,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",7003,7,0.001980887432583457,1.0,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",7003,7,0.00020899406395056587,0.55,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",7003,7,0.0005686344577898617,0.22,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",7003,7,0.000251256856494183,0.41,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",7003,7,0.0008139125227513187,0.04,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",7003,7,0.00011069998707815598,0.97,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",7003,7,0.0022733080092226464,1.0,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",7003,7,0.00021446599284982812,0.9,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",7003,7,0.0006320732419657239,0.02,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",7003,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",7003,7,0.0017045322276530168,0.01,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",7003,7,0.00025004040963796557,0.02,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",7003,7,0.004442405893514016,0.0,0.9999998435393173
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",7003,7,0.0010853211138067986,0.01,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",7003,7,7.207954529893764e-05,0.92,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",7003,7,0.0006936521450455006,0.01,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",7003,7,0.00013903339420623983,0.08,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",7003,7,0.00038510176026959706,0.24,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",7003,7,0.0038650356783375534,0.0,0.9999999989235465
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",7003,7,0.00011133162073149859,0.83,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",7003,7,0.0009495427863658809,0.24,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",7003,7,0.0021038888935006844,0.98,1.0
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",7003,7,0.00022592393003663966,0.37,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",7003,7,0.005135053360743709,0.83,0.9999848533803334
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",7003,7,0.00013267364509357872,0.93,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",7003,7,0.0006264801450373048,0.39,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",7003,7,0.0005569618461644797,0.43,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",7003,7,0.0005191085145804242,0.32,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",7003,7,0.000781672811417947,0.37,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",7003,7,0.006050168143844896,0.74,0.9988619178470626
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",7003,7,0.0013909164746610321,0.4,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",7003,7,0.0014570941042848634,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",7003,7,0.006472187333561181,0.0,0.9949820314399597
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",7003,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",7003,7,0.00033891515147057444,0.01,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",7003,7,0.005604277631373405,0.0,0.9998290312284606
75,75,"('Response', 'Arousal')","('Response', 'Fear')",7003,7,0.0010562029407559783,0.02,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",7003,7,0.0018499877528406303,0.0,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",7003,7,0.0007466346284374475,0.03,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",7003,7,0.0019499636582905613,0.0,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",7003,7,0.0020819813233387266,0.0,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",7003,7,0.006449929476343836,0.0,0.9953279940068599
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",7003,7,0.0005593227223818133,0.59,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",7003,7,0.0013440360182768352,0.32,1.0
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",7003,7,0.004132143881487057,1.0,0.9999999874407909
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",7003,7,0.00018269757873785004,0.83,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",7003,7,0.008124592216096025,1.0,0.8129186308981399
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",7003,7,0.0010363636471287354,0.33,1.0
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",7003,7,0.0013878183306090261,0.24,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",7003,7,0.0011832444253780106,0.33,1.0
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",7003,7,0.0012393413266245585,0.18,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",7003,7,0.001063574443057419,0.84,1.0
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",7003,7,0.010864299821694434,0.99,0.07253877842971379
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",7003,7,0.0004372881007168017,0.14,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",7003,7,0.00011960287077636608,0.08,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",7003,7,0.0003405030601363819,0.04,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",7003,7,0.0004813092652336802,0.2,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",7003,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",7003,7,0.001630668153535469,0.0,1.0
98,98,"('Response', 'Disgust')","('Response', 'Fear')",7003,7,7.761557460487472e-05,0.12,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",7003,7,0.00036543737773141936,0.08,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",7003,7,9.550202097419343e-05,0.05,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",7003,7,0.0003934465862428342,0.02,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",7003,7,0.0006839648581703669,0.02,1.0
103,103,"('Response', 'Disgust')","('Response', 'Valence')",7003,7,0.001683908954579904,0.0,1.0
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",7003,7,9.526419042222473e-05,0.77,1.0
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",7003,7,0.0001592312969302505,0.73,1.0
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",7003,7,0.0008299549092030527,0.86,1.0
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",7003,7,7.474055532085139e-05,0.34,1.0
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",7003,7,0.0008274231181152883,0.99,1.0
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",7003,7,0.00011220651535459948,0.76,1.0
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",7003,7,0.00014617708114907993,0.67,1.0
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",7003,7,0.00013019731080000804,0.46,1.0
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",7003,7,0.00011677541270686808,0.55,1.0
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",7003,7,0.0004845758796339891,0.28,1.0
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",7003,7,0.0008909147916368865,1.0,1.0
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",7003,7,0.0020193454059290504,0.55,1.0
116,116,"('Response', 'Dominance')","('Response', 'Anger')",7003,7,0.002513281011965256,0.0,1.0
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",7003,7,0.007931399153343604,0.0,0.8583720958797566
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",7003,7,0.0060808913111757065,0.0,0.99871985909031
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",7003,7,0.001106792741118112,0.0,1.0
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",7003,7,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",7003,7,0.003416313989654242,0.0,0.9999999999914543
122,122,"('Response', 'Dominance')","('Response', 'Joy')",7003,7,0.005409349553306018,0.0,0.9999338172548098
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",7003,7,0.001397370399828108,0.0,1.0
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",7003,7,0.004556657623091352,0.0,0.9999996344649926
125,125,"('Response', 'Dominance')","('Response', 'Trust')",7003,7,0.006453238387472044,0.0,0.9952778968311748
126,126,"('Response', 'Dominance')","('Response', 'Valence')",7003,7,0.004995227560363899,0.68,0.9999933258000591
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",7003,7,0.0010334540801524713,0.32,1.0
128,128,"('Response', 'Dominance')","('Stimulus', 'Anticipation')",7003,7,0.0017730421618279723,0.33,1.0
129,129,"('Response', 'Dominance')","('Stimulus', 'Arousal')",7003,7,0.0056262156527567804,0.99,0.9998106750319548
130,130,"('Response', 'Dominance')","('Stimulus', 'Disgust')",7003,7,0.0003856145919710937,0.7,1.0
131,131,"('Response', 'Dominance')","('Stimulus', 'Dominance')",7003,7,0.01271498267649682,0.87,0.0023479783209615634
132,132,"('Response', 'Dominance')","('Stimulus', 'Fear')",7003,7,0.0006743014437315193,0.94,1.0
133,133,"('Response', 'Dominance')","('Stimulus', 'Joy')",7003,7,0.0017979284357580684,0.26,1.0
