,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",9902,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",9902,7,4.070647778432353e-05,0.57,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",9902,7,0.00036536160097219494,0.01,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",9902,7,0.0008086490970511287,0.17,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",9902,7,2.2530829337737925e-05,0.45,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",9902,7,0.0008600593927611067,0.2,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",9902,7,9.816502419417941e-05,0.21,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",9902,7,4.8450481334198057e-05,1.0,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",9902,7,7.117278649520851e-05,0.43,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",9902,7,5.289611868643398e-05,1.0,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",9902,7,0.00037510862317721434,0.05,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",9902,7,0.0009124671758154818,0.25,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",9902,7,0.0028279116104574977,0.23,0.9999999961499533
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",9902,7,0.0030147407056138747,0.22,0.9999999617918233
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",9902,7,0.010291542744312775,0.76,2.3806941577775298e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",9902,7,0.0020208568445512403,0.1,0.9999999999999957
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",9902,7,0.008059412320996369,0.43,0.030898620602054727
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",9902,7,0.004383960145509349,0.1,0.9980055554099393
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",9902,7,0.0022486809532648133,0.63,0.9999999999995599
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",9902,7,0.0023815059452798617,0.29,0.9999999999952021
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",9902,7,0.002803990455002557,0.11,0.9999999971849906
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",9902,7,0.0034900415401698114,0.29,0.999995345146541
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",9902,7,0.0029020269650918435,0.47,0.9999999901278802
23,23,"('Response', 'Anger')","('Other', 'Unknown')",9902,7,1.9507066453391202e-05,0.93,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",9902,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",9902,7,1.2500368824358184e-06,1.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",9902,7,4.9802187313938423e-05,0.02,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",9902,7,4.438594023052551e-07,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",9902,7,0.0007160641938211701,0.01,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",9902,7,4.798180366588987e-05,0.03,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",9902,7,1.1445237126642395e-06,1.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",9902,7,8.026938727698899e-07,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",9902,7,1.0709682760515366e-06,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",9902,7,1.4736337887611615e-06,1.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",9902,7,3.796914754514917e-05,0.23,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",9902,7,0.00020075233291670728,0.57,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",9902,7,0.0007157185683877115,0.1,1.0
