,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",30944,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",30944,7,0.00019646209094073674,0.11,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",30944,7,0.00012594408747447822,0.96,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",30944,7,0.0009545782171776339,0.52,0.9999999731804653
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",30944,7,0.00021614217066097098,0.02,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",30944,7,0.0015113993592158787,0.73,0.9904524823313268
6,6,"('Other', 'Unknown')","('Response', 'Fear')",30944,7,0.00024918977408176156,0.24,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",30944,7,6.70786266746093e-05,0.99,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",30944,7,6.157948552114224e-05,0.98,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",30944,7,2.5437474230335035e-05,1.0,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",30944,7,0.00010987368811347307,0.96,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",30944,7,0.0017786873458554865,0.89,0.8721416134116786
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",30944,7,0.0008358053799144696,0.56,0.9999999998051197
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",30944,7,0.001505797550174977,0.3,0.9911173081351028
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",30944,7,0.00269821349257258,1.0,0.011774424280047824
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",30944,7,0.0005257037893066326,0.61,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",30944,7,0.002675895037277194,0.5,0.014196767173585867
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",30944,7,0.0009763621494234117,1.0,0.9999999409924304
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",30944,7,0.0008580461554049667,0.71,0.9999999994649957
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",30944,7,0.0007779766071422801,0.95,0.9999999999886496
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",30944,7,0.0005510520695661119,0.69,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",30944,7,0.0012481286494494782,0.77,0.9998858420298625
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",30944,7,0.0010934412640767205,0.15,0.9999975397260729
23,23,"('Response', 'Anger')","('Other', 'Unknown')",30944,7,0.00044958153614204846,0.12,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",30944,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",30944,7,0.00035103750662925033,0.03,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",30944,7,0.0009001063994286788,0.07,0.999999996780341
27,27,"('Response', 'Anger')","('Response', 'Disgust')",30944,7,0.00031908235974925116,0.01,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",30944,7,0.002450095820169469,0.0,0.07579702465001503
29,29,"('Response', 'Anger')","('Response', 'Fear')",30944,7,0.00018698856192006538,0.19,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",30944,7,0.0005035006339555535,0.01,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",30944,7,0.0002934985473970339,0.02,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",30944,7,0.0007123022312747296,0.0,0.9999999999997079
33,33,"('Response', 'Anger')","('Response', 'Trust')",30944,7,0.0007625893580912072,0.0,0.9999999999949696
34,34,"('Response', 'Anger')","('Response', 'Valence')",30944,7,0.0025073847531208973,0.0,0.051507990898533196
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",30944,7,0.0004061521587592111,0.88,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",30944,7,0.0009070139779640077,0.64,0.9999999957351491
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",30944,7,0.0022806886447253477,1.0,0.20196811330319908
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",30944,7,0.0005239071721112292,0.2,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",30944,7,0.0019599464389318663,0.57,0.6503930493136311
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",30944,7,0.0009659403022348454,0.31,0.9999999593726631
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",30944,7,0.0003332591723700968,0.98,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",30944,7,0.0011234664602315294,0.02,0.9999943395693122
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",30944,7,0.0006381952829714818,0.11,0.9999999999999976
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",30944,7,0.0007557365728175175,0.89,0.9999999999965277
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",30944,7,0.000826492122039852,0.12,0.9999999998740038
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",30944,7,0.00024568060251921694,0.95,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",30944,7,0.00021905437962028575,0.1,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",30944,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",30944,7,0.002018978324041314,0.0,0.5604680459663384
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",30944,7,0.00011129023048026543,0.12,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",30944,7,0.0021675527303916123,0.01,0.3380488268013059
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",30944,7,0.0002692095119236293,0.13,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",30944,7,0.0003810665689185201,0.02,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",30944,7,0.0003661162248673591,0.04,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",30944,7,0.00039326588595801356,0.01,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",30944,7,0.0004454226296508649,0.03,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",30944,7,0.002516019936688155,0.02,0.048480966909800305
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",30944,7,0.0006952682265434388,0.7,0.9999999999998962
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",30944,7,0.0008752235321042277,0.99,0.9999999988667042
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",30944,7,0.0037939458557854776,0.33,2.7334060126449344e-08
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",30944,7,0.0004645384043809755,0.68,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",30944,7,0.002157728126028733,0.95,0.35163011744481154
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",30944,7,0.0013674237914316847,0.25,0.9988762500567779
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",30944,7,0.0009500741103744973,0.37,0.9999999773078259
