,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",7166,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",7166,7,0.00014392006609310724,0.69,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",7166,7,0.00025953514457744087,0.48,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",7166,7,0.0014669169232635058,0.43,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",7166,7,8.420977936549236e-05,0.64,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",7166,7,0.0015798872293574036,0.9,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",7166,7,3.69706100689408e-08,1.0,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",7166,7,0.00014711771835656506,0.48,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",7166,7,0.0001924618190840472,0.58,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",7166,7,1.792179232959818e-05,0.92,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",7166,7,0.0002351914519033391,0.54,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",7166,7,0.001485066288603494,0.95,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",7166,7,0.000909906454004983,0.51,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",7166,7,0.0004368680247164586,0.98,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",7166,7,0.00518678705227614,0.93,0.9999609320207669
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",7166,7,0.0011334970255669457,0.14,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",7166,7,0.008000950336022144,0.95,0.7965739786973677
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",7166,7,0.0008024412021881097,0.69,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",7166,7,0.0007148934973027313,0.48,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",7166,7,0.0004269803309154941,0.97,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",7166,7,0.0005105221611979914,0.8,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",7166,7,0.0006011297751583437,0.94,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",7166,7,0.009793924390688755,0.83,0.21692250755581455
23,23,"('Response', 'Anger')","('Other', 'Unknown')",7166,7,0.00011041570866811846,0.77,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",7166,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",7166,7,0.0006272433076359439,0.06,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",7166,7,0.0010045364463083478,0.11,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",7166,7,0.0010493097501709215,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",7166,7,0.0038081968617978378,0.0,0.9999999985345834
29,29,"('Response', 'Anger')","('Response', 'Fear')",7166,7,0.0010438949564491597,0.02,1.0
