,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",24156,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",24156,7,3.2864086469248946e-05,0.12,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",24156,7,3.881352406616019e-05,0.78,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",24156,7,0.00023223836050197024,0.45,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",24156,7,4.2890075324044776e-05,0.07,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",24156,7,0.0002929203625872131,0.73,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",24156,7,2.002915595857014e-05,0.75,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",24156,7,4.498184012466316e-05,0.22,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",24156,7,1.8301984350655836e-05,0.72,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",24156,7,2.4032994297533827e-05,0.71,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",24156,7,5.067930940185345e-05,0.29,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",24156,7,0.0006141390586897615,0.29,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",24156,7,0.00038867738779797557,0.32,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",24156,7,0.0005787537336133916,0.57,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",24156,7,0.003094399738372464,0.46,0.09448732261901138
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",24156,7,0.00011576950048811807,0.99,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",24156,7,0.0040916943718660725,0.76,7.672243570433501e-05
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",24156,7,0.0005986143758244937,0.22,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",24156,7,0.0007690427827405009,0.09,0.9999999999999999
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",24156,7,0.0003559628477710437,0.63,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",24156,7,0.0004943618741742662,0.39,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",24156,7,0.0013412765641788824,0.0,0.9999993835374514
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",24156,7,0.004876392617651521,0.34,2.2762513096630244e-08
23,23,"('Response', 'Anger')","('Other', 'Unknown')",24156,7,0.0002541102102073708,0.0,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",24156,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",24156,7,0.00021176449217620788,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",24156,7,0.0002885581768583797,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",24156,7,0.00025561653632171524,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",24156,7,0.0005900219570919079,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",24156,7,0.00024238405617930166,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",24156,7,0.00019023387855163936,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",24156,7,0.0002480497038141896,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",24156,7,1.7963934702441115e-05,0.03,1.0
