,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",13969,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",13969,7,1.959735687077711e-05,0.98,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",13969,7,1.9687891019582064e-05,0.38,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",13969,7,9.15019450035919e-05,0.83,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",13969,7,9.82780154171971e-06,0.52,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",13969,7,0.00011685074153515553,0.84,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",13969,7,1.9549948936616526e-05,0.98,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",13969,7,6.548287998869172e-06,0.72,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",13969,7,2.2820768171932095e-05,0.96,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",13969,7,6.0257447986233006e-05,0.19,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",13969,7,9.82780154171971e-06,0.49,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",13969,7,0.00017445027537019506,0.82,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",13969,7,0.00115897304201387,0.85,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",13969,7,0.00161313869811982,0.17,0.9999999999992659
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",13969,7,0.007170355292399491,0.24,4.6658284135192574e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",13969,7,0.000574071140815374,0.92,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",13969,7,0.00839866442461117,0.23,2.8807010443721026e-08
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",13969,7,0.0021881436957553076,0.2,0.9999999127132416
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",13969,7,0.0007940385690212075,0.43,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",13969,7,0.001251409479839434,0.34,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",13969,7,0.001169962559822169,0.15,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",13969,7,0.000871191537365522,0.87,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",13969,7,0.008205713273392892,0.25,1.0109441261896279e-07
23,23,"('Response', 'Anger')","('Other', 'Unknown')",13969,7,0.0001543569944513549,0.21,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",13969,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",13969,7,1.7821938730408844e-07,1.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",13969,7,0.00016498373604741985,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",13969,7,6.67219851255844e-08,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",13969,7,0.00045260244647785455,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",13969,7,4.455004408552726e-08,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",13969,7,8.892436742925109e-08,1.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",13969,7,5.200307784319625e-08,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",13969,7,2.677620465619774e-07,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",13969,7,0.0006127849080899538,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",13969,7,0.0005142426139647853,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",13969,7,6.725697020622379e-05,0.5,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",13969,7,5.656818479896345e-05,0.55,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",13969,7,0.0003816116297912989,0.66,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",13969,7,3.653529667519818e-05,0.41,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",13969,7,0.0003500055447866922,0.93,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",13969,7,6.776474668712679e-05,0.69,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",13969,7,2.4979700350854183e-05,1.0,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",13969,7,0.00015533530571479985,0.18,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",13969,7,2.9728584166958056e-05,0.49,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",13969,7,5.0102982476319425e-05,0.65,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",13969,7,0.00041235903458701354,0.91,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",13969,7,8.658225194911744e-06,0.98,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",13969,7,0.0001362715232638007,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",13969,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",13969,7,0.0005371576348650041,0.0,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",13969,7,1.1121128812173329e-07,1.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",13969,7,0.0001767988361735136,0.01,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",13969,7,2.2278224004360892e-07,1.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",13969,7,5.927865990093386e-08,1.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",13969,7,2.600527848373726e-07,1.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",13969,7,2.0081430692435119e-07,1.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",13969,7,8.896583836414456e-08,1.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",13969,7,9.660034931915382e-05,0.02,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",13969,7,5.74182172385099e-05,0.43,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",13969,7,4.669003009566997e-05,0.47,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",13969,7,0.00023452288696137018,0.88,1.0
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",13969,7,2.9302165749432962e-05,0.62,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",13969,7,0.0004036174743762159,0.49,1.0
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",13969,7,6.050811471347847e-05,0.63,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",13969,7,2.2833369554355338e-05,0.99,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",13969,7,3.5538788222012465e-05,0.68,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",13969,7,2.5786493866929316e-05,0.44,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",13969,7,4.481722351486119e-05,0.57,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",13969,7,0.0003881708399635006,0.67,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",13969,7,2.231650016977789e-05,1.0,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",13969,7,0.00035119967523474633,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",13969,7,1.516500283157266e-06,1.0,1.0
