,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",14320,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",14320,7,0.00013806192822705138,0.15,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",14320,7,0.00010074061388916073,0.41,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",14320,7,0.00022015859600053105,0.84,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",14320,7,6.627143942279096e-05,0.29,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",14320,7,0.000546163714687382,0.86,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",14320,7,0.0002651130555039287,0.02,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",14320,7,8.097522084410562e-05,0.62,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",14320,7,1.0845501449626865e-05,0.92,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",14320,7,5.190390950190835e-05,0.16,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",14320,7,0.0001254787944571139,0.41,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",14320,7,0.0011424237882081878,0.41,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",14320,7,0.0009395930727895355,0.05,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",14320,7,0.0006639803300073382,0.65,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",14320,7,0.004048126072447221,0.83,0.7705598113944301
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",14320,7,0.0003705540396414499,0.23,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",14320,7,0.007833628126705268,0.15,3.0709542775397836e-07
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",14320,7,0.0012488610712927146,0.05,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",14320,7,0.0006457853209795213,0.72,1.0
