,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",23317,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",23317,7,7.688351747569523e-05,0.36,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",23317,7,0.00011657133377726881,0.49,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",23317,7,0.0003211381379936479,0.87,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",23317,7,7.6151611325588795e-06,0.81,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",23317,7,0.001005134565033374,0.54,0.9999999999962123
6,6,"('Other', 'Unknown')","('Response', 'Fear')",23317,7,7.128565383048528e-05,0.5,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",23317,7,1.885520869198011e-05,0.85,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",23317,7,8.84252195523315e-05,0.44,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",23317,7,0.00012860384312773413,0.28,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",23317,7,0.000153298782699504,0.41,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",23317,7,0.0008175542426632346,0.99,0.9999999999999996
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",23317,7,0.00041473550789412433,0.43,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",23317,7,0.0008921238584091678,0.19,0.9999999999999759
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",23317,7,0.002909811822949073,0.72,0.30477225615493175
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",23317,7,0.00022273929107305738,0.64,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",23317,7,0.00432301921383325,0.62,3.616691737295952e-05
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",23317,7,0.0005208146777333824,0.4,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",23317,7,0.00043122751947249313,0.61,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",23317,7,0.0003419061873911755,0.76,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",23317,7,0.0003419836544826522,0.67,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",23317,7,0.0006537683574139203,0.54,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",23317,7,0.005011238207656758,0.29,3.561077377423061e-08
23,23,"('Response', 'Anger')","('Other', 'Unknown')",23317,7,0.00015132484309666626,0.37,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",23317,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",23317,7,0.0004742453900458332,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",23317,7,0.0011959430791904215,0.0,0.9999999966462523
27,27,"('Response', 'Anger')","('Response', 'Disgust')",23317,7,0.00011167393898287251,0.04,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",23317,7,0.0009420938605831616,0.0,0.999999999999748
29,29,"('Response', 'Anger')","('Response', 'Fear')",23317,7,0.0007012489580489706,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",23317,7,0.00046262106634306215,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",23317,7,0.000147962787905422,0.01,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",23317,7,0.00035615314448155866,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",23317,7,0.0003138670727057196,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",23317,7,0.0008702409554267272,0.0,0.9999999999999919
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",23317,7,7.139432296919859e-05,0.64,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",23317,7,0.00016971037695025457,0.5,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",23317,7,0.0007884494764870658,0.65,0.9999999999999999
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",23317,7,7.468718229770926e-05,0.24,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",23317,7,0.0014250721587564096,0.52,0.9999986118140987
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",23317,7,5.4542348180200404e-05,0.62,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",23317,7,0.00023905240207515042,0.16,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",23317,7,4.899001984247733e-05,0.77,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",23317,7,3.294782541284812e-05,0.8,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",23317,7,0.00036144664255274107,0.08,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",23317,7,0.0015767877826350152,0.65,0.9999707303667263
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",23317,7,0.0003089095031357367,0.33,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",23317,7,0.0002404312785236378,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",23317,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",23317,7,0.0018989598868934673,0.0,0.996890894867513
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",23317,7,0.00025099528813365117,0.01,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",23317,7,0.0012608665669919918,0.0,0.9999999773526885
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",23317,7,0.00021433453838102978,0.01,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",23317,7,0.00013968947178061379,0.06,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",23317,7,8.360438876371296e-05,0.06,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",23317,7,0.00025624273276198586,0.02,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",23317,7,0.0006626664735248519,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",23317,7,0.0017228357428312,0.0,0.9996830283423204
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",23317,7,0.00010389749569321126,0.65,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",23317,7,0.00034252317053061395,0.33,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",23317,7,0.0012054361001725812,0.89,0.9999999955157849
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",23317,7,3.379759705816335e-05,0.82,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",23317,7,0.002571723125988035,0.47,0.6829073092166891
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",23317,7,6.953603383338582e-05,0.94,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",23317,7,0.0002177979824058373,0.52,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",23317,7,0.0001852542307309137,0.52,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",23317,7,0.00011157244271944075,0.72,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",23317,7,0.0004034083818545056,0.24,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",23317,7,0.002872860155649707,0.59,0.3420989536498382
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",23317,7,0.00030277005456579703,0.99,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",23317,7,0.00045020712260001076,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",23317,7,0.0017788090386590015,0.0,0.9993016947562939
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",23317,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",23317,7,0.0003546194733499205,0.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",23317,7,0.0017060917713830606,0.01,0.9997528527450267
75,75,"('Response', 'Arousal')","('Response', 'Fear')",23317,7,0.0005446622522311483,0.02,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",23317,7,0.0014629782609454146,0.0,0.9999968383600846
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",23317,7,0.0005347251730002198,0.0,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",23317,7,0.00123664138479391,0.0,0.999999988663604
79,79,"('Response', 'Arousal')","('Response', 'Trust')",23317,7,0.0011097071081367573,0.0,0.9999999998021869
80,80,"('Response', 'Arousal')","('Response', 'Valence')",23317,7,0.0029873834656719547,0.0,0.23385945062089852
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",23317,7,0.00019341380478198023,0.93,1.0
