,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",15195,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",15195,7,5.3477911966992655e-05,0.5,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",15195,7,3.1537907859017188e-06,0.99,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",15195,7,0.00030986471943812407,0.65,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",15195,7,4.523821963644966e-05,0.56,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",15195,7,0.00031913740304182126,0.95,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",15195,7,7.76864912304649e-05,0.58,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",15195,7,1.1217949504142e-05,0.98,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",15195,7,6.85238179568352e-05,0.43,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",15195,7,3.6833208453852735e-05,0.89,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",15195,7,2.1809095434157136e-05,0.81,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",15195,7,0.00018879883151606065,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",15195,7,0.0005634495616839033,0.72,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",15195,7,0.0007661698582447998,0.62,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",15195,7,0.004181042350954639,0.85,0.5082751572529735
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",15195,7,0.0007260003654146957,0.32,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",15195,7,0.007221544069859717,0.16,9.054576692868466e-07
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",15195,7,0.001087689856667766,0.44,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",15195,7,0.0010057203034795456,0.33,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",15195,7,0.0010224065195664027,0.6,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",15195,7,0.000397766493829634,0.77,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",15195,7,0.001588426523738457,0.16,0.9999999999875141
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",15195,7,0.007549427128065957,0.4,9.68799790390662e-08
23,23,"('Response', 'Anger')","('Other', 'Unknown')",15195,7,4.215764382648578e-05,0.81,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",15195,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",15195,7,5.4281765955170374e-05,0.07,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",15195,7,0.0004449183476364636,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",15195,7,7.403052643725748e-05,0.05,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",15195,7,0.0007709664740807554,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",15195,7,0.0008839432831237998,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",15195,7,2.5305522284694293e-05,0.04,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",15195,7,0.0010211538087133646,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",15195,7,5.670193741316927e-05,0.03,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",15195,7,0.0003507903410899669,0.01,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",15195,7,0.0003909232293919192,0.04,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",15195,7,0.00026329004010554796,0.19,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",15195,7,0.00012820184358652172,0.5,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",15195,7,0.00031780905235316245,1.0,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",15195,7,9.53166388015436e-05,0.29,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",15195,7,0.0006438180330186509,1.0,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",15195,7,0.0003109604871474341,0.27,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",15195,7,9.757376783546178e-05,0.76,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",15195,7,0.00015045639549949233,0.45,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",15195,7,7.764871023441133e-05,0.66,1.0
