,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",17256,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",17256,7,6.545711202459742e-05,0.43,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",17256,7,0.0001382048781431973,0.24,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",17256,7,0.000458946691395151,0.74,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",17256,7,0.00011090592160386246,0.19,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",17256,7,0.0006094794929050851,0.98,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",17256,7,8.490452166817849e-05,0.15,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",17256,7,8.880647082649161e-05,0.53,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",17256,7,1.75396662168704e-05,0.84,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",17256,7,8.11705281977346e-05,0.42,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",17256,7,0.00014337622285790134,0.57,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",17256,7,0.0007122993631398609,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",17256,7,0.0013823526609963645,0.09,0.9999999999922368
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",17256,7,0.0025369807083704173,0.43,0.9975781849829406
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",17256,7,0.006381826158640856,0.59,7.60215649431295e-07
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",17256,7,0.002011470329488925,0.0,0.9999946326296667
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",17256,7,0.003729323395468137,0.71,0.46713152018998527
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",17256,7,0.0010620349741897878,0.87,0.9999999999999999
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",17256,7,0.0020898544728495602,0.75,0.9999832646231768
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",17256,7,0.002028995090821161,0.19,0.9999930229854406
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",17256,7,0.0012336780854716302,0.32,0.9999999999999346
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",17256,7,0.0028679191143895335,0.29,0.9733842558007048
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",17256,7,0.0016560747898463621,0.11,0.9999999918284747
23,23,"('Response', 'Anger')","('Other', 'Unknown')",17256,7,6.166758996768403e-05,0.52,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",17256,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",17256,7,4.3122280182770205e-05,0.15,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",17256,7,0.000653851740893422,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",17256,7,1.1784564923927027e-05,0.02,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",17256,7,0.0011823742117779384,0.0,0.9999999999999898
29,29,"('Response', 'Anger')","('Response', 'Fear')",17256,7,7.452991913223193e-05,0.04,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",17256,7,6.1648729585065e-05,0.07,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",17256,7,5.592526802743173e-06,0.17,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",17256,7,3.826279702159739e-05,0.02,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",17256,7,5.9815054142445866e-05,0.13,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",17256,7,0.0010240430698984751,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",17256,7,0.0005414803910183964,0.09,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",17256,7,0.0004220955855686686,0.72,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",17256,7,0.0014326678659604337,0.55,0.9999999999672023
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",17256,7,0.00037076908209116087,0.16,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",17256,7,0.001088676652065684,0.23,0.9999999999999998
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",17256,7,0.0004571360831182911,0.18,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",17256,7,0.0003929933938683214,0.62,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",17256,7,0.0002560774323517852,0.6,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",17256,7,0.0004974462542675387,0.12,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",17256,7,0.0007223580545436745,0.14,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",17256,7,0.0002943551084831647,0.47,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",17256,7,0.00014168973922405503,0.68,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",17256,7,0.0004514559999731766,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",17256,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",17256,7,0.002012230902276437,0.0,0.9999945706481682
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",17256,7,0.0001871864238004924,0.01,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",17256,7,0.001589413019214464,0.0,0.9999999981940321
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",17256,7,0.0004698761200802452,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",17256,7,0.0005215385253048165,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",17256,7,0.00046401065561323747,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",17256,7,0.00019277255437549515,0.01,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",17256,7,0.0007502593222000028,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",17256,7,0.0013956249612029935,0.0,0.9999999999885562
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",17256,7,0.00018068100620736294,0.94,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",17256,7,0.0008344607854252101,0.51,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",17256,7,0.0028366450826154462,0.57,0.9779696942703698
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",17256,7,0.00017529490151540605,0.83,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",17256,7,0.0012759357303946276,0.93,0.9999999999997232
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",17256,7,0.0002879511121696603,0.89,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",17256,7,0.0006665777045464787,0.87,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",17256,7,0.0006861753645545302,0.37,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",17256,7,0.00042757547168657627,0.54,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",17256,7,0.001083104203196842,0.37,0.9999999999999998
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",17256,7,0.0004884897360481821,0.46,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",17256,7,0.00039110870576643996,0.95,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",17256,7,0.0005863273554184022,0.0,1.0
