,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",18843,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",18843,7,1.537002135010042e-05,0.7,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",18843,7,0.0004045946544361478,0.01,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",18843,7,0.0001878827705592404,0.64,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",18843,7,1.3967109247172239e-05,0.77,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",18843,7,0.0003664480601169603,0.85,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",18843,7,2.946327472805125e-05,0.56,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",18843,7,0.00037473264697383406,0.03,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",18843,7,3.0888821364708046e-05,0.58,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",18843,7,2.610749158638274e-05,0.27,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",18843,7,8.7522838515169e-06,0.88,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",18843,7,0.0005886384902448481,0.57,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",18843,7,0.0005589966990771159,0.78,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",18843,7,0.0024128937032376636,0.04,0.9945798593442359
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",18843,7,0.005843341225920705,0.5,7.652170602723274e-07
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",18843,7,0.0004792557763173734,0.47,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",18843,7,0.003254450949823552,0.46,0.6180747419472218
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",18843,7,0.001128136512403408,0.36,0.9999999999999385
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",18843,7,0.001595394280312227,0.38,0.9999999506318873
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",18843,7,0.0013162927438952244,0.23,0.9999999999625985
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",18843,7,0.0008389315532210871,0.82,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",18843,7,0.0015727722408907343,0.87,0.9999999700413337
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",18843,7,0.0006782519644812467,0.64,1.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",18843,7,1.0063241926575019e-05,0.88,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",18843,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",18843,7,1.486991570411078e-06,1.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",18843,7,5.36854125963249e-05,0.11,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",18843,7,8.609527466216268e-06,0.01,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",18843,7,9.863823637343755e-05,0.24,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",18843,7,5.214916845296285e-06,0.02,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",18843,7,6.509225979216741e-06,0.04,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",18843,7,0.00016902798295444267,0.01,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",18843,7,6.753461362736252e-07,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",18843,7,9.355102398626782e-06,0.02,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",18843,7,0.00024557893815844,0.03,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",18843,7,0.00017201103100149102,0.22,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",18843,7,7.458774547408567e-05,0.99,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",18843,7,0.0005302686914313718,0.85,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",18843,7,0.0001865710200648858,0.1,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",18843,7,0.0005530988999303086,0.15,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",18843,7,0.00030565822835870927,0.08,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",18843,7,0.00018428763112337255,0.47,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",18843,7,0.00022133777040011436,0.24,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",18843,7,0.00015375685884614954,0.36,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",18843,7,0.0002400191404163929,0.56,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",18843,7,0.0002627691132865313,0.19,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",18843,7,0.00022083939480396647,0.14,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",18843,7,0.00022087658774738462,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",18843,7,0.0,1.0,1.0
