,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",48562,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",48562,7,6.169937520062582e-05,0.31,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",48562,7,1.2044040041116248e-05,0.99,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",48562,7,0.00015475470539901617,0.99,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",48562,7,1.3797466258019385e-05,0.55,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",48562,7,0.0004582248836935566,0.7,0.9999999999995612
6,6,"('Other', 'Unknown')","('Response', 'Fear')",48562,7,8.105677339155222e-05,0.25,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",48562,7,9.254217679319451e-05,0.18,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",48562,7,1.9690565772691923e-05,0.42,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",48562,7,7.001671397128542e-05,0.14,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",48562,7,7.607443850142783e-05,0.29,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",48562,7,0.0005243832068130898,0.87,0.9999999998931881
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",48562,7,0.0005075069128927559,0.95,0.9999999999707179
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",48562,7,0.0010406265554223039,0.55,0.9621988483133785
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",48562,7,0.0023026769606327587,0.23,3.538252915102902e-07
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",48562,7,0.0007220041396633841,0.07,0.9999926619713323
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",48562,7,0.0021512428384428363,0.33,8.290043797321012e-06
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",48562,7,0.0007958689589883309,0.76,0.99988344432879
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",48562,7,0.001081073059423155,0.45,0.9322555718990734
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",48562,7,0.0014480977450308248,0.0,0.21016341085855195
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",48562,7,0.0005603630202327735,0.37,0.9999999986403322
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",48562,7,0.0018224003179317136,0.0,0.002717324735295179
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",48562,7,0.0008381895882876615,0.54,0.9995573385760038
23,23,"('Response', 'Anger')","('Other', 'Unknown')",48562,7,6.18970435310026e-05,0.68,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",48562,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",48562,7,0.00010267505900440354,0.06,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",48562,7,0.00021169604779874734,0.07,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",48562,7,5.533651594093975e-05,0.05,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",48562,7,0.00037246604770450013,0.01,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",48562,7,6.620315494710258e-05,0.01,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",48562,7,9.114313700992927e-05,0.06,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",48562,7,2.2527890821537324e-05,0.04,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",48562,7,8.35608863915974e-06,0.26,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",48562,7,0.00014161157713506065,0.01,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",48562,7,0.0005680095015423637,0.0,0.9999999977455443
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",48562,7,0.00014113730059261604,0.94,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",48562,7,0.0004660551456576459,0.31,0.999999999999105
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",48562,7,0.0009873564885568703,1.0,0.9847108728625252
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",48562,7,0.0002738319443528581,0.17,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",48562,7,0.0009307322257925835,0.88,0.9951795283517988
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",48562,7,0.0005265669985772873,0.02,0.9999999998743356
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",48562,7,0.00045542078688137256,0.29,0.9999999999996617
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",48562,7,0.00038677235610711105,0.17,0.9999999999999998
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",48562,7,0.00023235813062129766,0.32,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",48562,7,0.0005181376147093316,0.36,0.9999999999333092
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",48562,7,0.0003926415178187457,0.19,0.9999999999999994
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",48562,7,3.9128178356857816e-05,0.99,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",48562,7,0.0001182063558722233,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",48562,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",48562,7,0.0009551321561261536,0.0,0.9918648420318068
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",48562,7,0.0002344202358727199,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",48562,7,0.0008090411082667763,0.0,0.9998202180098796
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",48562,7,0.00031657332475118607,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",48562,7,3.098530211556122e-05,0.21,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",48562,7,0.0001619641904796388,0.03,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",48562,7,0.0001309767622707946,0.02,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",48562,7,0.00037260173980584264,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",48562,7,0.0009338901618266631,0.0,0.9948298045019204
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",48562,7,0.000147630793786135,1.0,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",48562,7,0.0005169050647834312,0.68,0.9999999999392947
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",48562,7,0.0020965082225676158,0.42,2.4175613338561774e-05
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",48562,7,0.0002936008901378421,0.46,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",48562,7,0.0009430869643064076,1.0,0.9936849478182759
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",48562,7,0.0003981380117692372,0.57,0.9999999999999991
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",48562,7,0.0006679125557683283,0.28,0.9999993582786572
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",48562,7,0.0003262186881801332,0.8,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",48562,7,0.0001777597558662771,0.91,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",48562,7,0.0006491703875559704,0.75,0.9999997487522457
