,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,35800,1,0.9997503382550772
1,NARRATOR,Other,Unknown,35796,5,4.980020280250765
2,NARRATOR,Other,Unknown,35791,10,9.916457093065535
3,NARRATOR,Other,Unknown,35786,15,14.137078945949375
4,NARRATOR,Other,Unknown,35781,20,15.068194665678407
5,NARRATOR,Other,Unknown,35771,30,15.125754880739992
6,NARRATOR,Other,Unknown,35751,50,0.019926812998439528
7,NARRATOR,Other,Unknown,35731,70,0.0
8,NARRATOR,Response,Anger,6054,1,0.23989384153478538
9,NARRATOR,Response,Anger,6050,5,1.1934709381522954
10,NARRATOR,Response,Anger,6045,10,2.3660022268940515
11,NARRATOR,Response,Anger,6040,15,3.4797414838287333
12,NARRATOR,Response,Anger,6035,20,4.52497399050585
13,NARRATOR,Response,Anger,6025,30,6.388566844755776
14,NARRATOR,Response,Anger,6005,50,4.122511674702147
15,NARRATOR,Response,Anger,5985,70,2.908619571462912
16,NARRATOR,Response,Anticipation,64605,1,0.1596469499145188
17,NARRATOR,Response,Anticipation,64601,5,0.722178500684752
18,NARRATOR,Response,Anticipation,64596,10,1.3847956104344241
19,NARRATOR,Response,Anticipation,64591,15,2.006076990583768
20,NARRATOR,Response,Anticipation,64586,20,2.593805737200862
21,NARRATOR,Response,Anticipation,64576,30,3.6847044030348695
22,NARRATOR,Response,Anticipation,64556,50,3.324005829855155
23,NARRATOR,Response,Anticipation,64536,70,3.094483067641427
24,NARRATOR,Response,Arousal,25715,1,0.012669354870758948
25,NARRATOR,Response,Arousal,25711,5,0.061250333658000804
26,NARRATOR,Response,Arousal,25706,10,0.11766209170615775
27,NARRATOR,Response,Arousal,25701,15,0.16845180089198905
28,NARRATOR,Response,Arousal,25696,20,0.21477564882819958
29,NARRATOR,Response,Arousal,25686,30,0.2943772414033816
30,NARRATOR,Response,Arousal,25666,50,0.3101097974324804
31,NARRATOR,Response,Arousal,25646,70,0.3245957051899255
32,NARRATOR,Response,Disgust,28435,1,0.4023278723929073
33,NARRATOR,Response,Disgust,28431,5,2.006910571223921
34,NARRATOR,Response,Disgust,28426,10,3.994708864963396
35,NARRATOR,Response,Disgust,28421,15,5.911374463296662
36,NARRATOR,Response,Disgust,28416,20,7.68007967950206
37,NARRATOR,Response,Disgust,28406,30,10.564404303058076
38,NARRATOR,Response,Disgust,28386,50,3.155596585399429
39,NARRATOR,Response,Disgust,28366,70,1.2827557432671681
40,NARRATOR,Response,Dominance,64605,1,0.0394097129899927
41,NARRATOR,Response,Dominance,64601,5,0.19591517143682394
42,NARRATOR,Response,Dominance,64596,10,0.39011343061971776
43,NARRATOR,Response,Dominance,64591,15,0.582629963089902
44,NARRATOR,Response,Dominance,64586,20,0.7744348937897478
45,NARRATOR,Response,Dominance,64576,30,1.1541549991864746
46,NARRATOR,Response,Dominance,64556,50,1.404781610733809
47,NARRATOR,Response,Dominance,64536,70,1.4709326817203279
48,NARRATOR,Response,Fear,32714,1,0.9986557453026279
49,NARRATOR,Response,Fear,32710,5,4.955896351869014
50,NARRATOR,Response,Fear,32705,10,9.854236950798047
51,NARRATOR,Response,Fear,32700,15,13.976122862275869
52,NARRATOR,Response,Fear,32695,20,14.89437322276221
53,NARRATOR,Response,Fear,32685,30,14.993877276058484
54,NARRATOR,Response,Fear,32665,50,0.05132287215900473
55,NARRATOR,Response,Fear,32645,70,0.0015105409560147677
56,NARRATOR,Response,Joy,16598,1,0.9252033091722179
57,NARRATOR,Response,Joy,16594,5,4.585581976032044
58,NARRATOR,Response,Joy,16589,10,9.09374910303702
59,NARRATOR,Response,Joy,16584,15,12.555412271552994
60,NARRATOR,Response,Joy,16579,20,13.65565997855593
61,NARRATOR,Response,Joy,16569,30,13.981556809534549
62,NARRATOR,Response,Joy,16549,50,0.1756937955051476
63,NARRATOR,Response,Joy,16529,70,0.039267350701251244
64,NARRATOR,Response,Sadness,23866,1,0.05316329664846219
65,NARRATOR,Response,Sadness,23862,5,0.26218523108865543
66,NARRATOR,Response,Sadness,23857,10,0.5152307037041717
67,NARRATOR,Response,Sadness,23852,15,0.7621273569555365
68,NARRATOR,Response,Sadness,23847,20,1.0011632866204405
69,NARRATOR,Response,Sadness,23837,30,1.4648917069940277
70,NARRATOR,Response,Sadness,23817,50,1.6236039595658367
71,NARRATOR,Response,Sadness,23797,70,1.60565352502303
72,NARRATOR,Response,Surprise,23866,1,0.06782461197397201
73,NARRATOR,Response,Surprise,23862,5,0.3344711139292203
74,NARRATOR,Response,Surprise,23857,10,0.6603291644190968
75,NARRATOR,Response,Surprise,23852,15,0.9780949680191635
76,NARRATOR,Response,Surprise,23847,20,1.289463999652329
77,NARRATOR,Response,Surprise,23837,30,1.881152862705306
78,NARRATOR,Response,Surprise,23817,50,1.9998285002048137
79,NARRATOR,Response,Surprise,23797,70,1.9577279886568668
80,NARRATOR,Response,Trust,29894,1,0.19189956282294135
81,NARRATOR,Response,Trust,29890,5,0.9320284914518243
82,NARRATOR,Response,Trust,29885,10,1.8170702438388902
83,NARRATOR,Response,Trust,29880,15,2.6441874182333316
84,NARRATOR,Response,Trust,29875,20,3.3979905026932853
85,NARRATOR,Response,Trust,29865,30,4.71199041034359
86,NARRATOR,Response,Trust,29845,50,3.354621561059963
87,NARRATOR,Response,Trust,29825,70,2.9122647435994398
88,NARRATOR,Response,Valence,29894,1,0.9983162411844291
89,NARRATOR,Response,Valence,29890,5,4.988565228021418
90,NARRATOR,Response,Valence,29885,10,9.949957196858016
91,NARRATOR,Response,Valence,29880,15,14.068324693021648
92,NARRATOR,Response,Valence,29875,20,14.834432537837776
93,NARRATOR,Response,Valence,29865,30,14.866168101333173
94,NARRATOR,Response,Valence,29845,50,0.0005464189145305286
95,NARRATOR,Response,Valence,29825,70,0.0
96,NARRATOR,Stimulus,Anger,29894,1,0.23007922092749852
97,NARRATOR,Stimulus,Anger,29890,5,1.0325151538335298
98,NARRATOR,Stimulus,Anger,29885,10,1.9487064591331846
99,NARRATOR,Stimulus,Anger,29880,15,2.7437568392100165
100,NARRATOR,Stimulus,Anger,29875,20,3.420861607360324
101,NARRATOR,Stimulus,Anger,29865,30,4.532757040415432
102,NARRATOR,Stimulus,Anger,29845,50,3.129243685819534
103,NARRATOR,Stimulus,Anger,29825,70,2.751262525841215
104,NARRATOR,Stimulus,Anticipation,5414,1,0.22721816980152473
105,NARRATOR,Stimulus,Anticipation,5410,5,1.1313420885464958
106,NARRATOR,Stimulus,Anticipation,5405,10,2.2330109558687044
107,NARRATOR,Stimulus,Anticipation,5400,15,3.2862702512840767
108,NARRATOR,Stimulus,Anticipation,5395,20,4.286339342574636
109,NARRATOR,Stimulus,Anticipation,5385,30,6.0798122461165605
110,NARRATOR,Stimulus,Anticipation,5365,50,3.8981042830430694
111,NARRATOR,Stimulus,Anticipation,5345,70,2.7210840033840564
112,NARRATOR,Stimulus,Arousal,29894,1,0.16344281342922445
113,NARRATOR,Stimulus,Arousal,29890,5,0.747696606459053
114,NARRATOR,Stimulus,Arousal,29885,10,1.4326862235258604
115,NARRATOR,Stimulus,Arousal,29880,15,2.068730076395723
116,NARRATOR,Stimulus,Arousal,29875,20,2.6624592481574734
117,NARRATOR,Stimulus,Arousal,29865,30,3.7769661654725524
118,NARRATOR,Stimulus,Arousal,29845,50,3.459586181943145
119,NARRATOR,Stimulus,Arousal,29825,70,3.172628475502585
120,NARRATOR,Stimulus,Disgust,13177,1,0.9896697370594016
121,NARRATOR,Stimulus,Disgust,13173,5,4.934953500132927
