,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,28407,1,0.05280034389938042
1,NARRATOR,Other,Unknown,28403,5,0.26246647633889214
2,NARRATOR,Other,Unknown,28398,10,0.5231217099850946
3,NARRATOR,Other,Unknown,28393,15,0.7812899418867973
4,NARRATOR,Other,Unknown,28388,20,1.0361137392036044
5,NARRATOR,Other,Unknown,28378,30,1.535765787936516
6,NARRATOR,Other,Unknown,28358,50,1.7824580361737434
7,NARRATOR,Other,Unknown,28338,70,1.8201748132969353
8,NARRATOR,Response,Anger,32839,1,0.5357448528476495
9,NARRATOR,Response,Anger,32835,5,2.6693069872917667
10,NARRATOR,Response,Anger,32830,10,5.308373221416064
11,NARRATOR,Response,Anger,32825,15,7.793432125880723
12,NARRATOR,Response,Anger,32820,20,9.91168872791122
13,NARRATOR,Response,Anger,32810,30,12.711762050050604
14,NARRATOR,Response,Anger,32790,50,2.1138110641291443
15,NARRATOR,Response,Anger,32770,70,0.7163645819739497
16,NARRATOR,Response,Anticipation,20429,1,0.2043901585947711
17,NARRATOR,Response,Anticipation,20425,5,1.0156349362051276
18,NARRATOR,Response,Anticipation,20420,10,2.0158503801208036
19,NARRATOR,Response,Anticipation,20415,15,2.98622358065636
20,NARRATOR,Response,Anticipation,20410,20,3.9122493397962157
21,NARRATOR,Response,Anticipation,20400,30,5.596026743071715
22,NARRATOR,Response,Anticipation,20380,50,3.7021528189034645
23,NARRATOR,Response,Anticipation,20360,70,2.761577030536775
24,NARRATOR,Response,Arousal,32839,1,0.4217122411727623
25,NARRATOR,Response,Arousal,32835,5,2.1068806341496416
26,NARRATOR,Response,Arousal,32830,10,4.199780652875752
27,NARRATOR,Response,Arousal,32825,15,6.234388613300891
28,NARRATOR,Response,Arousal,32820,20,8.13512256138368
29,NARRATOR,Response,Arousal,32810,30,11.229567191981657
30,NARRATOR,Response,Arousal,32790,50,2.59455549130526
31,NARRATOR,Response,Arousal,32770,70,0.7567079442623368
32,NARRATOR,Response,Disgust,20429,1,0.5562596744320327
33,NARRATOR,Response,Disgust,20425,5,2.769219161086878
34,NARRATOR,Response,Disgust,20420,10,5.48491559218688
35,NARRATOR,Response,Disgust,20415,15,7.954583830658359
36,NARRATOR,Response,Disgust,20410,20,9.943251756463521
37,NARRATOR,Response,Disgust,20400,30,12.394970561652817
38,NARRATOR,Response,Disgust,20380,50,1.8296720456935822
39,NARRATOR,Response,Disgust,20360,70,0.5492559581722918
40,NARRATOR,Response,Dominance,32839,1,0.6161406554649203
41,NARRATOR,Response,Dominance,32835,5,3.078273491717448
42,NARRATOR,Response,Dominance,32830,10,6.130356283610528
43,NARRATOR,Response,Dominance,32825,15,8.996412630288505
44,NARRATOR,Response,Dominance,32820,20,11.339216058157175
45,NARRATOR,Response,Dominance,32810,30,13.989024016941404
46,NARRATOR,Response,Dominance,32790,50,0.9702595415507391
47,NARRATOR,Response,Dominance,32770,70,0.14634849079313444
48,NARRATOR,Response,Fear,32839,1,0.4217122411727623
49,NARRATOR,Response,Fear,32835,5,2.1068806341496416
50,NARRATOR,Response,Fear,32830,10,4.199780652875752
51,NARRATOR,Response,Fear,32825,15,6.234388613300891
52,NARRATOR,Response,Fear,32820,20,8.13512256138368
53,NARRATOR,Response,Fear,32810,30,11.229567191981657
54,NARRATOR,Response,Fear,32790,50,2.59455549130526
55,NARRATOR,Response,Fear,32770,70,0.7567079442623368
56,NARRATOR,Response,Joy,32839,1,0.5586003831825841
57,NARRATOR,Response,Joy,32835,5,2.7873654488397035
58,NARRATOR,Response,Joy,32830,10,5.547219350612325
59,NARRATOR,Response,Joy,32825,15,8.15243405218344
60,NARRATOR,Response,Joy,32820,20,10.341886083076933
61,NARRATOR,Response,Joy,32810,30,13.139554837753881
62,NARRATOR,Response,Joy,32790,50,1.6535056986988113
63,NARRATOR,Response,Joy,32770,70,0.4154433237885065
64,NARRATOR,Response,Sadness,32839,1,0.9988394797459159
65,NARRATOR,Response,Sadness,32835,5,4.99120560259945
66,NARRATOR,Response,Sadness,32830,10,9.95714504201006
67,NARRATOR,Response,Sadness,32825,15,14.137928679905732
68,NARRATOR,Response,Sadness,32820,20,14.96669837098303
69,NARRATOR,Response,Sadness,32810,30,15.001726059357136
70,NARRATOR,Response,Sadness,32790,50,0.0
71,NARRATOR,Response,Sadness,32770,70,0.0
72,NARRATOR,Response,Surprise,32839,1,0.5586003831825841
73,NARRATOR,Response,Surprise,32835,5,2.7873654488397035
74,NARRATOR,Response,Surprise,32830,10,5.547219350612325
75,NARRATOR,Response,Surprise,32825,15,8.15243405218344
76,NARRATOR,Response,Surprise,32820,20,10.341886083076933
77,NARRATOR,Response,Surprise,32810,30,13.139554837753881
78,NARRATOR,Response,Surprise,32790,50,1.6535056986988113
79,NARRATOR,Response,Surprise,32770,70,0.4154433237885065
80,NARRATOR,Response,Trust,12051,1,0.06698599837850898
81,NARRATOR,Response,Trust,12047,5,0.3243697894569296
82,NARRATOR,Response,Trust,12042,10,0.628201675030894
83,NARRATOR,Response,Trust,12037,15,0.9100449636989665
84,NARRATOR,Response,Trust,12032,20,1.1659494772972008
85,NARRATOR,Response,Trust,12022,30,1.6240351787467209
86,NARRATOR,Response,Trust,12002,50,1.498273376262529
87,NARRATOR,Response,Trust,11982,70,1.403925086154045
88,NARRATOR,Response,Valence,32839,1,0.5586003831825841
89,NARRATOR,Response,Valence,32835,5,2.7873654488397035
90,NARRATOR,Response,Valence,32830,10,5.547219350612325
91,NARRATOR,Response,Valence,32825,15,8.15243405218344
92,NARRATOR,Response,Valence,32820,20,10.341886083076933
93,NARRATOR,Response,Valence,32810,30,13.139554837753881
94,NARRATOR,Response,Valence,32790,50,1.6535056986988113
95,NARRATOR,Response,Valence,32770,70,0.4154433237885065
96,NARRATOR,Stimulus,Anger,32839,1,0.48604933296870323
97,NARRATOR,Stimulus,Anger,32835,5,2.420173411778828
98,NARRATOR,Stimulus,Anger,32830,10,4.812114849155093
99,NARRATOR,Stimulus,Anger,32825,15,7.077335883305628
100,NARRATOR,Stimulus,Anger,32820,20,9.050507321946258
101,NARRATOR,Stimulus,Anger,32810,30,11.839496488140842
102,NARRATOR,Stimulus,Anger,32790,50,2.550546235189316
103,NARRATOR,Stimulus,Anger,32770,70,1.0329590097568784
104,NARRATOR,Stimulus,Anticipation,12051,1,0.40127799581999724
105,NARRATOR,Stimulus,Anticipation,12047,5,2.004578115719511
106,NARRATOR,Stimulus,Anticipation,12042,10,3.9786213601288543
107,NARRATOR,Stimulus,Anticipation,12037,15,5.849330651202841
108,NARRATOR,Stimulus,Anticipation,12032,20,7.528467314223339
109,NARRATOR,Stimulus,Anticipation,12022,30,10.103846429636286
110,NARRATOR,Stimulus,Anticipation,12002,50,2.8528851910200594
111,NARRATOR,Stimulus,Anticipation,11982,70,1.2840047158804737
112,NARRATOR,Stimulus,Arousal,30283,1,0.5182528196799601
113,NARRATOR,Stimulus,Arousal,30279,5,2.586434745245578
