,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,35800,1,0.9550698504389694
1,NARRATOR,Other,Unknown,35796,5,4.761323875760321
2,NARRATOR,Other,Unknown,35791,10,9.484654646897688
3,NARRATOR,Other,Unknown,35786,15,13.551507545654209
4,NARRATOR,Other,Unknown,35781,20,14.906946911640203
5,NARRATOR,Other,Unknown,35771,30,15.119099181290569
6,NARRATOR,Other,Unknown,35751,50,0.06672343021231468
7,NARRATOR,Other,Unknown,35731,70,0.006491344058118304
8,NARRATOR,Response,Anger,35800,1,0.22644309638963828
9,NARRATOR,Response,Anger,35796,5,1.1304631908274776
10,NARRATOR,Response,Anger,35791,10,2.254584017649615
11,NARRATOR,Response,Anger,35786,15,3.3635790332740663
12,NARRATOR,Response,Anger,35781,20,4.444844210697928
13,NARRATOR,Response,Anger,35771,30,6.471783709973421
14,NARRATOR,Response,Anger,35751,50,4.201303213233604
15,NARRATOR,Response,Anger,35731,70,2.8964104793435625
16,NARRATOR,Response,Anticipation,25715,1,0.18822088853744873
17,NARRATOR,Response,Anticipation,25711,5,0.9319683803927772
18,NARRATOR,Response,Anticipation,25706,10,1.8466970826989326
19,NARRATOR,Response,Anticipation,25701,15,2.7253980369240085
20,NARRATOR,Response,Anticipation,25696,20,3.55877215948229
21,NARRATOR,Response,Anticipation,25686,30,5.058660915560142
22,NARRATOR,Response,Anticipation,25666,50,3.320613247596016
23,NARRATOR,Response,Anticipation,25646,70,2.553763856031804
24,NARRATOR,Response,Arousal,25715,1,0.479205049718007
25,NARRATOR,Response,Arousal,25711,5,2.3141877966159257
26,NARRATOR,Response,Arousal,25706,10,4.5143441972948395
27,NARRATOR,Response,Arousal,25701,15,6.430624968720399
28,NARRATOR,Response,Arousal,25696,20,7.861213985990521
29,NARRATOR,Response,Arousal,25686,30,9.600305916621029
30,NARRATOR,Response,Arousal,25666,50,2.8098897419661446
31,NARRATOR,Response,Arousal,25646,70,1.9229851399191926
32,NARRATOR,Response,Disgust,34162,1,0.07715775820452579
33,NARRATOR,Response,Disgust,34158,5,0.37922896260424677
34,NARRATOR,Response,Disgust,34153,10,0.7481822770466293
35,NARRATOR,Response,Disgust,34148,15,1.1066071521171787
36,NARRATOR,Response,Disgust,34143,20,1.455349289089027
37,NARRATOR,Response,Disgust,34133,30,2.120792891925129
38,NARRATOR,Response,Disgust,34113,50,2.1546268332146314
39,NARRATOR,Response,Disgust,34093,70,2.0992331825330544
40,NARRATOR,Response,Dominance,9623,1,0.5121650837723962
41,NARRATOR,Response,Dominance,9619,5,2.5582016791132274
42,NARRATOR,Response,Dominance,9614,10,5.078690573574304
43,NARRATOR,Response,Dominance,9609,15,7.434046195409924
44,NARRATOR,Response,Dominance,9604,20,9.418486594490867
45,NARRATOR,Response,Dominance,9594,30,11.94513227363233
46,NARRATOR,Response,Dominance,9574,50,1.369346195214913
47,NARRATOR,Response,Dominance,9554,70,0.27065108277431205
48,NARRATOR,Response,Fear,25715,1,0.19625089762866071
49,NARRATOR,Response,Fear,25711,5,0.9707086247163136
50,NARRATOR,Response,Fear,25706,10,1.9226074048641002
51,NARRATOR,Response,Fear,25701,15,2.842956925207487
52,NARRATOR,Response,Fear,25696,20,3.7164445331982825
53,NARRATOR,Response,Fear,25686,30,5.283124604404706
54,NARRATOR,Response,Fear,25666,50,3.5450245290626943
55,NARRATOR,Response,Fear,25646,70,2.699589554467888
56,NARRATOR,Response,Joy,25715,1,0.1455043353532254
57,NARRATOR,Response,Joy,25711,5,0.7188196708205051
58,NARRATOR,Response,Joy,25706,10,1.4233351989394298
59,NARRATOR,Response,Joy,25701,15,2.107871330702777
60,NARRATOR,Response,Joy,25696,20,2.7641310439994116
61,NARRATOR,Response,Joy,25686,30,3.9590546420201544
62,NARRATOR,Response,Joy,25666,50,3.126544150392639
63,NARRATOR,Response,Joy,25646,70,2.6437760332610236
64,NARRATOR,Response,Sadness,25715,1,0.16164608341511782
65,NARRATOR,Response,Sadness,25711,5,0.8009441046733414
66,NARRATOR,Response,Sadness,25706,10,1.5888943648751757
67,NARRATOR,Response,Sadness,25701,15,2.350571784107957
68,NARRATOR,Response,Sadness,25696,20,3.0871212922189972
69,NARRATOR,Response,Sadness,25686,30,4.441481242529097
70,NARRATOR,Response,Sadness,25666,50,3.358145737255014
71,NARRATOR,Response,Sadness,25646,70,2.73611935397964
72,NARRATOR,Response,Surprise,25715,1,0.12009312574312984
