,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,37754,1,0.004761132666796808
1,NARRATOR,Other,Unknown,37750,5,0.023474804533835634
2,NARRATOR,Other,Unknown,37745,10,0.04644215692053542
3,NARRATOR,Other,Unknown,37740,15,0.06940769669244234
4,NARRATOR,Other,Unknown,37735,20,0.09237435769700703
5,NARRATOR,Other,Unknown,37725,30,0.13831100786873862
6,NARRATOR,Other,Unknown,37705,50,0.1994636178087416
7,NARRATOR,Other,Unknown,37685,70,0.23228474493129783
8,NARRATOR,Response,Anger,30325,1,0.4364422989911325
9,NARRATOR,Response,Anger,30321,5,2.1804991236259106
10,NARRATOR,Response,Anger,30316,10,4.346043489651482
11,NARRATOR,Response,Anger,30311,15,6.4314099755806655
12,NARRATOR,Response,Anger,30306,20,8.34244525382802
13,NARRATOR,Response,Anger,30296,30,11.36159358574872
14,NARRATOR,Response,Anger,30276,50,2.663175889085341
15,NARRATOR,Response,Anger,30256,70,0.9413824046815177
16,NARRATOR,Response,Anticipation,12355,1,0.018088314266229744
17,NARRATOR,Response,Anticipation,12351,5,0.09042503749917169
18,NARRATOR,Response,Anticipation,12346,10,0.18080809027039507
19,NARRATOR,Response,Anticipation,12341,15,0.26919796781902827
20,NARRATOR,Response,Anticipation,12336,20,0.35550453516249436
21,NARRATOR,Response,Anticipation,12326,30,0.5178169436288814
22,NARRATOR,Response,Anticipation,12306,50,0.6445508752471282
23,NARRATOR,Response,Anticipation,12286,70,0.6914552501757116
24,NARRATOR,Response,Arousal,35025,1,0.8535375638036367
25,NARRATOR,Response,Arousal,35021,5,4.267022737588224
26,NARRATOR,Response,Arousal,35016,10,8.513128939393493
27,NARRATOR,Response,Arousal,35011,15,12.317256648212116
28,NARRATOR,Response,Arousal,35006,20,14.419704788836597
29,NARRATOR,Response,Arousal,34996,30,15.086651330136215
30,NARRATOR,Response,Arousal,34976,50,0.0
31,NARRATOR,Response,Arousal,34956,70,0.0
32,NARRATOR,Response,Disgust,30295,1,0.48678957719842064
33,NARRATOR,Response,Disgust,30291,5,2.428245068061157
34,NARRATOR,Response,Disgust,30286,10,4.831719023240217
35,NARRATOR,Response,Disgust,30281,15,7.109684130127033
36,NARRATOR,Response,Disgust,30276,20,9.095303592183178
37,NARRATOR,Response,Disgust,30266,30,11.948847103122958
38,NARRATOR,Response,Disgust,30246,50,2.388277778304018
39,NARRATOR,Response,Disgust,30226,70,0.809916913852094
40,NARRATOR,Response,Dominance,12355,1,0.2187130983937624
41,NARRATOR,Response,Dominance,12351,5,1.0890407660603547
42,NARRATOR,Response,Dominance,12346,10,2.164652659897806
43,NARRATOR,Response,Dominance,12341,15,3.220744860602828
44,NARRATOR,Response,Dominance,12336,20,4.235068003293031
45,NARRATOR,Response,Dominance,12326,30,6.091619688645713
46,NARRATOR,Response,Dominance,12306,50,4.041247622236246
47,NARRATOR,Response,Dominance,12286,70,2.848999196613079
48,NARRATOR,Response,Fear,4593,1,0.35153298522230464
49,NARRATOR,Response,Fear,4589,5,1.7493203801465402
50,NARRATOR,Response,Fear,4584,10,3.468766658770996
51,NARRATOR,Response,Fear,4579,15,5.100399698799446
52,NARRATOR,Response,Fear,4574,20,6.560168092468625
53,NARRATOR,Response,Fear,4564,30,8.807589005895876
54,NARRATOR,Response,Fear,4544,50,3.171970320567133
55,NARRATOR,Response,Fear,4524,70,1.5696321330566954
56,NARRATOR,Response,Joy,30295,1,0.5075892156622158
57,NARRATOR,Response,Joy,30291,5,2.536253845645394
58,NARRATOR,Response,Joy,30286,10,5.053707359408602
59,NARRATOR,Response,Joy,30281,15,7.458072659927028
60,NARRATOR,Response,Joy,30276,20,9.594324590672837
61,NARRATOR,Response,Joy,30266,30,12.541565335816898
62,NARRATOR,Response,Joy,30246,50,0.0
63,NARRATOR,Response,Joy,30226,70,0.5741547062850906
64,NARRATOR,Response,Sadness,13765,1,0.8303533852909233
65,NARRATOR,Response,Sadness,13761,5,4.044123208933255
66,NARRATOR,Response,Sadness,13756,10,7.945868894650965
67,NARRATOR,Response,Sadness,13751,15,10.867532416293786
68,NARRATOR,Response,Sadness,13746,20,12.176384500767215
69,NARRATOR,Response,Sadness,13736,30,13.241831243259137
70,NARRATOR,Response,Sadness,13716,50,0.9927856739447644
71,NARRATOR,Response,Sadness,13696,70,0.2511676294024857
72,NARRATOR,Response,Surprise,30295,1,0.9983582647720608
73,NARRATOR,Response,Surprise,30291,5,4.989111192387373
74,NARRATOR,Response,Surprise,30286,10,9.952428072347539
75,NARRATOR,Response,Surprise,30281,15,14.076982784273774
76,NARRATOR,Response,Surprise,30276,20,14.850858278355227
77,NARRATOR,Response,Surprise,30266,30,14.88541039856979
78,NARRATOR,Response,Surprise,30246,50,0.0
79,NARRATOR,Response,Surprise,30226,70,0.0
80,NARRATOR,Response,Trust,30295,1,0.023564863008941637
81,NARRATOR,Response,Trust,30291,5,0.11701306403951404
82,NARRATOR,Response,Trust,30286,10,0.23219398759156437
83,NARRATOR,Response,Trust,30281,15,0.34618154359778264
84,NARRATOR,Response,Trust,30276,20,0.45695536561021144
85,NARRATOR,Response,Trust,30266,30,0.6725927613595544
86,NARRATOR,Response,Trust,30246,50,0.7967507746358071
87,NARRATOR,Response,Trust,30226,70,0.8173909793170506
88,NARRATOR,Response,Valence,14320,1,0.022897934661951704
89,NARRATOR,Response,Valence,14316,5,0.11322879792178976
90,NARRATOR,Response,Valence,14311,10,0.22580738975053222
91,NARRATOR,Response,Valence,14306,15,0.33829188832162704
92,NARRATOR,Response,Valence,14301,20,0.45068025898298086
93,NARRATOR,Response,Valence,14291,30,0.6736680473785714
94,NARRATOR,Response,Valence,14271,50,0.9007542527075345
95,NARRATOR,Response,Valence,14251,70,0.9711986008778162
96,NARRATOR,Stimulus,Anger,37754,1,0.23247115116938658
97,NARRATOR,Stimulus,Anger,37750,5,1.159975409606683
98,NARRATOR,Stimulus,Anger,37745,10,2.312820291190681
99,NARRATOR,Stimulus,Anger,37740,15,3.446468295560972
100,NARRATOR,Stimulus,Anger,37735,20,4.5441805311062335
101,NARRATOR,Stimulus,Anger,37725,30,6.588230903225043
102,NARRATOR,Stimulus,Anger,37705,50,4.194928467335743
103,NARRATOR,Stimulus,Anger,37685,70,2.9338894400872433
104,NARRATOR,Stimulus,Anticipation,14883,1,0.20654881743053727
105,NARRATOR,Stimulus,Anticipation,14879,5,0.9907349515624414
106,NARRATOR,Stimulus,Anticipation,14874,10,1.9177782604039664
107,NARRATOR,Stimulus,Anticipation,14869,15,2.765529326804685
108,NARRATOR,Stimulus,Anticipation,14864,20,3.5535734761341287
109,NARRATOR,Stimulus,Anticipation,14854,30,4.961316131068638
110,NARRATOR,Stimulus,Anticipation,14834,50,3.8206514627292982
111,NARRATOR,Stimulus,Anticipation,14814,70,3.2313429962256652
112,NARRATOR,Stimulus,Arousal,30295,1,0.6103150762839779
113,NARRATOR,Stimulus,Arousal,30291,5,3.0491701301261704
114,NARRATOR,Stimulus,Arousal,30286,10,6.071942835553963
115,NARRATOR,Stimulus,Arousal,30281,15,8.90542192774117
116,NARRATOR,Stimulus,Arousal,30276,20,11.211518210589022
117,NARRATOR,Stimulus,Arousal,30266,30,13.8207155358669
118,NARRATOR,Stimulus,Arousal,30246,50,0.9917044312127355
119,NARRATOR,Stimulus,Arousal,30226,70,0.17381529727813155
120,NARRATOR,Stimulus,Disgust,10833,1,0.14368408210546238
121,NARRATOR,Stimulus,Disgust,10829,5,0.7123341581399213
122,NARRATOR,Stimulus,Disgust,10824,10,1.410912102716126
123,NARRATOR,Stimulus,Disgust,10819,15,2.0990789014617772
124,NARRATOR,Stimulus,Disgust,10814,20,2.771622131590056
125,NARRATOR,Stimulus,Disgust,10804,30,4.051213515278966
126,NARRATOR,Stimulus,Disgust,10784,50,3.615214636650473
127,NARRATOR,Stimulus,Disgust,10764,70,2.983608868030072
128,NARRATOR,Stimulus,Dominance,30295,1,0.5235068752983036
129,NARRATOR,Stimulus,Dominance,30291,5,2.614568503890227
130,NARRATOR,Stimulus,Dominance,30286,10,5.207099164672604
131,NARRATOR,Stimulus,Dominance,30281,15,7.679676049738743
132,NARRATOR,Stimulus,Dominance,30276,20,9.827293881518672
133,NARRATOR,Stimulus,Dominance,30266,30,12.75473613986051
134,NARRATOR,Stimulus,Dominance,30246,50,1.7175742578120254
135,NARRATOR,Stimulus,Dominance,30226,70,0.4051284083448804
136,NARRATOR,Stimulus,Fear,35025,1,0.35390261853960586
137,NARRATOR,Stimulus,Fear,35021,5,1.7647485049003369
138,NARRATOR,Stimulus,Fear,35016,10,3.5116068079881892
139,NARRATOR,Stimulus,Fear,35011,15,5.203779254320663
140,NARRATOR,Stimulus,Fear,35006,20,6.7884608399661435
141,NARRATOR,Stimulus,Fear,34996,30,9.485677618611028
142,NARRATOR,Stimulus,Fear,34976,50,3.7179109859180275
143,NARRATOR,Stimulus,Fear,34956,70,1.7958798285534423
144,NARRATOR,Stimulus,Joy,13765,1,0.9920139531187566
145,NARRATOR,Stimulus,Joy,13761,5,4.940183785800413
146,NARRATOR,Stimulus,Joy,13756,10,9.804461650228282
147,NARRATOR,Stimulus,Joy,13751,15,13.224470517035764
148,NARRATOR,Stimulus,Joy,13746,20,13.708146903399916
149,NARRATOR,Stimulus,Joy,13736,30,13.745528721209514
150,NARRATOR,Stimulus,Joy,13716,50,0.01660704075552418
151,NARRATOR,Stimulus,Joy,13696,70,0.0
152,NARRATOR,Stimulus,Sadness,10833,1,0.2472139842467166
153,NARRATOR,Stimulus,Sadness,10829,5,1.2307483940116974
154,NARRATOR,Stimulus,Sadness,10824,10,2.4436707958682065
155,NARRATOR,Stimulus,Sadness,10819,15,3.615983418761022
156,NARRATOR,Stimulus,Sadness,10814,20,4.70851664552851
157,NARRATOR,Stimulus,Sadness,10804,30,6.621915977834059
158,NARRATOR,Stimulus,Sadness,10784,50,3.9187442974831987
159,NARRATOR,Stimulus,Sadness,10764,70,2.728180955505396
160,NARRATOR,Stimulus,Surprise,30295,1,0.5235068752983036
161,NARRATOR,Stimulus,Surprise,30291,5,2.614568503890227
162,NARRATOR,Stimulus,Surprise,30286,10,5.207099164672604
163,NARRATOR,Stimulus,Surprise,30281,15,7.679676049738743
164,NARRATOR,Stimulus,Surprise,30276,20,9.827293881518672
165,NARRATOR,Stimulus,Surprise,30266,30,12.75473613986051
166,NARRATOR,Stimulus,Surprise,30246,50,1.7175742578120254
167,NARRATOR,Stimulus,Surprise,30226,70,0.4051284083448804
168,NARRATOR,Stimulus,Trust,30295,1,0.46925712715526535
169,NARRATOR,Stimulus,Trust,30291,5,2.322812404886767
170,NARRATOR,Stimulus,Trust,30286,10,4.590956071843396
171,NARRATOR,Stimulus,Trust,30281,15,6.669564833881908
172,NARRATOR,Stimulus,Trust,30276,20,8.38683370383594
173,NARRATOR,Stimulus,Trust,30266,30,10.786058984847365
174,NARRATOR,Stimulus,Trust,30246,50,2.950887339450891
175,NARRATOR,Stimulus,Trust,30226,70,1.578549254870119
176,NARRATOR,Stimulus,Valence,10833,1,0.7939763810926541
177,NARRATOR,Stimulus,Valence,10829,5,3.800561242530981
178,NARRATOR,Stimulus,Valence,10824,10,7.4215461116385155
179,NARRATOR,Stimulus,Valence,10819,15,10.045060937701283
180,NARRATOR,Stimulus,Valence,10814,20,11.373445423769178
181,NARRATOR,Stimulus,Valence,10804,30,12.560230193332467
182,NARRATOR,Stimulus,Valence,10784,50,1.4844291876722544
183,NARRATOR,Stimulus,Valence,10764,70,0.6282672629103675
184,READER,Other,Unknown,30295,1,0.5235068752983036
185,READER,Other,Unknown,30291,5,2.614568503890227
186,READER,Other,Unknown,30286,10,5.207099164672604
187,READER,Other,Unknown,30281,15,7.679676049738743
188,READER,Other,Unknown,30276,20,9.827293881518672
189,READER,Other,Unknown,30266,30,12.75473613986051
190,READER,Other,Unknown,30246,50,1.7175742578120254
191,READER,Other,Unknown,30226,70,0.4051284083448804
192,READER,Response,Anger,4593,1,0.8052710078138485
193,READER,Response,Anger,4589,5,4.005878974735885
194,READER,Response,Anger,4584,10,7.83783345446745
195,READER,Response,Anger,4579,15,10.491456094138806
196,READER,Response,Anger,4574,20,11.522951920082223
197,READER,Response,Anger,4564,30,12.032992292981524
198,READER,Response,Anger,4544,50,0.4796355489433415
199,READER,Response,Anger,4524,70,0.09606340450628813
200,READER,Response,Anticipation,30295,1,0.9983582647720608
201,READER,Response,Anticipation,30291,5,4.989111192387373
202,READER,Response,Anticipation,30286,10,9.952428072347539
203,READER,Response,Anticipation,30281,15,14.076982784273774
204,READER,Response,Anticipation,30276,20,14.850858278355227
205,READER,Response,Anticipation,30266,30,14.88541039856979
206,READER,Response,Anticipation,30246,50,0.0
207,READER,Response,Anticipation,30226,70,0.0
208,READER,Response,Arousal,13765,1,0.8303533852909233
209,READER,Response,Arousal,13761,5,4.044123208933255
210,READER,Response,Arousal,13756,10,7.945868894650965
211,READER,Response,Arousal,13751,15,10.867532416293786
212,READER,Response,Arousal,13746,20,12.176384500767215
213,READER,Response,Arousal,13736,30,13.241831243259137
214,READER,Response,Arousal,13716,50,0.9927856739447644
215,READER,Response,Arousal,13696,70,0.2511676294024857
216,READER,Response,Disgust,30295,1,0.5075892156622158
217,READER,Response,Disgust,30291,5,2.536253845645394
218,READER,Response,Disgust,30286,10,5.053707359408602
219,READER,Response,Disgust,30281,15,7.458072659927028
220,READER,Response,Disgust,30276,20,9.594324590672837
221,READER,Response,Disgust,30266,30,12.541565335816898
222,READER,Response,Disgust,30246,50,0.0
223,READER,Response,Disgust,30226,70,0.5741547062850906
224,READER,Response,Dominance,4593,1,0.35153298522230464
225,READER,Response,Dominance,4589,5,1.7493203801465402
226,READER,Response,Dominance,4584,10,3.468766658770996
227,READER,Response,Dominance,4579,15,5.100399698799446
228,READER,Response,Dominance,4574,20,6.560168092468625
229,READER,Response,Dominance,4564,30,8.807589005895876
230,READER,Response,Dominance,4544,50,3.171970320567133
231,READER,Response,Dominance,4524,70,1.5696321330566954
232,READER,Response,Fear,12355,1,0.2187130983937624
233,READER,Response,Fear,12351,5,1.0890407660603547
234,READER,Response,Fear,12346,10,2.164652659897806
235,READER,Response,Fear,12341,15,3.220744860602828
236,READER,Response,Fear,12336,20,4.235068003293031
237,READER,Response,Fear,12326,30,6.091619688645713
238,READER,Response,Fear,12306,50,4.041247622236246
239,READER,Response,Fear,12286,70,2.848999196613079
240,READER,Response,Joy,30295,1,0.48678957719842064
241,READER,Response,Joy,30291,5,2.428245068061157
242,READER,Response,Joy,30286,10,4.831719023240217
243,READER,Response,Joy,30281,15,7.109684130127033
244,READER,Response,Joy,30276,20,9.095303592183178
245,READER,Response,Joy,30266,30,11.948847103122958
246,READER,Response,Joy,30246,50,2.388277778304018
247,READER,Response,Joy,30226,70,0.809916913852094
248,READER,Response,Sadness,35025,1,0.8535375638036367
249,READER,Response,Sadness,35021,5,4.267022737588224
250,READER,Response,Sadness,35016,10,8.513128939393493
251,READER,Response,Sadness,35011,15,12.317256648212116
252,READER,Response,Sadness,35006,20,14.419704788836597
253,READER,Response,Sadness,34996,30,15.086651330136215
254,READER,Response,Sadness,34976,50,0.0
255,READER,Response,Sadness,34956,70,0.0
256,READER,Response,Surprise,12355,1,0.018088314266229744
257,READER,Response,Surprise,12351,5,0.09042503749917169
258,READER,Response,Surprise,12346,10,0.18080809027039507
259,READER,Response,Surprise,12341,15,0.26919796781902827
260,READER,Response,Surprise,12336,20,0.35550453516249436
261,READER,Response,Surprise,12326,30,0.5178169436288814
262,READER,Response,Surprise,12306,50,0.6445508752471282
263,READER,Response,Surprise,12286,70,0.6914552501757116
264,READER,Response,Trust,30295,1,0.6040067935585979
265,READER,Response,Trust,30291,5,2.9571078097727463
266,READER,Response,Trust,30286,10,5.802704837844517
267,READER,Response,Trust,30281,15,8.277828524051836
268,READER,Response,Trust,30276,20,9.9862364150925
269,READER,Response,Trust,30266,30,12.021641666606362
270,READER,Response,Trust,30246,50,2.3872094365239183
271,READER,Response,Trust,30226,70,1.2009943144104764
272,READER,Response,Valence,14320,1,0.03690939428023931
273,READER,Response,Valence,14316,5,0.1804635164383631
274,READER,Response,Valence,14311,10,0.3547612348868626
275,READER,Response,Valence,14306,15,0.5279029182727911
276,READER,Response,Valence,14301,20,0.6971717390115465
277,READER,Response,Valence,14291,30,1.0313348548982024
278,READER,Response,Valence,14271,50,1.3264365445502693
279,READER,Response,Valence,14251,70,1.420856330730918
280,READER,Stimulus,Anger,30295,1,0.5076875394607924
281,READER,Stimulus,Anger,30291,5,2.536748584406987
282,READER,Stimulus,Anger,30286,10,5.054690875268911
283,READER,Stimulus,Anger,30281,15,7.459491349005654
284,READER,Stimulus,Anger,30276,20,9.5959440423554
285,READER,Stimulus,Anger,30266,30,12.542185004339403
286,READER,Stimulus,Anger,30246,50,0.0
287,READER,Stimulus,Anger,30226,70,0.5741547062850906
288,READER,Stimulus,Anticipation,14883,1,0.20654881743053727
289,READER,Stimulus,Anticipation,14879,5,0.9907349515624414
290,READER,Stimulus,Anticipation,14874,10,1.9177782604039664
291,READER,Stimulus,Anticipation,14869,15,2.765529326804685
292,READER,Stimulus,Anticipation,14864,20,3.5535734761341287
293,READER,Stimulus,Anticipation,14854,30,4.961316131068638
294,READER,Stimulus,Anticipation,14834,50,3.8206514627292982
295,READER,Stimulus,Anticipation,14814,70,3.2313429962256652
296,READER,Stimulus,Arousal,30325,1,0.4364422989911325
297,READER,Stimulus,Arousal,30321,5,2.1804991236259106
298,READER,Stimulus,Arousal,30316,10,4.346043489651482
299,READER,Stimulus,Arousal,30311,15,6.4314099755806655
300,READER,Stimulus,Arousal,30306,20,8.34244525382802
301,READER,Stimulus,Arousal,30296,30,11.36159358574872
302,READER,Stimulus,Arousal,30276,50,2.663175889085341
303,READER,Stimulus,Arousal,30256,70,0.9413824046815177
