,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,28435,1,0.2050299760208166
1,NARRATOR,Other,Unknown,28431,5,0.9803259124341956
2,NARRATOR,Other,Unknown,28426,10,1.9025543372583442
3,NARRATOR,Other,Unknown,28421,15,2.749231776033772
4,NARRATOR,Other,Unknown,28416,20,3.5105567432816844
5,NARRATOR,Other,Unknown,28406,30,4.809882274896091
6,NARRATOR,Other,Unknown,28386,50,3.3787841322661833
7,NARRATOR,Other,Unknown,28366,70,2.891486717637493
8,NARRATOR,Response,Anger,29763,1,0.9880906393022422
9,NARRATOR,Response,Anger,29759,5,4.936861069522466
10,NARRATOR,Response,Anger,29754,10,9.847027543628293
11,NARRATOR,Response,Anger,29749,15,13.929117863463503
12,NARRATOR,Response,Anger,29744,20,14.813419270551035
13,NARRATOR,Response,Anger,29734,30,14.859825936035099
14,NARRATOR,Response,Anger,29714,50,0.004388868821768446
15,NARRATOR,Response,Anger,29694,70,0.0
16,NARRATOR,Response,Anticipation,29763,1,0.3459989659029728
17,NARRATOR,Response,Anticipation,29759,5,1.7274262962672242
18,NARRATOR,Response,Anticipation,29754,10,3.4384890915409643
19,NARRATOR,Response,Anticipation,29749,15,5.098911234077863
20,NARRATOR,Response,Anticipation,29744,20,6.669717873200531
21,NARRATOR,Response,Anticipation,29734,30,9.394166957061223
22,NARRATOR,Response,Anticipation,29714,50,3.6664743389299677
23,NARRATOR,Response,Anticipation,29694,70,1.7659042900151791
24,NARRATOR,Response,Arousal,29763,1,0.7312628876895149
25,NARRATOR,Response,Arousal,29759,5,3.655176787131897
26,NARRATOR,Response,Arousal,29754,10,7.285217328384459
27,NARRATOR,Response,Arousal,29749,15,10.623617464125735
28,NARRATOR,Response,Arousal,29744,20,13.024553912506924
29,NARRATOR,Response,Arousal,29734,30,14.699768193049108
30,NARRATOR,Response,Arousal,29714,50,0.0
31,NARRATOR,Response,Arousal,29694,70,0.021407880732892764
32,NARRATOR,Response,Disgust,28435,1,0.05301617012653329
33,NARRATOR,Response,Disgust,28431,5,0.26230899582991196
34,NARRATOR,Response,Disgust,28426,10,0.5185018704227274
35,NARRATOR,Response,Disgust,28421,15,0.7703887967136754
36,NARRATOR,Response,Disgust,28416,20,1.0160483993705969
37,NARRATOR,Response,Disgust,28406,30,1.489199764715825
38,NARRATOR,Response,Disgust,28386,50,1.6580671856497082
39,NARRATOR,Response,Disgust,28366,70,1.692610807390088
40,NARRATOR,Response,Dominance,35289,1,0.024173809702234737
41,NARRATOR,Response,Dominance,35285,5,0.11914882548172076
42,NARRATOR,Response,Dominance,35280,10,0.23695810281827556
43,NARRATOR,Response,Dominance,35275,15,0.3527553410389084
44,NARRATOR,Response,Dominance,35270,20,0.46765816115534914
45,NARRATOR,Response,Dominance,35260,30,0.6930154023613218
46,NARRATOR,Response,Dominance,35240,50,0.8767180571047296
47,NARRATOR,Response,Dominance,35220,70,0.9465091078523162
48,NARRATOR,Response,Fear,35289,1,0.060370268007193875
49,NARRATOR,Response,Fear,35285,5,0.2503352810571741
50,NARRATOR,Response,Fear,35280,10,0.4363101927716573
51,NARRATOR,Response,Fear,35275,15,0.5822551474879267
52,NARRATOR,Response,Fear,35270,20,0.7031794752477428
53,NARRATOR,Response,Fear,35260,30,0.90742148578113
54,NARRATOR,Response,Fear,35240,50,0.7439484386364877
55,NARRATOR,Response,Fear,35220,70,0.7213871624479766
56,NARRATOR,Response,Joy,35289,1,0.0667655412566683
57,NARRATOR,Response,Joy,35285,5,0.3300093045607328
58,NARRATOR,Response,Joy,35280,10,0.6543938991131771
59,NARRATOR,Response,Joy,35275,15,0.973134693860536
60,NARRATOR,Response,Joy,35270,20,1.2871806068917104
61,NARRATOR,Response,Joy,35260,30,1.8975326882240022
62,NARRATOR,Response,Joy,35240,50,2.1074531192724213
63,NARRATOR,Response,Joy,35220,70,2.1125672227198646
64,NARRATOR,Response,Sadness,35289,1,0.016781228638776013
65,NARRATOR,Response,Sadness,35285,5,0.08204467534159142
66,NARRATOR,Response,Sadness,35280,10,0.16122445434647958
67,NARRATOR,Response,Sadness,35275,15,0.2387254260609892
68,NARRATOR,Response,Sadness,35270,20,0.31437809756852464
69,NARRATOR,Response,Sadness,35260,30,0.46120539817418865
70,NARRATOR,Response,Sadness,35240,50,0.5625940395676963
71,NARRATOR,Response,Sadness,35220,70,0.5976183813017955
72,NARRATOR,Response,Surprise,5991,1,0.07755559459121883
73,NARRATOR,Response,Surprise,5987,5,0.38130833599700115
74,NARRATOR,Response,Surprise,5982,10,0.7542281917962225
75,NARRATOR,Response,Surprise,5977,15,1.11586366003609
76,NARRATOR,Response,Surprise,5972,20,1.4693252075944254
77,NARRATOR,Response,Surprise,5962,30,2.1411922403551324
78,NARRATOR,Response,Surprise,5942,50,2.508819443116645
79,NARRATOR,Response,Surprise,5922,70,2.526985898949672
80,NARRATOR,Response,Trust,35289,1,0.036228183977457584
81,NARRATOR,Response,Trust,35285,5,0.17941143185708142
82,NARRATOR,Response,Trust,35280,10,0.35669809792588353
83,NARRATOR,Response,Trust,35275,15,0.5308477561084566
84,NARRATOR,Response,Trust,35270,20,0.7019578532685753
85,NARRATOR,Response,Trust,35260,30,1.036892285635025
86,NARRATOR,Response,Trust,35240,50,1.2841285108326148
87,NARRATOR,Response,Trust,35220,70,1.3728699937578186
88,NARRATOR,Response,Valence,35289,1,0.31742642023285395
89,NARRATOR,Response,Valence,35285,5,1.5827394128828438
90,NARRATOR,Response,Valence,35280,10,3.1515204694576373
91,NARRATOR,Response,Valence,35275,15,4.679136457634348
92,NARRATOR,Response,Valence,35270,20,6.12880647207206
93,NARRATOR,Response,Valence,35260,30,8.697695790158246
94,NARRATOR,Response,Valence,35240,50,3.921648045183004
95,NARRATOR,Response,Valence,35220,70,2.08838476299457
