,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,50919,1,0.4519003757318133
1,NARRATOR,Other,Unknown,50915,5,2.258688883982346
2,NARRATOR,Other,Unknown,50910,10,4.507641757611526
3,NARRATOR,Other,Unknown,50905,15,6.701251170505348
4,NARRATOR,Other,Unknown,50900,20,8.743521684283932
5,NARRATOR,Other,Unknown,50890,30,12.010835602600075
6,NARRATOR,Other,Unknown,50870,50,2.407368367887981
7,NARRATOR,Other,Unknown,50850,70,0.7249360849911856
8,NARRATOR,Response,Anger,28048,1,0.7809801997784144
9,NARRATOR,Response,Anger,28044,5,3.9045388364713527
10,NARRATOR,Response,Anger,28039,10,7.784103155514835
11,NARRATOR,Response,Anger,28034,15,11.299445441564242
12,NARRATOR,Response,Anger,28029,20,13.544783689390934
13,NARRATOR,Response,Anger,28019,30,14.705129630135675
14,NARRATOR,Response,Anger,27999,50,0.0
15,NARRATOR,Response,Anger,27979,70,0.0057952371321950205
16,NARRATOR,Response,Anticipation,33610,1,0.10139357055098876
17,NARRATOR,Response,Anticipation,33606,5,0.5027189377036807
18,NARRATOR,Response,Anticipation,33601,10,0.9942829233046403
19,NARRATOR,Response,Anticipation,33596,15,1.4750299273002039
20,NARRATOR,Response,Anticipation,33591,20,1.9413816090149252
21,NARRATOR,Response,Anticipation,33581,30,2.824034138187722
22,NARRATOR,Response,Anticipation,33561,50,2.732388011014405
23,NARRATOR,Response,Anticipation,33541,70,2.5615225437387457
24,NARRATOR,Response,Arousal,50919,1,0.5927812974034158
25,NARRATOR,Response,Arousal,50915,5,2.9578870669446244
26,NARRATOR,Response,Arousal,50910,10,5.898300004519057
27,NARRATOR,Response,Arousal,50905,15,8.696469828899847
28,NARRATOR,Response,Arousal,50900,20,11.06130944908813
29,NARRATOR,Response,Arousal,50890,30,13.985036753476873
30,NARRATOR,Response,Arousal,50870,50,1.3901967480701112
31,NARRATOR,Response,Arousal,50850,70,0.321675062924678
32,NARRATOR,Response,Disgust,26589,1,0.3241005822228702
33,NARRATOR,Response,Disgust,26585,5,1.6185010293454938
34,NARRATOR,Response,Disgust,26580,10,3.224079261143849
35,NARRATOR,Response,Disgust,26575,15,4.783531899599066
36,NARRATOR,Response,Disgust,26570,20,6.266651671127207
37,NARRATOR,Response,Disgust,26560,30,8.874925153778896
38,NARRATOR,Response,Disgust,26540,50,3.809071642766253
39,NARRATOR,Response,Disgust,26520,70,1.9377015118010357
40,NARRATOR,Response,Dominance,33610,1,0.38033594943787086
41,NARRATOR,Response,Dominance,33606,5,1.809228828972642
42,NARRATOR,Response,Dominance,33601,10,3.5002947447846506
43,NARRATOR,Response,Dominance,33596,15,4.990750140916776
44,NARRATOR,Response,Dominance,33591,20,6.186111474742277
45,NARRATOR,Response,Dominance,33581,30,7.968422779381434
46,NARRATOR,Response,Dominance,33561,50,3.6579441353747035
47,NARRATOR,Response,Dominance,33541,70,2.704559145430122
48,NARRATOR,Response,Fear,28048,1,0.4098162649566941
49,NARRATOR,Response,Fear,28044,5,2.044627120071139
50,NARRATOR,Response,Fear,28039,10,4.067692877248977
51,NARRATOR,Response,Fear,28034,15,6.0084409222399655
52,NARRATOR,Response,Fear,28029,20,7.772078513464699
53,NARRATOR,Response,Fear,28019,30,10.611619266137271
54,NARRATOR,Response,Fear,27999,50,3.131729622020404
55,NARRATOR,Response,Fear,27979,70,1.2934557753358407
56,NARRATOR,Response,Joy,28048,1,0.016876091921090283
57,NARRATOR,Response,Joy,28044,5,0.0799526255575997
58,NARRATOR,Response,Joy,28039,10,0.15380224753569857
59,NARRATOR,Response,Joy,28034,15,0.2257042210313887
60,NARRATOR,Response,Joy,28029,20,0.29492591904313653
61,NARRATOR,Response,Joy,28019,30,0.42622831300424585
62,NARRATOR,Response,Joy,27999,50,0.5186524749556548
63,NARRATOR,Response,Joy,27979,70,0.567511145940758
64,NARRATOR,Response,Sadness,33610,1,0.07196343203839556
65,NARRATOR,Response,Sadness,33606,5,0.3566907427739813
66,NARRATOR,Response,Sadness,33601,10,0.706475307966945
67,NARRATOR,Response,Sadness,33596,15,1.0513765843671916
68,NARRATOR,Response,Sadness,33591,20,1.387100308963603
69,NARRATOR,Response,Sadness,33581,30,2.033870490338629
70,NARRATOR,Response,Sadness,33561,50,2.130616435176175
71,NARRATOR,Response,Sadness,33541,70,2.0853502945138764
72,NARRATOR,Response,Surprise,28048,1,0.4521815147107513
73,NARRATOR,Response,Surprise,28044,5,2.2594520216858855
74,NARRATOR,Response,Surprise,28039,10,4.504881648620154
75,NARRATOR,Response,Surprise,28034,15,6.669843552541294
76,NARRATOR,Response,Surprise,28029,20,8.655680031112036
77,NARRATOR,Response,Surprise,28019,30,11.728925989651763
78,NARRATOR,Response,Surprise,27999,50,2.3552920248798856
79,NARRATOR,Response,Surprise,27979,70,0.6837995718693974
80,NARRATOR,Response,Trust,33610,1,0.12366025857744019
81,NARRATOR,Response,Trust,33606,5,0.6091974887374495
82,NARRATOR,Response,Trust,33601,10,1.2024734331169955
83,NARRATOR,Response,Trust,33596,15,1.7827332678573746
84,NARRATOR,Response,Trust,33591,20,2.3404818645212533
85,NARRATOR,Response,Trust,33581,30,3.3816469446820405
86,NARRATOR,Response,Trust,33561,50,2.9918080839797074
87,NARRATOR,Response,Trust,33541,70,2.6917478142438043
88,NARRATOR,Response,Valence,28435,1,0.3065573279007222
89,NARRATOR,Response,Valence,28431,5,1.5288630303700108
90,NARRATOR,Response,Valence,28426,10,3.040351608538471
91,NARRATOR,Response,Valence,28421,15,4.5006221238270365
92,NARRATOR,Response,Valence,28416,20,5.881179514891418
93,NARRATOR,Response,Valence,28406,30,8.285038319848555
94,NARRATOR,Response,Valence,28386,50,3.9848826880710715
95,NARRATOR,Response,Valence,28366,70,2.2530117960456995
96,NARRATOR,Stimulus,Anger,26582,1,0.28285472163492703
97,NARRATOR,Stimulus,Anger,26578,5,1.4093877094965113
98,NARRATOR,Stimulus,Anger,26573,10,2.800973788948147
99,NARRATOR,Stimulus,Anger,26568,15,4.149075866704643
100,NARRATOR,Stimulus,Anger,26563,20,5.4301013513155345
101,NARRATOR,Stimulus,Anger,26553,30,7.731606056641674
102,NARRATOR,Stimulus,Anger,26533,50,4.150132166913982
103,NARRATOR,Stimulus,Anger,26513,70,2.4429979234338592
104,NARRATOR,Stimulus,Anticipation,28048,1,0.08233027966944942
105,NARRATOR,Stimulus,Anticipation,28044,5,0.4046404373202734
106,NARRATOR,Stimulus,Anticipation,28039,10,0.7993262466032114
107,NARRATOR,Stimulus,Anticipation,28034,15,1.18324963258039
108,NARRATOR,Stimulus,Anticipation,28029,20,1.5567894558321556
109,NARRATOR,Stimulus,Anticipation,28019,30,2.269344245267996
110,NARRATOR,Stimulus,Anticipation,27999,50,2.34348891012665
111,NARRATOR,Stimulus,Anticipation,27979,70,2.305192631875871
112,NARRATOR,Stimulus,Arousal,32761,1,0.3751652930630432
113,NARRATOR,Stimulus,Arousal,32757,5,1.87338965558663
114,NARRATOR,Stimulus,Arousal,32752,10,3.7333551963172256
