,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,34955,1,0.5463388380531916
1,NARRATOR,Other,Unknown,34951,5,2.7246730046115997
2,NARRATOR,Other,Unknown,34946,10,5.417869902413171
3,NARRATOR,Other,Unknown,34941,15,7.943428109275766
4,NARRATOR,Other,Unknown,34936,20,10.062380549846626
5,NARRATOR,Other,Unknown,34926,30,12.866870006232626
6,NARRATOR,Other,Unknown,34906,50,1.8618941745009692
7,NARRATOR,Other,Unknown,34886,70,0.5811566994297374
8,NARRATOR,Response,Anger,34955,1,0.016117534866395104
9,NARRATOR,Response,Anger,34951,5,0.0802353189216757
10,NARRATOR,Response,Anger,34946,10,0.15939823916865262
11,NARRATOR,Response,Anger,34941,15,0.23735477384025816
12,NARRATOR,Response,Anger,34936,20,0.3144306287407816
13,NARRATOR,Response,Anger,34926,30,0.4631095247391105
14,NARRATOR,Response,Anger,34906,50,0.5922417902385695
15,NARRATOR,Response,Anger,34886,70,0.6516998703846223
16,NARRATOR,Response,Anticipation,28891,1,0.9700239453243169
17,NARRATOR,Response,Anticipation,28887,5,4.802989229721709
18,NARRATOR,Response,Anticipation,28882,10,9.542631984088901
19,NARRATOR,Response,Anticipation,28877,15,13.467136020243597
20,NARRATOR,Response,Anticipation,28872,20,14.587164926482675
21,NARRATOR,Response,Anticipation,28862,30,14.80757493430571
22,NARRATOR,Response,Anticipation,28842,50,0.08284687920895374
23,NARRATOR,Response,Anticipation,28822,70,0.0005640674776957102
24,NARRATOR,Response,Arousal,28891,1,0.2538155848876002
25,NARRATOR,Response,Arousal,28887,5,1.2680992942934413
26,NARRATOR,Response,Arousal,28882,10,2.5291396359428853
27,NARRATOR,Response,Arousal,28877,15,3.768830210706562
28,NARRATOR,Response,Arousal,28872,20,4.970775102191929
29,NARRATOR,Response,Arousal,28862,30,7.188297326101771
30,NARRATOR,Response,Arousal,28842,50,4.208543494075417
31,NARRATOR,Response,Arousal,28822,70,2.640866676888556
32,NARRATOR,Response,Disgust,34955,1,0.37956286909152426
33,NARRATOR,Response,Disgust,34951,5,1.8929892853086414
34,NARRATOR,Response,Disgust,34946,10,3.767749377805946
35,NARRATOR,Response,Disgust,34941,15,5.579093890236141
36,NARRATOR,Response,Disgust,34936,20,7.265568753837027
37,NARRATOR,Response,Disgust,34926,30,10.062644502266098
38,NARRATOR,Response,Disgust,34906,50,3.4523894602947363
39,NARRATOR,Response,Disgust,34886,70,1.5594034045559109
40,NARRATOR,Response,Dominance,64605,1,0.02379809830564152
41,NARRATOR,Response,Dominance,64601,5,0.11497389560431397
42,NARRATOR,Response,Dominance,64596,10,0.2261537736455109
43,NARRATOR,Response,Dominance,64591,15,0.3354811599025698
44,NARRATOR,Response,Dominance,64586,20,0.4437866066959178
45,NARRATOR,Response,Dominance,64576,30,0.6584493714421368
46,NARRATOR,Response,Dominance,64556,50,0.8608603427328424
47,NARRATOR,Response,Dominance,64536,70,0.9446898391702304
48,NARRATOR,Response,Fear,34955,1,0.007903676149388672
49,NARRATOR,Response,Fear,34951,5,0.03855552020762288
50,NARRATOR,Response,Fear,34946,10,0.07667579421607007
51,NARRATOR,Response,Fear,34941,15,0.11420806933572514
52,NARRATOR,Response,Fear,34936,20,0.15157564519105537
53,NARRATOR,Response,Fear,34926,30,0.2252231181280663
54,NARRATOR,Response,Fear,34906,50,0.30867289204217324
55,NARRATOR,Response,Fear,34886,70,0.35126797940048904
56,NARRATOR,Response,Joy,34955,1,0.005737926372371122
57,NARRATOR,Response,Joy,34951,5,0.027500275323202428
58,NARRATOR,Response,Joy,34946,10,0.05277454710830369
59,NARRATOR,Response,Joy,34941,15,0.07774689721014076
60,NARRATOR,Response,Joy,34936,20,0.10251521820415245
61,NARRATOR,Response,Joy,34926,30,0.1490654114651391
62,NARRATOR,Response,Joy,34906,50,0.17568141310856297
63,NARRATOR,Response,Joy,34886,70,0.18248180614043413
64,NARRATOR,Response,Sadness,34955,1,0.4908715694434856
65,NARRATOR,Response,Sadness,34951,5,2.4406286438659412
66,NARRATOR,Response,Sadness,34946,10,4.847859895868421
67,NARRATOR,Response,Sadness,34941,15,7.109566509177488
68,NARRATOR,Response,Sadness,34936,20,9.070176006181114
69,NARRATOR,Response,Sadness,34926,30,11.863447487855758
70,NARRATOR,Response,Sadness,34906,50,2.5694139533503004
71,NARRATOR,Response,Sadness,34886,70,0.9842285912297936
72,NARRATOR,Response,Surprise,24032,1,0.23764058022196166
73,NARRATOR,Response,Surprise,24028,5,1.1867549345858526
74,NARRATOR,Response,Surprise,24023,10,2.3642843716187723
