,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,64605,1,0.7692998345065305
1,NARRATOR,Other,Unknown,64601,5,3.846014281119296
2,NARRATOR,Other,Unknown,64596,10,7.6801233177572374
3,NARRATOR,Other,Unknown,64591,15,11.304739565331525
4,NARRATOR,Other,Unknown,64586,20,14.00672412551528
5,NARRATOR,Other,Unknown,64576,30,15.836524245373626
6,NARRATOR,Other,Unknown,64556,50,0.0
7,NARRATOR,Other,Unknown,64536,70,0.005128698472091178
8,NARRATOR,Response,Anger,64605,1,0.5462687611580878
9,NARRATOR,Response,Anger,64601,5,2.724770600585545
10,NARRATOR,Response,Anger,64596,10,5.43352881402762
11,NARRATOR,Response,Anger,64591,15,8.041338177765814
12,NARRATOR,Response,Anger,64586,20,10.347929766438023
13,NARRATOR,Response,Anger,64576,30,13.566531835210482
14,NARRATOR,Response,Anger,64556,50,1.776183691914624
15,NARRATOR,Response,Anger,64536,70,0.4847325157496428
16,NARRATOR,Response,Anticipation,26582,1,0.20973242086545554
17,NARRATOR,Response,Anticipation,26578,5,1.040985460397322
18,NARRATOR,Response,Anticipation,26573,10,2.066900846881055
19,NARRATOR,Response,Anticipation,26568,15,3.06702285152369
20,NARRATOR,Response,Anticipation,26563,20,4.035774371754112
21,NARRATOR,Response,Anticipation,26553,30,5.842568819598909
22,NARRATOR,Response,Anticipation,26533,50,4.184393225509467
23,NARRATOR,Response,Anticipation,26513,70,3.0821606285793104
24,NARRATOR,Response,Arousal,64605,1,0.47866025800145195
25,NARRATOR,Response,Arousal,64601,5,2.392504339800034
26,NARRATOR,Response,Arousal,64596,10,4.777174892527983
27,NARRATOR,Response,Arousal,64591,15,7.110658555545173
28,NARRATOR,Response,Arousal,64586,20,9.28943342759667
29,NARRATOR,Response,Arousal,64576,30,12.700661084621354
30,NARRATOR,Response,Arousal,64556,50,2.1198891016158217
31,NARRATOR,Response,Arousal,64536,70,0.5641020630646011
32,NARRATOR,Response,Disgust,28891,1,0.023638804582533618
33,NARRATOR,Response,Disgust,28887,5,0.11765361799178983
34,NARRATOR,Response,Disgust,28882,10,0.23433219085218185
35,NARRATOR,Response,Disgust,28877,15,0.3507588088482253
36,NARRATOR,Response,Disgust,28872,20,0.46651312753727764
37,NARRATOR,Response,Disgust,28862,30,0.6942100032616805
38,NARRATOR,Response,Disgust,28842,50,0.8627636681839868
39,NARRATOR,Response,Disgust,28822,70,0.9305575440815855
40,NARRATOR,Response,Dominance,16598,1,0.31491010497204897
41,NARRATOR,Response,Dominance,16594,5,1.5693905967330317
42,NARRATOR,Response,Dominance,16589,10,3.123028858574686
43,NARRATOR,Response,Dominance,16584,15,4.629352852047691
44,NARRATOR,Response,Dominance,16579,20,6.048902492309482
45,NARRATOR,Response,Dominance,16569,30,8.542938978945829
46,NARRATOR,Response,Dominance,16549,50,3.967565332542343
47,NARRATOR,Response,Dominance,16529,70,1.9286851955404878
48,NARRATOR,Response,Fear,5991,1,0.26872784879824624
49,NARRATOR,Response,Fear,5987,5,1.3416485797529711
50,NARRATOR,Response,Fear,5982,10,2.655982687383317
51,NARRATOR,Response,Fear,5977,15,3.931832747998959
52,NARRATOR,Response,Fear,5972,20,5.125330803899171
53,NARRATOR,Response,Fear,5962,30,7.199636242921824
54,NARRATOR,Response,Fear,5942,50,3.7674106551744315
55,NARRATOR,Response,Fear,5922,70,2.262541420310811
56,NARRATOR,Response,Joy,23866,1,0.4445383092210299
57,NARRATOR,Response,Joy,23862,5,2.2189791026310313
58,NARRATOR,Response,Joy,23857,10,4.415339416192209
59,NARRATOR,Response,Joy,23852,15,6.522246651094047
60,NARRATOR,Response,Joy,23847,20,8.413605243445048
61,NARRATOR,Response,Joy,23837,30,11.253451152139473
62,NARRATOR,Response,Joy,23817,50,0.0
63,NARRATOR,Response,Joy,23797,70,1.0057499494365225
64,NARRATOR,Response,Sadness,28891,1,0.038017559260202685
65,NARRATOR,Response,Sadness,28887,5,0.18902496059634086
66,NARRATOR,Response,Sadness,28882,10,0.3752859355161007
67,NARRATOR,Response,Sadness,28877,15,0.5581173259778006
68,NARRATOR,Response,Sadness,28872,20,0.7381207269492044
69,NARRATOR,Response,Sadness,28862,30,1.0897997961110837
70,NARRATOR,Response,Sadness,28842,50,1.2931860866790446
71,NARRATOR,Response,Sadness,28822,70,1.3257367195438452
72,NARRATOR,Response,Surprise,28891,1,0.04316715479975718
73,NARRATOR,Response,Surprise,28887,5,0.2146710605534244
74,NARRATOR,Response,Surprise,28882,10,0.4271029186879647
75,NARRATOR,Response,Surprise,28877,15,0.6365944222796228
76,NARRATOR,Response,Surprise,28872,20,0.8436090321649874
77,NARRATOR,Response,Surprise,28862,30,1.25228110570297
78,NARRATOR,Response,Surprise,28842,50,1.4989520414339108
79,NARRATOR,Response,Surprise,28822,70,1.5451922153339914
80,NARRATOR,Response,Trust,13177,1,0.03658751119836305
81,NARRATOR,Response,Trust,13173,5,0.1770252103630724
82,NARRATOR,Response,Trust,13168,10,0.350688157449865
83,NARRATOR,Response,Trust,13163,15,0.520262101049303
84,NARRATOR,Response,Trust,13158,20,0.6882943354562817
85,NARRATOR,Response,Trust,13148,30,1.0162277075421782
86,NARRATOR,Response,Trust,13128,50,1.2393166918067497
87,NARRATOR,Response,Trust,13108,70,1.2854168445139198
88,NARRATOR,Response,Valence,64605,1,0.47861194204431035
89,NARRATOR,Response,Valence,64601,5,2.392259772563726
90,NARRATOR,Response,Valence,64596,10,4.776673212011887
91,NARRATOR,Response,Valence,64591,15,7.109858689035523
92,NARRATOR,Response,Valence,64586,20,9.288192337782705
93,NARRATOR,Response,Valence,64576,30,12.698039024819147
94,NARRATOR,Response,Valence,64556,50,2.1202575627476508
95,NARRATOR,Response,Valence,64536,70,0.5641020630646011
96,NARRATOR,Stimulus,Anger,16598,1,0.2910113555307791
97,NARRATOR,Stimulus,Anger,16594,5,1.4504825939555868
98,NARRATOR,Stimulus,Anger,16589,10,2.8825200446814696
99,NARRATOR,Stimulus,Anger,16584,15,4.25936846971126
100,NARRATOR,Stimulus,Anger,16579,20,5.561984206582139
101,NARRATOR,Stimulus,Anger,16569,30,7.859208978989564
102,NARRATOR,Stimulus,Anger,16549,50,3.9194155120777925
103,NARRATOR,Stimulus,Anger,16529,70,2.12890694610594
104,NARRATOR,Stimulus,Anticipation,28891,1,0.3813155081417489
105,NARRATOR,Stimulus,Anticipation,28887,5,1.9040297201864729
106,NARRATOR,Stimulus,Anticipation,28882,10,3.796339054495397
107,NARRATOR,Stimulus,Anticipation,28877,15,5.628870081307044
108,NARRATOR,Stimulus,Anticipation,28872,20,7.340616022236881
109,NARRATOR,Stimulus,Anticipation,28862,30,10.173324056723256
110,NARRATOR,Stimulus,Anticipation,28842,50,3.230728713590967
111,NARRATOR,Stimulus,Anticipation,28822,70,1.4008895320916905
112,NARRATOR,Stimulus,Arousal,64605,1,0.5089742960286783
113,NARRATOR,Stimulus,Arousal,64601,5,2.5434249058279175
114,NARRATOR,Stimulus,Arousal,64596,10,5.075897872411441
115,NARRATOR,Stimulus,Arousal,64591,15,7.530712268373209
116,NARRATOR,Stimulus,Arousal,64586,20,9.766992705843629
117,NARRATOR,Stimulus,Arousal,64576,30,13.085668606243686
118,NARRATOR,Stimulus,Arousal,64556,50,0.0
119,NARRATOR,Stimulus,Arousal,64536,70,0.5513734151804204
120,NARRATOR,Stimulus,Disgust,29763,1,0.02421881279044527
121,NARRATOR,Stimulus,Disgust,29759,5,0.11850186586685119
122,NARRATOR,Stimulus,Disgust,29754,10,0.2346877649681178
123,NARRATOR,Stimulus,Disgust,29749,15,0.34864155516474765
124,NARRATOR,Stimulus,Disgust,29744,20,0.4608708635238597
125,NARRATOR,Stimulus,Disgust,29734,30,0.6786661847532809
126,NARRATOR,Stimulus,Disgust,29714,50,0.845260776212298
127,NARRATOR,Stimulus,Disgust,29694,70,0.9155503026780097
128,NARRATOR,Stimulus,Dominance,13876,1,0.2356308517746522
129,NARRATOR,Stimulus,Dominance,13872,5,1.1110639381903769
130,NARRATOR,Stimulus,Dominance,13867,10,2.122099436735691
131,NARRATOR,Stimulus,Dominance,13862,15,3.010709494690251
132,NARRATOR,Stimulus,Dominance,13857,20,3.7570864864816813
133,NARRATOR,Stimulus,Dominance,13847,30,4.917782686628225
134,NARRATOR,Stimulus,Dominance,13827,50,2.9072219115127194
135,NARRATOR,Stimulus,Dominance,13807,70,2.3224972165005795
136,NARRATOR,Stimulus,Fear,24032,1,0.08399818493541222
137,NARRATOR,Stimulus,Fear,24028,5,0.4175881589066299
138,NARRATOR,Stimulus,Fear,24023,10,0.824589203948684
139,NARRATOR,Stimulus,Fear,24018,15,1.2207246001981495
140,NARRATOR,Stimulus,Fear,24013,20,1.6084170334233252
141,NARRATOR,Stimulus,Fear,24003,30,2.3523717397523676
142,NARRATOR,Stimulus,Fear,23983,50,2.4568978638176837
143,NARRATOR,Stimulus,Fear,23963,70,2.4244370252963647
144,NARRATOR,Stimulus,Joy,28435,1,0.09551445767776894
145,NARRATOR,Stimulus,Joy,28431,5,0.4375701040638864
146,NARRATOR,Stimulus,Joy,28426,10,0.8417579745920364
147,NARRATOR,Stimulus,Joy,28421,15,1.2302692980393912
148,NARRATOR,Stimulus,Joy,28416,20,1.604821319091433
149,NARRATOR,Stimulus,Joy,28406,30,2.3144609222239882
150,NARRATOR,Stimulus,Joy,28386,50,2.462099825037533
151,NARRATOR,Stimulus,Joy,28366,70,2.464244428008536
152,NARRATOR,Stimulus,Sadness,16598,1,0.31564197129976107
153,NARRATOR,Stimulus,Sadness,16594,5,1.5725325848600367
154,NARRATOR,Stimulus,Sadness,16589,10,3.1279254665058773
155,NARRATOR,Stimulus,Sadness,16584,15,4.636470849193448
156,NARRATOR,Stimulus,Sadness,16579,20,6.058604727017894
157,NARRATOR,Stimulus,Sadness,16569,30,8.558514771472591
158,NARRATOR,Stimulus,Sadness,16549,50,4.025566102355197
159,NARRATOR,Stimulus,Sadness,16529,70,1.9198163009490647
160,NARRATOR,Stimulus,Surprise,23866,1,0.8058206348375273
161,NARRATOR,Stimulus,Surprise,23862,5,4.026130773764216
162,NARRATOR,Stimulus,Surprise,23857,10,8.017027592678216
163,NARRATOR,Stimulus,Surprise,23852,15,11.522897493478276
164,NARRATOR,Stimulus,Surprise,23847,20,13.596224921270489
165,NARRATOR,Stimulus,Surprise,23837,30,14.503740212501125
166,NARRATOR,Stimulus,Surprise,23817,50,0.0
167,NARRATOR,Stimulus,Surprise,23797,70,0.0006715618278449887
168,NARRATOR,Stimulus,Trust,23866,1,0.4445383092210299
169,NARRATOR,Stimulus,Trust,23862,5,2.2189791026310313
170,NARRATOR,Stimulus,Trust,23857,10,4.415339416192209
171,NARRATOR,Stimulus,Trust,23852,15,6.522246651094047
172,NARRATOR,Stimulus,Trust,23847,20,8.413605243445048
173,NARRATOR,Stimulus,Trust,23837,30,11.253451152139473
174,NARRATOR,Stimulus,Trust,23817,50,0.0
175,NARRATOR,Stimulus,Trust,23797,70,1.0057499494365225
176,NARRATOR,Stimulus,Valence,28891,1,0.9827172179476248
177,NARRATOR,Stimulus,Valence,28887,5,4.879746751444448
178,NARRATOR,Stimulus,Valence,28882,10,9.704811525785757
179,NARRATOR,Stimulus,Valence,28877,15,13.698961409796476
180,NARRATOR,Stimulus,Valence,28872,20,14.669521303966947
181,NARRATOR,Stimulus,Valence,28862,30,14.811805405703055
182,NARRATOR,Stimulus,Valence,28842,50,0.06368835762272548
183,NARRATOR,Stimulus,Valence,28822,70,0.001692197222728173
184,READER,Other,Unknown,29894,1,0.06343698031911
185,READER,Other,Unknown,29890,5,0.31397212710896644
186,READER,Other,Unknown,29885,10,0.6212658474170554
187,READER,Other,Unknown,29880,15,0.9230464465163984
188,READER,Other,Unknown,29875,20,1.2180982115430974
189,READER,Other,Unknown,29865,30,1.7863117308174565
190,READER,Other,Unknown,29845,50,1.9663210394983206
191,READER,Other,Unknown,29825,70,2.00589552604125
192,READER,Response,Anger,5991,1,0.26872784879824624
193,READER,Response,Anger,5987,5,1.3416485797529711
194,READER,Response,Anger,5982,10,2.655982687383317
195,READER,Response,Anger,5977,15,3.931832747998959
196,READER,Response,Anger,5972,20,5.125330803899171
197,READER,Response,Anger,5962,30,7.199636242921824
198,READER,Response,Anger,5942,50,3.7674106551744315
199,READER,Response,Anger,5922,70,2.262541420310811
200,READER,Response,Anticipation,29894,1,0.02087761556688148
201,READER,Response,Anticipation,29890,5,0.10351893801647055
202,READER,Response,Anticipation,29885,10,0.20536803067478043
203,READER,Response,Anticipation,29880,15,0.3046832259727288
204,READER,Response,Anticipation,29875,20,0.40095386111296194
205,READER,Response,Anticipation,29865,30,0.5891558472210071
206,READER,Response,Anticipation,29845,50,0.751100961761744
207,READER,Response,Anticipation,29825,70,0.8161569698888309
208,READER,Response,Arousal,64605,1,0.7694930593216596
209,READER,Response,Arousal,64601,5,3.8469720577723843
210,READER,Response,Arousal,64596,10,7.68210684415858
211,READER,Response,Arousal,64591,15,11.307639293491695
212,READER,Response,Arousal,64586,20,14.010441828742865
213,READER,Response,Arousal,64576,30,15.837542564564421
214,READER,Response,Arousal,64556,50,0.0
215,READER,Response,Arousal,64536,70,0.005128698472091178
216,READER,Response,Disgust,29763,1,0.1385520277240452
217,READER,Response,Disgust,29759,5,0.6652868864075602
218,READER,Response,Disgust,29754,10,1.2848706513414392
219,READER,Response,Disgust,29749,15,1.8546000769183062
220,READER,Response,Disgust,29744,20,2.383109773673421
221,READER,Response,Disgust,29734,30,3.3097747064616696
222,READER,Response,Disgust,29714,50,2.6302545555362413
223,READER,Response,Disgust,29694,70,2.3673928704045837
224,READER,Response,Dominance,35289,1,0.17914518759045522
225,READER,Response,Dominance,35285,5,0.8061784670696124
226,READER,Response,Dominance,35280,10,1.5401133171829275
227,READER,Response,Dominance,35275,15,2.2148607804226783
228,READER,Response,Dominance,35270,20,2.8336157496636747
229,READER,Response,Dominance,35260,30,3.9691647225929527
230,READER,Response,Dominance,35240,50,3.458823192730708
231,READER,Response,Dominance,35220,70,3.1648103066099846
232,READER,Response,Fear,64605,1,0.47866025800145195
233,READER,Response,Fear,64601,5,2.392504339800034
234,READER,Response,Fear,64596,10,4.777174892527983
235,READER,Response,Fear,64591,15,7.110658555545173
236,READER,Response,Fear,64586,20,9.28943342759667
237,READER,Response,Fear,64576,30,12.700661084621354
238,READER,Response,Fear,64556,50,2.1198891016158217
239,READER,Response,Fear,64536,70,0.5641020630646011
240,READER,Response,Joy,64605,1,0.7692998345065305
241,READER,Response,Joy,64601,5,3.846014281119296
242,READER,Response,Joy,64596,10,7.6801233177572374
243,READER,Response,Joy,64591,15,11.304739565331525
244,READER,Response,Joy,64586,20,14.00672412551528
245,READER,Response,Joy,64576,30,15.836524245373626
246,READER,Response,Joy,64556,50,0.0
247,READER,Response,Joy,64536,70,0.005128698472091178
248,READER,Response,Sadness,29894,1,0.19189956282294135
249,READER,Response,Sadness,29890,5,0.9320284914518243
250,READER,Response,Sadness,29885,10,1.8170702438388902
251,READER,Response,Sadness,29880,15,2.6441874182333316
252,READER,Response,Sadness,29875,20,3.3979905026932853
253,READER,Response,Sadness,29865,30,4.71199041034359
254,READER,Response,Sadness,29845,50,3.354621561059963
255,READER,Response,Sadness,29825,70,2.9122647435994398
256,READER,Response,Surprise,35289,1,0.9922733697208095
