,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,30295,1,0.4872978485287456
1,NARRATOR,Other,Unknown,30291,5,2.4307784616675594
2,NARRATOR,Other,Unknown,30286,10,4.837145680011507
3,NARRATOR,Other,Unknown,30281,15,7.117924203826865
4,NARRATOR,Other,Unknown,30276,20,9.10671450392541
5,NARRATOR,Other,Unknown,30266,30,11.965231581635132
6,NARRATOR,Other,Unknown,30246,50,2.3844295145257672
7,NARRATOR,Other,Unknown,30226,70,0.8062078658204537
8,NARRATOR,Response,Anger,30295,1,0.0014600877891325424
9,NARRATOR,Response,Anger,30291,5,0.007301167108383322
10,NARRATOR,Response,Anger,30286,10,0.01460415491904647
11,NARRATOR,Response,Anger,30281,15,0.021908963924297104
12,NARRATOR,Response,Anger,30276,20,0.029215594616219705
13,NARRATOR,Response,Anger,30266,30,0.043834323027296195
14,NARRATOR,Response,Anger,30246,50,0.05573568509411375
15,NARRATOR,Response,Anger,30226,70,0.05531664962592011
16,NARRATOR,Response,Anticipation,30295,1,0.9983582647720608
17,NARRATOR,Response,Anticipation,30291,5,4.989111192387373
18,NARRATOR,Response,Anticipation,30286,10,9.952428072347539
19,NARRATOR,Response,Anticipation,30281,15,14.076982784273774
20,NARRATOR,Response,Anticipation,30276,20,14.850858278355227
21,NARRATOR,Response,Anticipation,30266,30,14.88541039856979
22,NARRATOR,Response,Anticipation,30246,50,0.0
23,NARRATOR,Response,Anticipation,30226,70,0.0
24,NARRATOR,Response,Arousal,35025,1,0.35390261853960586
25,NARRATOR,Response,Arousal,35021,5,1.7647485049003369
26,NARRATOR,Response,Arousal,35016,10,3.5116068079881892
27,NARRATOR,Response,Arousal,35011,15,5.203779254320663
28,NARRATOR,Response,Arousal,35006,20,6.7884608399661435
29,NARRATOR,Response,Arousal,34996,30,9.485677618611028
30,NARRATOR,Response,Arousal,34976,50,3.7179109859180275
31,NARRATOR,Response,Arousal,34956,70,1.7958798285534423
32,NARRATOR,Response,Disgust,30295,1,0.5235068752983036
33,NARRATOR,Response,Disgust,30291,5,2.614568503890227
34,NARRATOR,Response,Disgust,30286,10,5.207099164672604
35,NARRATOR,Response,Disgust,30281,15,7.679676049738743
36,NARRATOR,Response,Disgust,30276,20,9.827293881518672
37,NARRATOR,Response,Disgust,30266,30,12.75473613986051
38,NARRATOR,Response,Disgust,30246,50,1.7175742578120254
39,NARRATOR,Response,Disgust,30226,70,0.4051284083448804
40,NARRATOR,Response,Dominance,35025,1,0.8535375638036367
41,NARRATOR,Response,Dominance,35021,5,4.267022737588224
42,NARRATOR,Response,Dominance,35016,10,8.513128939393493
43,NARRATOR,Response,Dominance,35011,15,12.317256648212116
44,NARRATOR,Response,Dominance,35006,20,14.419704788836597
45,NARRATOR,Response,Dominance,34996,30,15.086651330136215
46,NARRATOR,Response,Dominance,34976,50,0.0
47,NARRATOR,Response,Dominance,34956,70,0.0
48,NARRATOR,Response,Fear,30295,1,0.13322517713368048
49,NARRATOR,Response,Fear,30291,5,0.6081781873757435
50,NARRATOR,Response,Fear,30286,10,1.1596705222164394
51,NARRATOR,Response,Fear,30281,15,1.6699390078859595
52,NARRATOR,Response,Fear,30276,20,2.155811613451417
53,NARRATOR,Response,Fear,30266,30,3.062836441971922
54,NARRATOR,Response,Fear,30246,50,2.8509797976022417
55,NARRATOR,Response,Fear,30226,70,2.7211667816850373
56,NARRATOR,Response,Joy,30295,1,0.9984874582434082
57,NARRATOR,Response,Joy,30291,5,4.989685937175441
58,NARRATOR,Response,Joy,30286,10,9.953751542131128
59,NARRATOR,Response,Joy,30281,15,14.076796006570023
60,NARRATOR,Response,Joy,30276,20,14.850279939902192
61,NARRATOR,Response,Joy,30266,30,14.88541039856979
62,NARRATOR,Response,Joy,30246,50,0.0
63,NARRATOR,Response,Joy,30226,70,0.0
64,NARRATOR,Response,Sadness,12355,1,0.2187130983937624
