,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,62482,1,0.5448548036113826
1,NARRATOR,Other,Unknown,62478,5,2.716174382317998
2,NARRATOR,Other,Unknown,62473,10,5.412033226770318
3,NARRATOR,Other,Unknown,62468,15,7.999130574909781
4,NARRATOR,Other,Unknown,62463,20,10.262091028501754
5,NARRATOR,Other,Unknown,62453,30,13.396913354293202
6,NARRATOR,Other,Unknown,62433,50,1.911596929530291
7,NARRATOR,Other,Unknown,62413,70,0.5974177625482083
8,NARRATOR,Response,Anger,7003,1,0.22492155726667412
9,NARRATOR,Response,Anger,6999,5,1.1185635192817078
10,NARRATOR,Response,Anger,6994,10,2.216880515220571
11,NARRATOR,Response,Anger,6989,15,3.2784142435090677
12,NARRATOR,Response,Anger,6984,20,4.2841254905559385
13,NARRATOR,Response,Anger,6974,30,6.052290697016506
14,NARRATOR,Response,Anger,6954,50,3.9606771529036804
15,NARRATOR,Response,Anger,6934,70,2.6622042518682583
16,NARRATOR,Response,Anticipation,34298,1,0.4445134762003829
17,NARRATOR,Response,Anticipation,34294,5,2.1895051079423165
18,NARRATOR,Response,Anticipation,34289,10,4.320565539191553
19,NARRATOR,Response,Anticipation,34284,15,6.287374670780834
20,NARRATOR,Response,Anticipation,34279,20,7.9367996295836925
21,NARRATOR,Response,Anticipation,34269,30,10.266612590185682
22,NARRATOR,Response,Anticipation,34249,50,3.181640293443373
23,NARRATOR,Response,Anticipation,34229,70,1.8389546957129097
24,NARRATOR,Response,Arousal,62482,1,0.45477241702135035
25,NARRATOR,Response,Arousal,62478,5,2.272632709376564
26,NARRATOR,Response,Arousal,62473,10,4.537151492380544
27,NARRATOR,Response,Arousal,62468,15,6.750566820247
28,NARRATOR,Response,Arousal,62463,20,8.82257682230963
29,NARRATOR,Response,Arousal,62453,30,12.1874250342291
30,NARRATOR,Response,Arousal,62433,50,2.479382436160979
31,NARRATOR,Response,Arousal,62413,70,0.7245257542227632
32,NARRATOR,Response,Disgust,28048,1,0.013491831928546041
33,NARRATOR,Response,Disgust,28044,5,0.06566376729029287
34,NARRATOR,Response,Disgust,28039,10,0.12740993870321188
35,NARRATOR,Response,Disgust,28034,15,0.1855453068373022
36,NARRATOR,Response,Disgust,28029,20,0.24189989655676317
37,NARRATOR,Response,Disgust,28019,30,0.3496671749083815
38,NARRATOR,Response,Disgust,27999,50,0.43014926893167604
39,NARRATOR,Response,Disgust,27979,70,0.47180686020174184
40,NARRATOR,Response,Dominance,7003,1,0.07114120029297326
41,NARRATOR,Response,Dominance,6999,5,0.3544621825328159
42,NARRATOR,Response,Dominance,6994,10,0.7034675986910968
43,NARRATOR,Response,Dominance,6989,15,1.042564073716535
44,NARRATOR,Response,Dominance,6984,20,1.3649187266713787
45,NARRATOR,Response,Dominance,6974,30,1.9725567244443616
46,NARRATOR,Response,Dominance,6954,50,2.04731290379262
47,NARRATOR,Response,Dominance,6934,70,2.0308985659514684
48,NARRATOR,Response,Fear,62482,1,0.5388619958576919
49,NARRATOR,Response,Fear,62478,5,2.691365667760012
50,NARRATOR,Response,Fear,62473,10,5.367458860201819
51,NARRATOR,Response,Fear,62468,15,7.947767028592093
52,NARRATOR,Response,Fear,62463,20,10.242949428234922
53,NARRATOR,Response,Fear,62453,30,13.438428710001157
54,NARRATOR,Response,Fear,62433,50,1.7596265406462384
55,NARRATOR,Response,Fear,62413,70,0.39971083129918744
56,NARRATOR,Response,Joy,13496,1,0.19220219333011868
57,NARRATOR,Response,Joy,13492,5,0.958794968567124
58,NARRATOR,Response,Joy,13487,10,1.906151281227217
59,NARRATOR,Response,Joy,13482,15,2.829741521313672
60,NARRATOR,Response,Joy,13477,20,3.728497038203559
61,NARRATOR,Response,Joy,13467,30,5.438666358189014
62,NARRATOR,Response,Joy,13447,50,4.165025205581583
63,NARRATOR,Response,Joy,13427,70,3.008858827835334
64,NARRATOR,Response,Sadness,38535,1,0.43853231730858905
65,NARRATOR,Response,Sadness,38531,5,2.1919769292410356
66,NARRATOR,Response,Sadness,38526,10,4.371906185710119
67,NARRATOR,Response,Sadness,38521,15,6.4892148569224215
68,NARRATOR,Response,Sadness,38516,20,8.451890517249767
69,NARRATOR,Response,Sadness,38506,30,11.578656774131161
