,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,32839,1,0.4861432551598168
1,NARRATOR,Other,Unknown,32835,5,2.420682131092278
2,NARRATOR,Other,Unknown,32830,10,4.813194048113004
3,NARRATOR,Other,Unknown,32825,15,7.078978959992602
4,NARRATOR,Other,Unknown,32820,20,9.052708397239726
5,NARRATOR,Other,Unknown,32810,30,11.842379186817467
6,NARRATOR,Other,Unknown,32790,50,2.5451319929958074
7,NARRATOR,Other,Unknown,32770,70,1.0314638805297736
8,NARRATOR,Response,Anger,12051,1,0.3284126014668732
9,NARRATOR,Response,Anger,12047,5,1.639086859366519
10,NARRATOR,Response,Anger,12042,10,3.2555449756996486
11,NARRATOR,Response,Anger,12037,15,4.796828636514397
12,NARRATOR,Response,Anger,12032,20,6.205450902038264
13,NARRATOR,Response,Anger,12022,30,8.550016552762461
14,NARRATOR,Response,Anger,12002,50,3.5944627819189
15,NARRATOR,Response,Anger,11982,70,1.906526425060244
16,NARRATOR,Response,Anticipation,20429,1,0.6277538910528403
17,NARRATOR,Response,Anticipation,20425,5,3.1362476234050463
18,NARRATOR,Response,Anticipation,20420,10,6.239645733166016
19,NARRATOR,Response,Anticipation,20415,15,9.094008487081236
20,NARRATOR,Response,Anticipation,20410,20,11.318341001490555
21,NARRATOR,Response,Anticipation,20400,30,13.56666964815053
22,NARRATOR,Response,Anticipation,20380,50,0.8601766773760232
23,NARRATOR,Response,Anticipation,20360,70,0.15488944079557254
24,NARRATOR,Response,Arousal,32839,1,0.48604933296870323
25,NARRATOR,Response,Arousal,32835,5,2.4202120454744844
26,NARRATOR,Response,Arousal,32830,10,4.81209743122049
27,NARRATOR,Response,Arousal,32825,15,7.077997260374518
28,NARRATOR,Response,Arousal,32820,20,9.051941071113378
29,NARRATOR,Response,Arousal,32810,30,11.84206633517143
30,NARRATOR,Response,Arousal,32790,50,2.5451319929958074
31,NARRATOR,Response,Arousal,32770,70,1.0314638805297736
32,NARRATOR,Response,Disgust,28048,1,0.5712336741487983
33,NARRATOR,Response,Disgust,28044,5,2.85395433954349
34,NARRATOR,Response,Disgust,28039,10,5.68446704413484
35,NARRATOR,Response,Disgust,28034,15,8.357777416325607
36,NARRATOR,Response,Disgust,28029,20,10.62262343169267
37,NARRATOR,Response,Disgust,28019,30,13.39754852173953
38,NARRATOR,Response,Disgust,27999,50,1.103867193724403
39,NARRATOR,Response,Disgust,27979,70,0.1775435136509779
40,NARRATOR,Response,Dominance,35025,1,0.0016603808807520051
41,NARRATOR,Response,Dominance,35021,5,0.007728764850624377
42,NARRATOR,Response,Dominance,35016,10,0.014542384920988853
43,NARRATOR,Response,Dominance,35011,15,0.021343507355583807
44,NARRATOR,Response,Dominance,35006,20,0.02814613056159667
45,NARRATOR,Response,Dominance,34996,30,0.041755880797646625
46,NARRATOR,Response,Dominance,34976,50,0.060183115122228716
47,NARRATOR,Response,Dominance,34956,70,0.06789793125743272
48,NARRATOR,Response,Fear,32839,1,0.04089936404804193
49,NARRATOR,Response,Fear,32835,5,0.2004188510678995
50,NARRATOR,Response,Fear,32830,10,0.3973766075828331
51,NARRATOR,Response,Fear,32825,15,0.5911660871085366
52,NARRATOR,Response,Fear,32820,20,0.7831210966364729
53,NARRATOR,Response,Fear,32810,30,1.1583803603257803
54,NARRATOR,Response,Fear,32790,50,1.4208659499104592
55,NARRATOR,Response,Fear,32770,70,1.5114190657338655
56,NARRATOR,Response,Joy,29260,1,0.774311232460438
57,NARRATOR,Response,Joy,29256,5,3.8535252466290064
58,NARRATOR,Response,Joy,29251,10,7.666606859020826
59,NARRATOR,Response,Joy,29246,15,11.05945258589623
60,NARRATOR,Response,Joy,29241,20,13.207051962873397
61,NARRATOR,Response,Joy,29231,30,14.60597813911945
62,NARRATOR,Response,Joy,29211,50,0.4149946981220579
63,NARRATOR,Response,Joy,29191,70,0.06779047607218734
64,NARRATOR,Response,Sadness,22907,1,0.20431951738953166
65,NARRATOR,Response,Sadness,22903,5,0.9473431599256817
66,NARRATOR,Response,Sadness,22898,10,1.815828370547094
67,NARRATOR,Response,Sadness,22893,15,2.600769809659651
68,NARRATOR,Response,Sadness,22888,20,3.3233597847433005
69,NARRATOR,Response,Sadness,22878,30,4.641880411371213
70,NARRATOR,Response,Sadness,22858,50,3.693577083839451
71,NARRATOR,Response,Sadness,22838,70,3.1796284588193804
72,NARRATOR,Response,Surprise,26029,1,0.11641277239826515
73,NARRATOR,Response,Surprise,26025,5,0.5779338953712865
74,NARRATOR,Response,Surprise,26020,10,1.1434196426975962
75,NARRATOR,Response,Surprise,26015,15,1.6938761879699604
76,NARRATOR,Response,Surprise,26010,20,2.219883675112276
77,NARRATOR,Response,Surprise,26000,30,3.182203462956297
78,NARRATOR,Response,Surprise,25980,50,2.808644341598891
79,NARRATOR,Response,Surprise,25960,70,2.5250194451717634
80,NARRATOR,Response,Trust,22907,1,0.21452658645949638
81,NARRATOR,Response,Trust,22903,5,1.0701327907056768
82,NARRATOR,Response,Trust,22898,10,2.1307347010326376
83,NARRATOR,Response,Trust,22893,15,3.1586573396944573
84,NARRATOR,Response,Trust,22888,20,4.14348933847939
85,NARRATOR,Response,Trust,22878,30,5.961648806739401
86,NARRATOR,Response,Trust,22858,50,4.085189697248567
87,NARRATOR,Response,Trust,22838,70,2.9882654352978295
88,NARRATOR,Response,Valence,22907,1,0.010131084704482186
89,NARRATOR,Response,Valence,22903,5,0.049862583835130245
90,NARRATOR,Response,Valence,22898,10,0.09796125615366216
91,NARRATOR,Response,Valence,22893,15,0.1447218051958697
92,NARRATOR,Response,Valence,22888,20,0.19104490366825702
93,NARRATOR,Response,Valence,22878,30,0.2836380097487181
