,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,19010,1,0.9994004828770824
1,NARRATOR,Other,Unknown,19006,5,4.99446381203908
2,NARRATOR,Other,Unknown,19001,10,9.946620545867178
3,NARRATOR,Other,Unknown,18996,15,13.686322495709138
4,NARRATOR,Other,Unknown,18991,20,14.194860724977133
5,NARRATOR,Other,Unknown,18981,30,14.212268381234617
6,NARRATOR,Other,Unknown,18961,50,0.0
7,NARRATOR,Other,Unknown,18941,70,0.0
8,NARRATOR,Response,Anger,5791,1,0.22570494617710263
9,NARRATOR,Response,Anger,5787,5,1.1141920796008677
10,NARRATOR,Response,Anger,5782,10,2.1869625675550335
11,NARRATOR,Response,Anger,5777,15,3.2046273521606787
12,NARRATOR,Response,Anger,5772,20,4.158962210658363
13,NARRATOR,Response,Anger,5762,30,5.893671591341189
14,NARRATOR,Response,Anger,5742,50,4.10690906303057
15,NARRATOR,Response,Anger,5722,70,2.9143241251683505
16,NARRATOR,Response,Anticipation,30428,1,0.7389700288746608
17,NARRATOR,Response,Anticipation,30424,5,3.6905700953564895
18,NARRATOR,Response,Anticipation,30419,10,7.353682791584861
19,NARRATOR,Response,Anticipation,30414,15,10.67993112813034
20,NARRATOR,Response,Anticipation,30409,20,12.962362548985823
21,NARRATOR,Response,Anticipation,30399,30,14.633747360209826
22,NARRATOR,Response,Anticipation,30379,50,0.39925139566086953
23,NARRATOR,Response,Anticipation,30359,70,0.03496538422608984
24,NARRATOR,Response,Arousal,16492,1,0.23566970059641995
25,NARRATOR,Response,Arousal,16488,5,1.1780371486140016
26,NARRATOR,Response,Arousal,16483,10,2.3496862794035134
27,NARRATOR,Response,Arousal,16478,15,3.495142482967949
28,NARRATOR,Response,Arousal,16473,20,4.5983466171407645
29,NARRATOR,Response,Arousal,16463,30,6.628931318558789
30,NARRATOR,Response,Arousal,16443,50,4.159634992937852
31,NARRATOR,Response,Arousal,16423,70,2.7016389267301992
32,NARRATOR,Response,Disgust,30428,1,0.41940099644781825
33,NARRATOR,Response,Disgust,30424,5,2.0953039092168724
34,NARRATOR,Response,Disgust,30419,10,4.174024446467333
35,NARRATOR,Response,Disgust,30414,15,6.181947361938699
36,NARRATOR,Response,Disgust,30409,20,8.030134403254673
37,NARRATOR,Response,Disgust,30399,30,10.976297415117509
38,NARRATOR,Response,Disgust,30379,50,0.0
39,NARRATOR,Response,Disgust,30359,70,1.096180678081173
40,NARRATOR,Response,Dominance,7166,1,0.30719392528928796
41,NARRATOR,Response,Dominance,7162,5,1.5319051438505338
42,NARRATOR,Response,Dominance,7157,10,3.0375637189774527
43,NARRATOR,Response,Dominance,7152,15,4.472424408264921
44,NARRATOR,Response,Dominance,7147,20,5.780683111489573
45,NARRATOR,Response,Dominance,7137,30,7.951554077881798
46,NARRATOR,Response,Dominance,7117,50,3.7073858703809646
47,NARRATOR,Response,Dominance,7097,70,2.1652707655026666
48,NARRATOR,Response,Fear,5791,1,0.3202326518081563
49,NARRATOR,Response,Fear,5787,5,1.5936279997605372
50,NARRATOR,Response,Fear,5782,10,3.1495748381967
51,NARRATOR,Response,Fear,5777,15,4.623880509856389
52,NARRATOR,Response,Fear,5772,20,5.968126909063811
53,NARRATOR,Response,Fear,5762,30,8.185606470502337
54,NARRATOR,Response,Fear,5742,50,3.6660394463212844
55,NARRATOR,Response,Fear,5722,70,1.888086906617163
56,NARRATOR,Response,Joy,19010,1,0.5717888658314887
57,NARRATOR,Response,Joy,19006,5,2.857995666310469
58,NARRATOR,Response,Joy,19001,10,5.685197614367189
