,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,28891,1,0.9961963703263217
1,NARRATOR,Other,Unknown,28887,5,4.959988315316499
2,NARRATOR,Other,Unknown,28882,10,9.879992744712828
3,NARRATOR,Other,Unknown,28877,15,13.953175322651933
4,NARRATOR,Other,Unknown,28872,20,14.768653705122988
5,NARRATOR,Other,Unknown,28862,30,14.816883654785949
6,NARRATOR,Other,Unknown,28842,50,0.01352858599177324
7,NARRATOR,Other,Unknown,28822,70,0.0
8,NARRATOR,Response,Anger,34955,1,0.06288056485317102
9,NARRATOR,Response,Anger,34951,5,0.310187939411262
10,NARRATOR,Response,Anger,34946,10,0.6139756623748591
11,NARRATOR,Response,Anger,34941,15,0.9109764157374256
12,NARRATOR,Response,Anger,34936,20,1.202118548010419
13,NARRATOR,Response,Anger,34926,30,1.7668543108772088
14,NARRATOR,Response,Anger,34906,50,1.9145137984779728
15,NARRATOR,Response,Anger,34886,70,1.9064233560817498
16,NARRATOR,Response,Anticipation,34955,1,0.4908715694434856
17,NARRATOR,Response,Anticipation,34951,5,2.4406286438659412
18,NARRATOR,Response,Anticipation,34946,10,4.847859895868421
19,NARRATOR,Response,Anticipation,34941,15,7.109566509177488
20,NARRATOR,Response,Anticipation,34936,20,9.070176006181114
21,NARRATOR,Response,Anticipation,34926,30,11.863447487855758
22,NARRATOR,Response,Anticipation,34906,50,2.5694139533503004
23,NARRATOR,Response,Anticipation,34886,70,0.9842285912297936
24,NARRATOR,Response,Arousal,34955,1,0.48841500556812717
25,NARRATOR,Response,Arousal,34951,5,2.4298500737715765
26,NARRATOR,Response,Arousal,34946,10,4.832176487587312
27,NARRATOR,Response,Arousal,34941,15,7.106051796960549
28,NARRATOR,Response,Arousal,34936,20,9.081726972755693
29,NARRATOR,Response,Arousal,34926,30,11.93918249850971
30,NARRATOR,Response,Arousal,34906,50,2.5990464540946565
31,NARRATOR,Response,Arousal,34886,70,1.0127791264427
32,NARRATOR,Response,Disgust,30428,1,0.045630414019261434
33,NARRATOR,Response,Disgust,30424,5,0.22528920850043785
34,NARRATOR,Response,Disgust,30419,10,0.44570119913139133
35,NARRATOR,Response,Disgust,30414,15,0.6633827009157194
36,NARRATOR,Response,Disgust,30409,20,0.8777839925826718
37,NARRATOR,Response,Disgust,30399,30,1.2886843483624084
38,NARRATOR,Response,Disgust,30379,50,1.5297380763695465
39,NARRATOR,Response,Disgust,30359,70,1.5873518801504325
40,NARRATOR,Response,Dominance,28435,1,0.2982667081466387
41,NARRATOR,Response,Dominance,28431,5,1.4849947924056595
42,NARRATOR,Response,Dominance,28426,10,2.949666539676058
43,NARRATOR,Response,Dominance,28421,15,4.36760517812865
44,NARRATOR,Response,Dominance,28416,20,5.705013419730948
45,NARRATOR,Response,Dominance,28406,30,8.081397956570935
46,NARRATOR,Response,Dominance,28386,50,4.055036672006341
47,NARRATOR,Response,Dominance,28366,70,2.333323524846418
48,NARRATOR,Response,Fear,28435,1,0.28148411503671267
49,NARRATOR,Response,Fear,28431,5,1.4005119093060268
50,NARRATOR,Response,Fear,28426,10,2.7823335395555144
51,NARRATOR,Response,Fear,28421,15,4.121297680391319
52,NARRATOR,Response,Fear,28416,20,5.390951319880681
53,NARRATOR,Response,Fear,28406,30,7.669328839638359
54,NARRATOR,Response,Fear,28386,50,4.126623827864194
55,NARRATOR,Response,Fear,28366,70,2.4886543332372537
56,NARRATOR,Response,Joy,30428,1,0.08419893210857636
57,NARRATOR,Response,Joy,30424,5,0.4122588119019754
58,NARRATOR,Response,Joy,30419,10,0.8121003783591885
59,NARRATOR,Response,Joy,30414,15,1.2023765168210625
60,NARRATOR,Response,Joy,30409,20,1.581459193916314
61,NARRATOR,Response,Joy,30399,30,2.2980624878246
62,NARRATOR,Response,Joy,30379,50,2.300489605669341
63,NARRATOR,Response,Joy,30359,70,2.180042750514536
64,NARRATOR,Response,Sadness,64605,1,0.06648425170926013
65,NARRATOR,Response,Sadness,64601,5,0.327516343961444
66,NARRATOR,Response,Sadness,64596,10,0.6484728655583927
67,NARRATOR,Response,Sadness,64591,15,0.9625477502316016
68,NARRATOR,Response,Sadness,64586,20,1.2698399307730686
69,NARRATOR,Response,Sadness,64576,30,1.8618112649368184
70,NARRATOR,Response,Sadness,64556,50,2.0236952084533018
71,NARRATOR,Response,Sadness,64536,70,2.021006152904376
72,NARRATOR,Response,Surprise,62482,1,0.13211509205904673
73,NARRATOR,Response,Surprise,62478,5,0.606782529207992
74,NARRATOR,Response,Surprise,62473,10,1.1663267064919463
75,NARRATOR,Response,Surprise,62468,15,1.6939638399612853
76,NARRATOR,Response,Surprise,62463,20,2.1959808956622173
77,NARRATOR,Response,Surprise,62453,30,3.1477118835791718
78,NARRATOR,Response,Surprise,62433,50,2.998980502068327
79,NARRATOR,Response,Surprise,62413,70,2.8168520368508405
80,NARRATOR,Response,Trust,30428,1,0.11168154423741246
81,NARRATOR,Response,Trust,30424,5,0.5454508927088751
82,NARRATOR,Response,Trust,30419,10,1.072942852285929
83,NARRATOR,Response,Trust,30414,15,1.5818558360220696
84,NARRATOR,Response,Trust,30409,20,2.0676693202928784
85,NARRATOR,Response,Trust,30399,30,2.9663650559483608
86,NARRATOR,Response,Trust,30379,50,2.6715891740802484
87,NARRATOR,Response,Trust,30359,70,2.447295389670684
88,NARRATOR,Response,Valence,64605,1,0.010537672356063772
89,NARRATOR,Response,Valence,64601,5,0.05117418364451746
90,NARRATOR,Response,Valence,64596,10,0.09951673141371059
91,NARRATOR,Response,Valence,64591,15,0.1466760718887457
92,NARRATOR,Response,Valence,64586,20,0.19227078753008206
93,NARRATOR,Response,Valence,64576,30,0.2804875264128984
94,NARRATOR,Response,Valence,64556,50,0.36460153187575806
95,NARRATOR,Response,Valence,64536,70,0.4060904643918569
96,NARRATOR,Stimulus,Anger,62482,1,0.018058617422827487
97,NARRATOR,Stimulus,Anger,62478,5,0.08861775194015671
98,NARRATOR,Stimulus,Anger,62473,10,0.17467158571889368
99,NARRATOR,Stimulus,Anger,62468,15,0.2584314661692891
100,NARRATOR,Stimulus,Anger,62463,20,0.3405026315929578
101,NARRATOR,Stimulus,Anger,62453,30,0.5004956085294765
102,NARRATOR,Stimulus,Anger,62433,50,0.6257292107933737
103,NARRATOR,Stimulus,Anger,62413,70,0.6733634273288831
104,NARRATOR,Stimulus,Anticipation,30428,1,0.6417669362452831
105,NARRATOR,Stimulus,Anticipation,30424,5,3.207483706751386
106,NARRATOR,Stimulus,Anticipation,30419,10,6.393827797825752
107,NARRATOR,Stimulus,Anticipation,30414,15,9.364933304773809
108,NARRATOR,Stimulus,Anticipation,30409,20,11.729141365865305
109,NARRATOR,Stimulus,Anticipation,30399,30,14.14566550159081
110,NARRATOR,Stimulus,Anticipation,30379,50,0.7730869140008562
111,NARRATOR,Stimulus,Anticipation,30359,70,0.11705176943353625
112,NARRATOR,Stimulus,Arousal,62482,1,0.45477241702135035
113,NARRATOR,Stimulus,Arousal,62478,5,2.272632709376564
114,NARRATOR,Stimulus,Arousal,62473,10,4.537151492380544
115,NARRATOR,Stimulus,Arousal,62468,15,6.750566820247
116,NARRATOR,Stimulus,Arousal,62463,20,8.82257682230963
117,NARRATOR,Stimulus,Arousal,62453,30,12.1874250342291
118,NARRATOR,Stimulus,Arousal,62433,50,2.479382436160979
119,NARRATOR,Stimulus,Arousal,62413,70,0.7245257542227632
120,NARRATOR,Stimulus,Disgust,62482,1,0.5388619958576919
121,NARRATOR,Stimulus,Disgust,62478,5,2.691365667760012
122,NARRATOR,Stimulus,Disgust,62473,10,5.367458860201819
123,NARRATOR,Stimulus,Disgust,62468,15,7.947767028592093
124,NARRATOR,Stimulus,Disgust,62463,20,10.242949428234922
125,NARRATOR,Stimulus,Disgust,62453,30,13.438428710001157
126,NARRATOR,Stimulus,Disgust,62433,50,1.7596265406462384
127,NARRATOR,Stimulus,Disgust,62413,70,0.39971083129918744
128,NARRATOR,Stimulus,Dominance,14215,1,0.5724944251745682
129,NARRATOR,Stimulus,Dominance,14211,5,2.8601968452626996
130,NARRATOR,Stimulus,Dominance,14206,10,5.681170138964013
131,NARRATOR,Stimulus,Dominance,14201,15,8.26304448782037
132,NARRATOR,Stimulus,Dominance,14196,20,10.316602791112015
133,NARRATOR,Stimulus,Dominance,14186,30,12.676235543118986
134,NARRATOR,Stimulus,Dominance,14166,50,1.2869534019501625
135,NARRATOR,Stimulus,Dominance,14146,70,0.32469860773419496
136,NARRATOR,Stimulus,Fear,32761,1,0.4066932239385935
137,NARRATOR,Stimulus,Fear,32757,5,2.0317641373115154
138,NARRATOR,Stimulus,Fear,32752,10,4.048950799758569
139,NARRATOR,Stimulus,Fear,32747,15,6.000944345285464
140,NARRATOR,Stimulus,Fear,32742,20,7.82784875382903
141,NARRATOR,Stimulus,Fear,32732,30,10.814551127816234
142,NARRATOR,Stimulus,Fear,32712,50,3.01906250419421
143,NARRATOR,Stimulus,Fear,32692,70,1.163959460987686
144,NARRATOR,Stimulus,Joy,64605,1,0.9987331769875515
145,NARRATOR,Stimulus,Joy,64601,5,4.99070187427373
146,NARRATOR,Stimulus,Joy,64596,10,9.967144218757609
147,NARRATOR,Stimulus,Joy,64591,15,14.549640212765901
