,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,24086,1,0.0272709108923051
1,NARRATOR,Other,Unknown,24082,5,0.13465168858387
2,NARRATOR,Other,Unknown,24077,10,0.26845514981218466
3,NARRATOR,Other,Unknown,24072,15,0.40086134377469784
4,NARRATOR,Other,Unknown,24067,20,0.5325104647870796
5,NARRATOR,Other,Unknown,24057,30,0.7930725238716884
6,NARRATOR,Other,Unknown,24037,50,1.0354723750313362
7,NARRATOR,Other,Unknown,24017,70,1.1225810627432309
8,NARRATOR,Response,Anger,38535,1,0.5500222907440568
9,NARRATOR,Response,Anger,38531,5,2.7452826038570644
10,NARRATOR,Response,Anger,38526,10,5.465210122690819
11,NARRATOR,Response,Anger,38521,15,8.034632754436041
12,NARRATOR,Response,Anger,38516,20,10.22909092743713
13,NARRATOR,Response,Anger,38506,30,13.134935677562956
14,NARRATOR,Response,Anger,38486,50,1.7242398037402051
15,NARRATOR,Response,Anger,38466,70,0.40486104703580256
16,NARRATOR,Response,Anticipation,32839,1,0.5357448528476495
17,NARRATOR,Response,Anticipation,32835,5,2.6693069872917667
18,NARRATOR,Response,Anticipation,32830,10,5.308373221416064
19,NARRATOR,Response,Anticipation,32825,15,7.793432125880723
20,NARRATOR,Response,Anticipation,32820,20,9.91168872791122
21,NARRATOR,Response,Anticipation,32810,30,12.711762050050604
22,NARRATOR,Response,Anticipation,32790,50,2.1138110641291443
23,NARRATOR,Response,Anticipation,32770,70,0.7163645819739497
24,NARRATOR,Response,Arousal,30283,1,0.527368059567813
25,NARRATOR,Response,Arousal,30279,5,2.6324062497924987
26,NARRATOR,Response,Arousal,30274,10,5.242340141901165
27,NARRATOR,Response,Arousal,30269,15,7.717395250092259
28,NARRATOR,Response,Arousal,30264,20,9.86007643286804
29,NARRATOR,Response,Arousal,30254,30,12.784373703251253
30,NARRATOR,Response,Arousal,30234,50,1.8699764654169668
31,NARRATOR,Response,Arousal,30214,70,0.4901452753644654
32,NARRATOR,Response,Disgust,20429,1,0.4782524124800967
33,NARRATOR,Response,Disgust,20425,5,2.379661506817525
34,NARRATOR,Response,Disgust,20420,10,4.720233336035762
35,NARRATOR,Response,Disgust,20415,15,6.899910014474692
36,NARRATOR,Response,Disgust,20410,20,8.768407031595183
37,NARRATOR,Response,Disgust,20400,30,11.442457589378002
38,NARRATOR,Response,Disgust,20380,50,2.3302861945779583
39,NARRATOR,Response,Disgust,20360,70,0.8949319614775247
40,NARRATOR,Response,Dominance,32839,1,0.5356582359338073
41,NARRATOR,Response,Dominance,32835,5,2.6689279606778205
42,NARRATOR,Response,Dominance,32830,10,5.307727697215506
43,NARRATOR,Response,Dominance,32825,15,7.792899239941242
44,NARRATOR,Response,Dominance,32820,20,9.910851239132958
45,NARRATOR,Response,Dominance,32810,30,12.711523066392287
46,NARRATOR,Response,Dominance,32790,50,2.1138110641291443
47,NARRATOR,Response,Dominance,32770,70,0.7163645819739497
48,NARRATOR,Response,Fear,32839,1,0.4861432551598168
49,NARRATOR,Response,Fear,32835,5,2.420682131092278
50,NARRATOR,Response,Fear,32830,10,4.813194048113004
51,NARRATOR,Response,Fear,32825,15,7.078978959992602
52,NARRATOR,Response,Fear,32820,20,9.052708397239726
53,NARRATOR,Response,Fear,32810,30,11.842379186817467
54,NARRATOR,Response,Fear,32790,50,2.5451319929958074
55,NARRATOR,Response,Fear,32770,70,1.0314638805297736
56,NARRATOR,Response,Joy,28407,1,0.3323969735809871
57,NARRATOR,Response,Joy,28403,5,1.5614839074997775
58,NARRATOR,Response,Joy,28398,10,3.0184364599846463
59,NARRATOR,Response,Joy,28393,15,4.315944334593296
60,NARRATOR,Response,Joy,28388,20,5.3991686673143935
61,NARRATOR,Response,Joy,28378,30,7.115568518724277
62,NARRATOR,Response,Joy,28358,50,3.777801597393534
63,NARRATOR,Response,Joy,28338,70,2.965526990561814
64,NARRATOR,Response,Sadness,32839,1,0.03009604166754757
65,NARRATOR,Response,Sadness,32835,5,0.14735494320157794
66,NARRATOR,Response,Sadness,32830,10,0.2904236559635631
67,NARRATOR,Response,Sadness,32825,15,0.4294368777928275
68,NARRATOR,Response,Sadness,32820,20,0.5649742325937318
69,NARRATOR,Response,Sadness,32810,30,0.8259756050301613
70,NARRATOR,Response,Sadness,32790,50,0.9990178858092643
71,NARRATOR,Response,Sadness,32770,70,1.07566356853184
72,NARRATOR,Response,Surprise,30295,1,0.1940855214592161
73,NARRATOR,Response,Surprise,30291,5,0.9081888787062807
74,NARRATOR,Response,Surprise,30286,10,1.7449175406089876
75,NARRATOR,Response,Surprise,30281,15,2.515145672892123
76,NARRATOR,Response,Surprise,30276,20,3.205937222335838
77,NARRATOR,Response,Surprise,30266,30,4.39140219575821
78,NARRATOR,Response,Surprise,30246,50,3.2868175138048
79,NARRATOR,Response,Surprise,30226,70,2.9283118513919226
80,NARRATOR,Response,Trust,24086,1,0.6893004896948383
81,NARRATOR,Response,Trust,24082,5,3.440240846940983
82,NARRATOR,Response,Trust,24077,10,6.841578382857479
83,NARRATOR,Response,Trust,24072,15,9.912339918174046
84,NARRATOR,Response,Trust,24067,20,12.146719878194917
85,NARRATOR,Response,Trust,24057,30,14.075180103400337
86,NARRATOR,Response,Trust,24037,50,0.5838682938697376
87,NARRATOR,Response,Trust,24017,70,0.07190953038637603
88,NARRATOR,Response,Valence,14883,1,0.2211540401728989
89,NARRATOR,Response,Valence,14879,5,1.1026630100194583
90,NARRATOR,Response,Valence,14874,10,2.19204495115157
91,NARRATOR,Response,Valence,14869,15,3.2487034455120667
92,NARRATOR,Response,Valence,14864,20,4.251463884367707
93,NARRATOR,Response,Valence,14854,30,6.076449831907554
94,NARRATOR,Response,Valence,14834,50,4.036868297748581
95,NARRATOR,Response,Valence,14814,70,2.894041370410785
96,NARRATOR,Stimulus,Anger,43000,1,0.35823963846196916
97,NARRATOR,Stimulus,Anger,42996,5,1.7847193439855957
98,NARRATOR,Stimulus,Anger,42991,10,3.547371166475285
99,NARRATOR,Stimulus,Anger,42986,15,5.249397661555423
100,NARRATOR,Stimulus,Anger,42981,20,6.833241196734311
101,NARRATOR,Stimulus,Anger,42971,30,9.474484249485062
102,NARRATOR,Stimulus,Anger,42951,50,3.682842829847063
103,NARRATOR,Stimulus,Anger,42931,70,1.9575503150366371
104,NARRATOR,Stimulus,Anticipation,30283,1,0.527368059567813
105,NARRATOR,Stimulus,Anticipation,30279,5,2.6324062497924987
106,NARRATOR,Stimulus,Anticipation,30274,10,5.242340141901165
107,NARRATOR,Stimulus,Anticipation,30269,15,7.717395250092259
108,NARRATOR,Stimulus,Anticipation,30264,20,9.86007643286804
109,NARRATOR,Stimulus,Anticipation,30254,30,12.784373703251253
110,NARRATOR,Stimulus,Anticipation,30234,50,1.8699764654169668
111,NARRATOR,Stimulus,Anticipation,30214,70,0.4901452753644654
112,NARRATOR,Stimulus,Arousal,30283,1,0.7579751032239099
113,NARRATOR,Stimulus,Arousal,30279,5,3.7886441259290633
114,NARRATOR,Stimulus,Arousal,30274,10,7.551115573860722
115,NARRATOR,Stimulus,Arousal,30269,15,10.98602269083528
116,NARRATOR,Stimulus,Arousal,30264,20,13.316609232160099
117,NARRATOR,Stimulus,Arousal,30254,30,14.778288489469405
118,NARRATOR,Stimulus,Arousal,30234,50,0.197536515521923
119,NARRATOR,Stimulus,Arousal,30214,70,0.007564508653265522
120,NARRATOR,Stimulus,Disgust,14883,1,0.3461032449747413
121,NARRATOR,Stimulus,Disgust,14879,5,1.7295740255335639
122,NARRATOR,Stimulus,Disgust,14874,10,3.4404952082523983
123,NARRATOR,Stimulus,Disgust,14869,15,5.086564784773814
124,NARRATOR,Stimulus,Disgust,14864,20,6.625464104510011
125,NARRATOR,Stimulus,Disgust,14854,30,9.199196801509611
126,NARRATOR,Stimulus,Disgust,14834,50,3.4148251390083555
127,NARRATOR,Stimulus,Disgust,14814,70,1.6935286755049934
128,NARRATOR,Stimulus,Dominance,43000,1,0.789426786545995
129,NARRATOR,Stimulus,Dominance,42996,5,3.9442754680889163
130,NARRATOR,Stimulus,Dominance,42991,10,7.86884438940862
131,NARRATOR,Stimulus,Dominance,42986,15,11.486838815976363
132,NARRATOR,Stimulus,Dominance,42981,20,13.888638584519734
133,NARRATOR,Stimulus,Dominance,42971,30,15.267201075870181
134,NARRATOR,Stimulus,Dominance,42951,50,0.0
135,NARRATOR,Stimulus,Dominance,42931,70,0.013722353621149529
136,NARRATOR,Stimulus,Fear,32839,1,0.008349835785198689
137,NARRATOR,Stimulus,Fear,32835,5,0.04146809142056418
138,NARRATOR,Stimulus,Fear,32830,10,0.08192826209091247
139,NARRATOR,Stimulus,Fear,32825,15,0.12221586654882552
140,NARRATOR,Stimulus,Fear,32820,20,0.16172792984857054
141,NARRATOR,Stimulus,Fear,32810,30,0.23789335026161684
142,NARRATOR,Stimulus,Fear,32790,50,0.3174213941488672
143,NARRATOR,Stimulus,Fear,32770,70,0.3599704253577245
144,NARRATOR,Stimulus,Joy,28147,1,0.006175416469572902
145,NARRATOR,Stimulus,Joy,28143,5,0.030248539414668103
146,NARRATOR,Stimulus,Joy,28138,10,0.05896774079072364
147,NARRATOR,Stimulus,Joy,28133,15,0.08675193541409068
148,NARRATOR,Stimulus,Joy,28128,20,0.11399472973918857
149,NARRATOR,Stimulus,Joy,28118,30,0.16642297438138734
150,NARRATOR,Stimulus,Joy,28098,50,0.21320258759733246
151,NARRATOR,Stimulus,Joy,28078,70,0.2320993706237957
152,NARRATOR,Stimulus,Sadness,30283,1,0.5817583586074944
153,NARRATOR,Stimulus,Sadness,30279,5,2.9047004672192167
154,NARRATOR,Stimulus,Sadness,30274,10,5.7826585166413835
155,NARRATOR,Stimulus,Sadness,30269,15,8.474062591042717
156,NARRATOR,Stimulus,Sadness,30264,20,10.707747363375871
157,NARRATOR,Stimulus,Sadness,30254,30,13.425734132160672
158,NARRATOR,Stimulus,Sadness,30234,50,1.335339528611746
159,NARRATOR,Stimulus,Sadness,30214,70,0.29949697374793316
160,NARRATOR,Stimulus,Surprise,14320,1,0.03690939428023931
161,NARRATOR,Stimulus,Surprise,14316,5,0.1804635164383631
162,NARRATOR,Stimulus,Surprise,14311,10,0.3547612348868626
163,NARRATOR,Stimulus,Surprise,14306,15,0.5279029182727911
164,NARRATOR,Stimulus,Surprise,14301,20,0.6971717390115465
165,NARRATOR,Stimulus,Surprise,14291,30,1.0313348548982024
166,NARRATOR,Stimulus,Surprise,14271,50,1.3264365445502693
167,NARRATOR,Stimulus,Surprise,14251,70,1.420856330730918
168,NARRATOR,Stimulus,Trust,30295,1,0.2118302357437264
169,NARRATOR,Stimulus,Trust,30291,5,0.9831676266985587
170,NARRATOR,Stimulus,Trust,30286,10,1.8819015579465843
171,NARRATOR,Stimulus,Trust,30281,15,2.6960312996673177
172,NARRATOR,Stimulus,Trust,30276,20,3.4177072894218647
173,NARRATOR,Stimulus,Trust,30266,30,4.624122794502349
174,NARRATOR,Stimulus,Trust,30246,50,3.3223897738860657
175,NARRATOR,Stimulus,Trust,30226,70,2.955949644514054
176,NARRATOR,Stimulus,Valence,32839,1,0.5586003831825841
177,NARRATOR,Stimulus,Valence,32835,5,2.7873654488397035
178,NARRATOR,Stimulus,Valence,32830,10,5.547219350612325
179,NARRATOR,Stimulus,Valence,32825,15,8.15243405218344
180,NARRATOR,Stimulus,Valence,32820,20,10.341886083076933
181,NARRATOR,Stimulus,Valence,32810,30,13.139554837753881
182,NARRATOR,Stimulus,Valence,32790,50,1.6535056986988113
183,NARRATOR,Stimulus,Valence,32770,70,0.4154433237885065
184,READER,Other,Unknown,30283,1,0.7579751032239099
185,READER,Other,Unknown,30279,5,3.7886441259290633
186,READER,Other,Unknown,30274,10,7.551115573860722
187,READER,Other,Unknown,30269,15,10.98602269083528
188,READER,Other,Unknown,30264,20,13.316609232160099
189,READER,Other,Unknown,30254,30,14.778288489469405
190,READER,Other,Unknown,30234,50,0.197536515521923
191,READER,Other,Unknown,30214,70,0.007564508653265522
192,READER,Response,Anger,32839,1,0.5415199148062616
193,READER,Response,Anger,32835,5,2.6999512278238487
194,READER,Response,Anger,32830,10,5.3722796552735
195,READER,Response,Anger,32825,15,7.890698856487941
196,READER,Response,Anger,32820,20,10.041862046958316
197,READER,Response,Anger,32810,30,12.871487170776895
198,READER,Response,Anger,32790,50,1.8024077320501537
199,READER,Response,Anger,32770,70,0.5042417679148304
200,READER,Response,Anticipation,28407,1,0.3323969735809871
201,READER,Response,Anticipation,28403,5,1.5614839074997775
202,READER,Response,Anticipation,28398,10,3.0184364599846463
203,READER,Response,Anticipation,28393,15,4.315944334593296
204,READER,Response,Anticipation,28388,20,5.3991686673143935
205,READER,Response,Anticipation,28378,30,7.115568518724277
206,READER,Response,Anticipation,28358,50,3.777801597393534
207,READER,Response,Anticipation,28338,70,2.965526990561814
208,READER,Response,Arousal,32839,1,0.4861432551598168
209,READER,Response,Arousal,32835,5,2.420682131092278
210,READER,Response,Arousal,32830,10,4.813194048113004
211,READER,Response,Arousal,32825,15,7.078978959992602
212,READER,Response,Arousal,32820,20,9.052708397239726
213,READER,Response,Arousal,32810,30,11.842379186817467
214,READER,Response,Arousal,32790,50,2.5451319929958074
215,READER,Response,Arousal,32770,70,1.0314638805297736
216,READER,Response,Disgust,32839,1,0.5356582359338073
217,READER,Response,Disgust,32835,5,2.6689279606778205
218,READER,Response,Disgust,32830,10,5.307727697215506
219,READER,Response,Disgust,32825,15,7.792899239941242
220,READER,Response,Disgust,32820,20,9.910851239132958
221,READER,Response,Disgust,32810,30,12.711523066392287
222,READER,Response,Disgust,32790,50,2.1138110641291443
223,READER,Response,Disgust,32770,70,0.7163645819739497
224,READER,Response,Dominance,20429,1,0.4782524124800967
225,READER,Response,Dominance,20425,5,2.379661506817525
226,READER,Response,Dominance,20420,10,4.720233336035762
227,READER,Response,Dominance,20415,15,6.899910014474692
