,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,38548,1,0.006410065897913979
1,NARRATOR,Other,Unknown,38544,5,0.03164132558144077
2,NARRATOR,Other,Unknown,38539,10,0.061426559957810295
3,NARRATOR,Other,Unknown,38534,15,0.08929314357813943
4,NARRATOR,Other,Unknown,38529,20,0.11638668098466123
5,NARRATOR,Other,Unknown,38519,30,0.16650870498257564
6,NARRATOR,Other,Unknown,38499,50,0.20627461921629414
7,NARRATOR,Other,Unknown,38479,70,0.22274468107242343
8,NARRATOR,Response,Anger,19010,1,0.5055860360528159
9,NARRATOR,Response,Anger,19006,5,2.5224269381466535
10,NARRATOR,Response,Anger,19001,10,5.0162727422755795
11,NARRATOR,Response,Anger,18996,15,7.359071907989714
12,NARRATOR,Response,Anger,18991,20,9.363428859666254
13,NARRATOR,Response,Anger,18981,30,12.057911504855532
14,NARRATOR,Response,Anger,18961,50,1.9975461909149834
15,NARRATOR,Response,Anger,18941,70,0.5716335412080147
16,NARRATOR,Response,Anticipation,34955,1,0.5460989671717559
17,NARRATOR,Response,Anticipation,34951,5,2.7234824420467927
18,NARRATOR,Response,Anticipation,34946,10,5.415493932709351
19,NARRATOR,Response,Anticipation,34941,15,7.939912543366902
20,NARRATOR,Response,Anticipation,34936,20,10.058419914047684
21,NARRATOR,Response,Anticipation,34926,30,12.862419357099128
22,NARRATOR,Response,Anticipation,34906,50,1.8647292790941932
23,NARRATOR,Response,Anticipation,34886,70,0.5887945696064719
24,NARRATOR,Response,Arousal,34298,1,0.07553194726968554
25,NARRATOR,Response,Arousal,34294,5,0.3764555652621198
26,NARRATOR,Response,Arousal,34289,10,0.7491796322079685
27,NARRATOR,Response,Arousal,34284,15,1.1187515392857363
28,NARRATOR,Response,Arousal,34279,20,1.484294271478258
29,NARRATOR,Response,Arousal,34269,30,2.2021530489876167
30,NARRATOR,Response,Arousal,34249,50,2.439911238571105
31,NARRATOR,Response,Arousal,34229,70,2.39093601982472
32,NARRATOR,Response,Disgust,38548,1,0.43514186593132076
33,NARRATOR,Response,Disgust,38544,5,2.1663440040735953
34,NARRATOR,Response,Disgust,38539,10,4.307404171467457
35,NARRATOR,Response,Disgust,38534,15,6.352502106099588
36,NARRATOR,Response,Disgust,38529,20,8.212502787501046
37,NARRATOR,Response,Disgust,38519,30,11.099308313580103
38,NARRATOR,Response,Disgust,38499,50,2.960740094312828
39,NARRATOR,Response,Disgust,38479,70,1.3374762768114485
40,NARRATOR,Response,Dominance,26589,1,0.20675207112378088
41,NARRATOR,Response,Dominance,26585,5,1.0327371874371893
42,NARRATOR,Response,Dominance,26580,10,2.060197625842102
43,NARRATOR,Response,Dominance,26575,15,3.075239614746338
44,NARRATOR,Response,Dominance,26570,20,4.065382653882425
45,NARRATOR,Response,Dominance,26560,30,5.93176282086754
46,NARRATOR,Response,Dominance,26540,50,4.157105743207366
47,NARRATOR,Response,Dominance,26520,70,2.9912659141490088
48,NARRATOR,Response,Fear,34955,1,0.839865280796934
49,NARRATOR,Response,Fear,34951,5,4.198059173898123
50,NARRATOR,Response,Fear,34946,10,8.371660808516188
51,NARRATOR,Response,Fear,34941,15,12.114023902831478
52,NARRATOR,Response,Fear,34936,20,14.232919693544007
