,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,30428,1,0.41940099644781825
1,NARRATOR,Other,Unknown,30424,5,2.0953039092168724
2,NARRATOR,Other,Unknown,30419,10,4.174024446467333
3,NARRATOR,Other,Unknown,30414,15,6.181947361938699
4,NARRATOR,Other,Unknown,30409,20,8.030134403254673
5,NARRATOR,Other,Unknown,30399,30,10.976297415117509
6,NARRATOR,Other,Unknown,30379,50,0.0
7,NARRATOR,Other,Unknown,30359,70,1.096180678081173
8,NARRATOR,Response,Anger,30428,1,0.44782831550467217
9,NARRATOR,Response,Anger,30424,5,2.2381012939777913
10,NARRATOR,Response,Anger,30419,10,4.464588986019868
11,NARRATOR,Response,Anger,30414,15,6.626048540636476
12,NARRATOR,Response,Anger,30409,20,8.609240329259753
13,NARRATOR,Response,Anger,30399,30,11.657344721025295
14,NARRATOR,Response,Anger,30379,50,2.487962185519803
15,NARRATOR,Response,Anger,30359,70,0.7746309483261407
16,NARRATOR,Response,Anticipation,12051,1,0.28479093095831715
17,NARRATOR,Response,Anticipation,12047,5,1.4225383700012448
18,NARRATOR,Response,Anticipation,12042,10,2.8317449804117745
19,NARRATOR,Response,Anticipation,12037,15,4.197825387930279
20,NARRATOR,Response,Anticipation,12032,20,5.499382602076974
21,NARRATOR,Response,Anticipation,12022,30,7.831022918192647
22,NARRATOR,Response,Anticipation,12002,50,3.8801843185263185
23,NARRATOR,Response,Anticipation,11982,70,2.094666123949802
24,NARRATOR,Response,Arousal,5791,1,0.725642376323652
25,NARRATOR,Response,Arousal,5787,5,3.6157646627276567
26,NARRATOR,Response,Arousal,5782,10,7.10408621866842
27,NARRATOR,Response,Arousal,5777,15,9.852489477387572
28,NARRATOR,Response,Arousal,5772,20,11.426323103904037
29,NARRATOR,Response,Arousal,5762,30,12.375918072953132
30,NARRATOR,Response,Arousal,5742,50,0.37307883523015584
31,NARRATOR,Response,Arousal,5722,70,0.009734005203186725
32,NARRATOR,Response,Disgust,12051,1,0.3284126014668732
33,NARRATOR,Response,Disgust,12047,5,1.639086859366519
34,NARRATOR,Response,Disgust,12042,10,3.2555449756996486
35,NARRATOR,Response,Disgust,12037,15,4.796828636514397
36,NARRATOR,Response,Disgust,12032,20,6.205450902038264
37,NARRATOR,Response,Disgust,12022,30,8.550016552762461
38,NARRATOR,Response,Disgust,12002,50,3.5944627819189
39,NARRATOR,Response,Disgust,11982,70,1.906526425060244
40,NARRATOR,Response,Dominance,9519,1,0.010862290053464034
41,NARRATOR,Response,Dominance,9515,5,0.0543184811368092
42,NARRATOR,Response,Dominance,9510,10,0.10865442960479453
43,NARRATOR,Response,Dominance,9505,15,0.16066018600963983
44,NARRATOR,Response,Dominance,9500,20,0.21210033354957344
45,NARRATOR,Response,Dominance,9490,30,0.306565082668119
46,NARRATOR,Response,Dominance,9470,50,0.3861126708886209
47,NARRATOR,Response,Dominance,9450,70,0.42971143591134286
48,NARRATOR,Response,Fear,32839,1,0.5357448528476495
49,NARRATOR,Response,Fear,32835,5,2.6693069872917667
50,NARRATOR,Response,Fear,32830,10,5.308373221416064
51,NARRATOR,Response,Fear,32825,15,7.793432125880723
52,NARRATOR,Response,Fear,32820,20,9.91168872791122
53,NARRATOR,Response,Fear,32810,30,12.711762050050604
54,NARRATOR,Response,Fear,32790,50,2.1138110641291443
55,NARRATOR,Response,Fear,32770,70,0.7163645819739497
56,NARRATOR,Response,Joy,32839,1,0.5586003831825841
57,NARRATOR,Response,Joy,32835,5,2.7873654488397035
58,NARRATOR,Response,Joy,32830,10,5.547219350612325
59,NARRATOR,Response,Joy,32825,15,8.15243405218344
60,NARRATOR,Response,Joy,32820,20,10.341886083076933
61,NARRATOR,Response,Joy,32810,30,13.139554837753881
62,NARRATOR,Response,Joy,32790,50,1.6535056986988113
