,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,23317,1,0.14970721799598796
1,NARRATOR,Other,Unknown,23313,5,0.745749040840756
2,NARRATOR,Other,Unknown,23308,10,1.486240878547845
3,NARRATOR,Other,Unknown,23303,15,2.2175830698875365
4,NARRATOR,Other,Unknown,23298,20,2.9369528933131495
5,NARRATOR,Other,Unknown,23288,30,4.3156542635542
6,NARRATOR,Other,Unknown,23268,50,3.836977027927387
7,NARRATOR,Other,Unknown,23248,70,3.165909908512906
8,NARRATOR,Response,Anger,35025,1,0.35390261853960586
9,NARRATOR,Response,Anger,35021,5,1.7647485049003369
10,NARRATOR,Response,Anger,35016,10,3.5116068079881892
11,NARRATOR,Response,Anger,35011,15,5.203779254320663
12,NARRATOR,Response,Anger,35006,20,6.7884608399661435
13,NARRATOR,Response,Anger,34996,30,9.485677618611028
14,NARRATOR,Response,Anger,34976,50,3.7179109859180275
15,NARRATOR,Response,Anger,34956,70,1.7958798285534423
16,NARRATOR,Response,Anticipation,14883,1,0.044171670808400364
17,NARRATOR,Response,Anticipation,14879,5,0.2185764042222127
18,NARRATOR,Response,Anticipation,14874,10,0.4329786165879987
19,NARRATOR,Response,Anticipation,14869,15,0.6423467591967217
20,NARRATOR,Response,Anticipation,14864,20,0.8498189095535031
21,NARRATOR,Response,Anticipation,14854,30,1.2545480994525546
22,NARRATOR,Response,Anticipation,14834,50,1.4590500854937607
23,NARRATOR,Response,Anticipation,14814,70,1.5028425243966619
24,NARRATOR,Response,Arousal,30295,1,0.5075892156622158
25,NARRATOR,Response,Arousal,30291,5,2.536253845645394
26,NARRATOR,Response,Arousal,30286,10,5.053707359408602
27,NARRATOR,Response,Arousal,30281,15,7.458072659927028
28,NARRATOR,Response,Arousal,30276,20,9.594324590672837
29,NARRATOR,Response,Arousal,30266,30,12.541565335816898
30,NARRATOR,Response,Arousal,30246,50,0.0
31,NARRATOR,Response,Arousal,30226,70,0.5741547062850906
32,NARRATOR,Response,Disgust,13765,1,0.1429471159575466
33,NARRATOR,Response,Disgust,13761,5,0.6352168782826755
34,NARRATOR,Response,Disgust,13756,10,1.1778158951868403
35,NARRATOR,Response,Disgust,13751,15,1.6572314134884167
36,NARRATOR,Response,Disgust,13746,20,2.090032636555881
37,NARRATOR,Response,Disgust,13736,30,2.8545936802321967
38,NARRATOR,Response,Disgust,13716,50,2.4205095969848918
39,NARRATOR,Response,Disgust,13696,70,2.2744580560123175
40,NARRATOR,Response,Dominance,14883,1,0.20654881743053727
41,NARRATOR,Response,Dominance,14879,5,0.9907349515624414
42,NARRATOR,Response,Dominance,14874,10,1.9177782604039664
43,NARRATOR,Response,Dominance,14869,15,2.765529326804685
44,NARRATOR,Response,Dominance,14864,20,3.5535734761341287
45,NARRATOR,Response,Dominance,14854,30,4.961316131068638
46,NARRATOR,Response,Dominance,14834,50,3.8206514627292982
47,NARRATOR,Response,Dominance,14814,70,3.2313429962256652
48,NARRATOR,Response,Fear,14883,1,0.03078133214796729
49,NARRATOR,Response,Fear,14879,5,0.1534813473990366
50,NARRATOR,Response,Fear,14874,10,0.3050406622271916
51,NARRATOR,Response,Fear,14869,15,0.4525448163173338
52,NARRATOR,Response,Fear,14864,20,0.5991880661871962
53,NARRATOR,Response,Fear,14854,30,0.8879026428980868
54,NARRATOR,Response,Fear,14834,50,1.1215054213794047
55,NARRATOR,Response,Fear,14814,70,1.2145487517498987
56,NARRATOR,Response,Joy,14883,1,0.041572734070910694
57,NARRATOR,Response,Joy,14879,5,0.2034178913597349
58,NARRATOR,Response,Joy,14874,10,0.40249203029736796
