,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,47190,1,0.9997305604755943
1,NARRATOR,Other,Unknown,47186,5,4.969386433999744
2,NARRATOR,Other,Unknown,47181,10,9.900558663781991
3,NARRATOR,Other,Unknown,47176,15,14.273963566035071
4,NARRATOR,Other,Unknown,47171,20,15.44591580199658
5,NARRATOR,Other,Unknown,47161,30,15.522832118443782
6,NARRATOR,Other,Unknown,47141,50,0.024113752203308317
7,NARRATOR,Other,Unknown,47121,70,0.003960711803286117
8,NARRATOR,Response,Anger,24156,1,0.9883172145166061
9,NARRATOR,Response,Anger,24152,5,4.91908395442163
10,NARRATOR,Response,Anger,24147,10,9.791195024035133
11,NARRATOR,Response,Anger,24142,15,13.688790771268067
12,NARRATOR,Response,Anger,24137,20,14.491137422681529
13,NARRATOR,Response,Anger,24127,30,14.558195129271695
14,NARRATOR,Response,Anger,24107,50,0.019246308197398188
15,NARRATOR,Response,Anger,24087,70,0.0
16,NARRATOR,Response,Anticipation,35991,1,0.17828841407791207
17,NARRATOR,Response,Anticipation,35987,5,0.8866370522967197
18,NARRATOR,Response,Anticipation,35982,10,1.7606226284147033
19,NARRATOR,Response,Anticipation,35977,15,2.6105473413495375
20,NARRATOR,Response,Anticipation,35972,20,3.4287626788910757
21,NARRATOR,Response,Anticipation,35962,30,4.943629526747449
22,NARRATOR,Response,Anticipation,35942,50,3.598612076279288
23,NARRATOR,Response,Anticipation,35922,70,2.795791731246626
24,NARRATOR,Response,Arousal,13112,1,0.7893017668507747
25,NARRATOR,Response,Arousal,13108,5,3.9285556248283813
26,NARRATOR,Response,Arousal,13103,10,7.785921671428188
27,NARRATOR,Response,Arousal,13098,15,11.006437065033166
28,NARRATOR,Response,Arousal,13093,20,12.762013962639923
29,NARRATOR,Response,Arousal,13083,30,13.608811731641417
30,NARRATOR,Response,Arousal,13063,50,0.24974679174532263
31,NARRATOR,Response,Arousal,13043,70,0.027807752849291774
32,NARRATOR,Response,Disgust,29394,1,0.2719581626777742
33,NARRATOR,Response,Disgust,29390,5,1.356236690196109
34,NARRATOR,Response,Disgust,29385,10,2.7017988925033696
35,NARRATOR,Response,Disgust,29380,15,4.018388371435844
36,NARRATOR,Response,Disgust,29375,20,5.285898054100756
37,NARRATOR,Response,Disgust,29365,30,7.61882316620729
38,NARRATOR,Response,Disgust,29345,50,4.189017083674658
39,NARRATOR,Response,Disgust,29325,70,2.480178986339575
40,NARRATOR,Response,Dominance,35991,1,0.5854933708300903
41,NARRATOR,Response,Dominance,35987,5,2.8089699236864054
42,NARRATOR,Response,Dominance,35982,10,5.4820885664959
43,NARRATOR,Response,Dominance,35977,15,7.783866904938566
44,NARRATOR,Response,Dominance,35972,20,9.347265558387283
45,NARRATOR,Response,Dominance,35962,30,11.210999407649085
46,NARRATOR,Response,Dominance,35942,50,2.7721557784336026
47,NARRATOR,Response,Dominance,35922,70,1.6717462974677262
48,NARRATOR,Response,Fear,35991,1,0.14519626656600262
49,NARRATOR,Response,Fear,35987,5,0.7199992237628887
50,NARRATOR,Response,Fear,35982,10,1.4277937884140548
51,NARRATOR,Response,Fear,35977,15,2.1153244585584123
52,NARRATOR,Response,Fear,35972,20,2.778077670791499
53,NARRATOR,Response,Fear,35962,30,4.0120463007987235
54,NARRATOR,Response,Fear,35942,50,3.312714989763021
55,NARRATOR,Response,Fear,35922,70,2.7881297566824026
56,NARRATOR,Response,Joy,35991,1,0.14797114663785585
57,NARRATOR,Response,Joy,35987,5,0.7334737206698653
58,NARRATOR,Response,Joy,35982,10,1.4546969997841486
59,NARRATOR,Response,Joy,35977,15,2.158538803174445
60,NARRATOR,Response,Joy,35972,20,2.840325999997488
61,NARRATOR,Response,Joy,35962,30,4.117118248791473
62,NARRATOR,Response,Joy,35942,50,3.319746975453087
63,NARRATOR,Response,Joy,35922,70,2.7802221615457303
64,NARRATOR,Response,Sadness,35991,1,0.13959259419500397
65,NARRATOR,Response,Sadness,35987,5,0.6938224926392514
66,NARRATOR,Response,Sadness,35982,10,1.3784490052930105
67,NARRATOR,Response,Sadness,35977,15,2.0499493398638946
68,NARRATOR,Response,Sadness,35972,20,2.7037817692261807
69,NARRATOR,Response,Sadness,35962,30,3.9383359081995124
70,NARRATOR,Response,Sadness,35942,50,3.2952964120230055
71,NARRATOR,Response,Sadness,35922,70,2.7953610302903416
72,NARRATOR,Response,Surprise,10105,1,0.33513569958703604
73,NARRATOR,Response,Surprise,10101,5,1.6667488475163714
74,NARRATOR,Response,Surprise,10096,10,3.305539636040335
75,NARRATOR,Response,Surprise,10091,15,4.875394968949945
76,NARRATOR,Response,Surprise,10086,20,6.319811152740688
77,NARRATOR,Response,Surprise,10076,30,8.726431631771991
78,NARRATOR,Response,Surprise,10056,50,3.6252148672776183
79,NARRATOR,Response,Surprise,10036,70,1.895493086162122
80,NARRATOR,Response,Trust,10105,1,0.21379863822183123
81,NARRATOR,Response,Trust,10101,5,1.0669222648599244
82,NARRATOR,Response,Trust,10096,10,2.1200969796725246
83,NARRATOR,Response,Trust,10091,15,3.1459581519415853
84,NARRATOR,Response,Trust,10086,20,4.1315323772126105
85,NARRATOR,Response,Trust,10076,30,5.892383268410141
86,NARRATOR,Response,Trust,10056,50,4.040614660421582
87,NARRATOR,Response,Trust,10036,70,2.9493586319533724
88,NARRATOR,Response,Valence,29394,1,0.35895576144469776
89,NARRATOR,Response,Valence,29390,5,1.793018372812586
90,NARRATOR,Response,Valence,29385,10,3.5739940573058617
91,NARRATOR,Response,Valence,29380,15,5.3107514205884
92,NARRATOR,Response,Valence,29375,20,6.946242238189989
93,NARRATOR,Response,Valence,29365,30,9.759682852560587
94,NARRATOR,Response,Valence,29345,50,3.5196888202109924
95,NARRATOR,Response,Valence,29325,70,1.5135639938388326
96,NARRATOR,Stimulus,Anger,30295,1,0.4312089979079088
97,NARRATOR,Stimulus,Anger,30291,5,2.154539292362202
98,NARRATOR,Stimulus,Anger,30286,10,4.297818277205097
99,NARRATOR,Stimulus,Anger,30281,15,6.376147103056083
100,NARRATOR,Stimulus,Anger,30276,20,8.30382584679865
101,NARRATOR,Stimulus,Anger,30266,30,11.375824130495875
102,NARRATOR,Stimulus,Anger,30246,50,2.5415868661828696
103,NARRATOR,Stimulus,Anger,30226,70,0.7948697646888723
104,NARRATOR,Stimulus,Anticipation,47190,1,0.021121337849570144
105,NARRATOR,Stimulus,Anticipation,47186,5,0.1049183288310098
106,NARRATOR,Stimulus,Anticipation,47181,10,0.20920312301048694
107,NARRATOR,Stimulus,Anticipation,47176,15,0.3121758646904301
108,NARRATOR,Stimulus,Anticipation,47171,20,0.4147509996934278
109,NARRATOR,Stimulus,Anticipation,47161,30,0.6193575323518837
110,NARRATOR,Stimulus,Anticipation,47141,50,0.8304015067877416
111,NARRATOR,Stimulus,Anticipation,47121,70,0.9198517565910026
112,NARRATOR,Stimulus,Arousal,47190,1,0.030248297846150796
113,NARRATOR,Stimulus,Arousal,47186,5,0.1505685115600141
114,NARRATOR,Stimulus,Arousal,47181,10,0.2991418951148508
115,NARRATOR,Stimulus,Arousal,47176,15,0.44648795469495417
116,NARRATOR,Stimulus,Arousal,47171,20,0.5925298423845962
117,NARRATOR,Stimulus,Arousal,47161,30,0.8813086748289645
118,NARRATOR,Stimulus,Arousal,47141,50,1.1114263832588338
119,NARRATOR,Stimulus,Arousal,47121,70,1.2053307666544164
120,NARRATOR,Stimulus,Disgust,35991,1,0.311414436054525
121,NARRATOR,Stimulus,Disgust,35987,5,1.5505896569329432
122,NARRATOR,Stimulus,Disgust,35982,10,3.0856873684117643
123,NARRATOR,Stimulus,Disgust,35977,15,4.579129687084801
124,NARRATOR,Stimulus,Disgust,35972,20,5.979498678200156
125,NARRATOR,Stimulus,Disgust,35962,30,8.38895049987391
126,NARRATOR,Stimulus,Disgust,35942,50,4.018831019065907
127,NARRATOR,Stimulus,Disgust,35922,70,2.341606554667439
128,NARRATOR,Stimulus,Dominance,10105,1,0.32457050290287326
129,NARRATOR,Stimulus,Dominance,10101,5,1.6194089561677232
130,NARRATOR,Stimulus,Dominance,10096,10,3.216934193730689
131,NARRATOR,Stimulus,Dominance,10091,15,4.737475281676122
132,NARRATOR,Stimulus,Dominance,10086,20,6.126743654362784
133,NARRATOR,Stimulus,Dominance,10076,30,8.417436764805306
134,NARRATOR,Stimulus,Dominance,10056,50,3.746794057875383
135,NARRATOR,Stimulus,Dominance,10036,70,2.076180974118938
136,NARRATOR,Stimulus,Fear,10105,1,0.33784559749217913
137,NARRATOR,Stimulus,Fear,10101,5,1.6805794459886492
138,NARRATOR,Stimulus,Fear,10096,10,3.3328666960853783
139,NARRATOR,Stimulus,Fear,10091,15,4.917248967111652
140,NARRATOR,Stimulus,Fear,10086,20,6.371635407371482
141,NARRATOR,Stimulus,Fear,10076,30,8.778105792727045
142,NARRATOR,Stimulus,Fear,10056,50,3.597335113716218
143,NARRATOR,Stimulus,Fear,10036,70,1.8493927843189666
144,NARRATOR,Stimulus,Joy,47190,1,0.3828312890945241
145,NARRATOR,Stimulus,Joy,47186,5,1.9101388963288972
146,NARRATOR,Stimulus,Joy,47181,10,3.807327872387754
147,NARRATOR,Stimulus,Joy,47176,15,5.652238942522406
148,NARRATOR,Stimulus,Joy,47171,20,7.381573910320506
149,NARRATOR,Stimulus,Joy,47161,30,10.304690499346409
150,NARRATOR,Stimulus,Joy,47141,50,3.4596770457030313
