,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,10105,1,0.31422207744291464
1,NARRATOR,Other,Unknown,10101,5,1.5610409718988314
2,NARRATOR,Other,Unknown,10096,10,3.0935091229681126
3,NARRATOR,Other,Unknown,10091,15,4.566609181098591
4,NARRATOR,Other,Unknown,10086,20,5.936736647118749
5,NARRATOR,Other,Unknown,10076,30,8.269853608402187
6,NARRATOR,Other,Unknown,10056,50,3.7116472622280985
7,NARRATOR,Other,Unknown,10036,70,2.122040356923494
8,NARRATOR,Response,Anger,23617,1,0.10869875276694084
9,NARRATOR,Response,Anger,23613,5,0.539951785886779
10,NARRATOR,Response,Anger,23608,10,1.072360169678554
11,NARRATOR,Response,Anger,23603,15,1.5920853902537073
12,NARRATOR,Response,Anger,23598,20,2.0931187713162407
13,NARRATOR,Response,Anger,23588,30,3.0467050432750598
14,NARRATOR,Response,Anger,23568,50,2.9295631706928407
15,NARRATOR,Response,Anger,23548,70,2.6851442695112873
16,NARRATOR,Response,Anticipation,10105,1,0.9622669827243949
17,NARRATOR,Response,Anticipation,10101,5,4.77457883348013
18,NARRATOR,Response,Anticipation,10096,10,9.44021714420853
19,NARRATOR,Response,Anticipation,10091,15,12.560837656260768
20,NARRATOR,Response,Anticipation,10086,20,13.193273771627233
21,NARRATOR,Response,Anticipation,10076,30,13.296848983547404
22,NARRATOR,Response,Anticipation,10056,50,0.027844560817050622
23,NARRATOR,Response,Anticipation,10036,70,0.0
24,NARRATOR,Response,Arousal,23617,1,0.3751484532674779
25,NARRATOR,Response,Arousal,23613,5,1.843016615570678
26,NARRATOR,Response,Arousal,23608,10,3.623000802658377
27,NARRATOR,Response,Arousal,23603,15,5.248349390988205
28,NARRATOR,Response,Arousal,23598,20,6.6310703997994
29,NARRATOR,Response,Arousal,23588,30,8.693805035573028
30,NARRATOR,Response,Arousal,23568,50,3.584445963746478
31,NARRATOR,Response,Arousal,23548,70,2.3126401905130076
32,NARRATOR,Response,Disgust,29394,1,0.0066873709717184295
33,NARRATOR,Response,Disgust,29390,5,0.031881694615675596
34,NARRATOR,Response,Disgust,29385,10,0.06073625236446418
35,NARRATOR,Response,Disgust,29380,15,0.08914150304861425
36,NARRATOR,Response,Disgust,29375,20,0.11482640106733555
37,NARRATOR,Response,Disgust,29365,30,0.16491190924540752
38,NARRATOR,Response,Disgust,29345,50,0.210205270885359
39,NARRATOR,Response,Disgust,29325,70,0.23665611566383668
40,NARRATOR,Response,Dominance,10105,1,0.33784559749217913
41,NARRATOR,Response,Dominance,10101,5,1.6805794459886492
42,NARRATOR,Response,Dominance,10096,10,3.3328666960853783
43,NARRATOR,Response,Dominance,10091,15,4.917248967111652
44,NARRATOR,Response,Dominance,10086,20,6.371635407371482
45,NARRATOR,Response,Dominance,10076,30,8.778105792727045
46,NARRATOR,Response,Dominance,10056,50,3.597335113716218
47,NARRATOR,Response,Dominance,10036,70,1.8493927843189666
48,NARRATOR,Response,Fear,21578,1,0.5803515495969471
49,NARRATOR,Response,Fear,21574,5,2.9000902826588444
50,NARRATOR,Response,Fear,21569,10,5.768948746497444
51,NARRATOR,Response,Fear,21564,15,8.428164213939995
52,NARRATOR,Response,Fear,21559,20,10.592163861564766
53,NARRATOR,Response,Fear,21549,30,13.120469412393467
54,NARRATOR,Response,Fear,21529,50,1.2581487818003907
55,NARRATOR,Response,Fear,21509,70,0.2144070774449436
56,NARRATOR,Response,Joy,21578,1,0.4614880620659364
57,NARRATOR,Response,Joy,21574,5,2.30255345187203
58,NARRATOR,Response,Joy,21569,10,4.573786151995147
59,NARRATOR,Response,Joy,21564,15,6.710477980316735
60,NARRATOR,Response,Joy,21559,20,8.591369051420282
61,NARRATOR,Response,Joy,21549,30,11.36494001181261
62,NARRATOR,Response,Joy,21529,50,2.5464391514429865
63,NARRATOR,Response,Joy,21509,70,1.0626506898403
64,NARRATOR,Response,Sadness,37025,1,0.025313921642302194
65,NARRATOR,Response,Sadness,37021,5,0.12359307732043338
66,NARRATOR,Response,Sadness,37016,10,0.23879926162381446
67,NARRATOR,Response,Sadness,37011,15,0.34639900916759325
68,NARRATOR,Response,Sadness,37006,20,0.44404922300791666
69,NARRATOR,Response,Sadness,36996,30,0.6233609172404355
70,NARRATOR,Response,Sadness,36976,50,0.6558019857094022
71,NARRATOR,Response,Sadness,36956,70,0.6741733456376399
72,NARRATOR,Response,Surprise,21578,1,0.4190590175591459
73,NARRATOR,Response,Surprise,21574,5,2.093084329592276
74,NARRATOR,Response,Surprise,21569,10,4.164449608408475
75,NARRATOR,Response,Surprise,21564,15,6.154437409866916
76,NARRATOR,Response,Surprise,21559,20,7.9727591392213135
77,NARRATOR,Response,Surprise,21549,30,10.790526531497061
78,NARRATOR,Response,Surprise,21529,50,0.0
79,NARRATOR,Response,Surprise,21509,70,1.0305761718513669
80,NARRATOR,Response,Trust,26702,1,0.03376080654282583
81,NARRATOR,Response,Trust,26698,5,0.1302542052882769
82,NARRATOR,Response,Trust,26693,10,0.23071149354395085
83,NARRATOR,Response,Trust,26688,15,0.31632742509347567
84,NARRATOR,Response,Trust,26683,20,0.3921498761084959
85,NARRATOR,Response,Trust,26673,30,0.5326181254655201
86,NARRATOR,Response,Trust,26653,50,0.5650215281792422
87,NARRATOR,Response,Trust,26633,70,0.6055881776845515
88,NARRATOR,Response,Valence,37025,1,0.01635073049230167
89,NARRATOR,Response,Valence,37021,5,0.08003383424450922
90,NARRATOR,Response,Valence,37016,10,0.15548817775948015
91,NARRATOR,Response,Valence,37011,15,0.2273171779856776
92,NARRATOR,Response,Valence,37006,20,0.2953650683086244
93,NARRATOR,Response,Valence,36996,30,0.42407535105482447
94,NARRATOR,Response,Valence,36976,50,0.5135522797414772
95,NARRATOR,Response,Valence,36956,70,0.5533843296072849
96,NARRATOR,Stimulus,Anger,13013,1,0.7354572081010777
97,NARRATOR,Stimulus,Anger,13009,5,3.6729510251702253
98,NARRATOR,Stimulus,Anger,13004,10,7.289012112081014
99,NARRATOR,Stimulus,Anger,12999,15,10.389090084371066
100,NARRATOR,Stimulus,Anger,12994,20,12.34718582263215
101,NARRATOR,Stimulus,Anger,12984,30,13.538563647546006
102,NARRATOR,Stimulus,Anger,12964,50,0.2758964093684494
103,NARRATOR,Stimulus,Anger,12944,70,0.017500604162463206
104,NARRATOR,Stimulus,Anticipation,35765,1,0.3531108911941682
105,NARRATOR,Stimulus,Anticipation,35761,5,1.6392582887873453
106,NARRATOR,Stimulus,Anticipation,35756,10,3.1360832111038075
107,NARRATOR,Stimulus,Anticipation,35751,15,4.424778058977879
108,NARRATOR,Stimulus,Anticipation,35746,20,5.455753236147871
109,NARRATOR,Stimulus,Anticipation,35736,30,7.0452975015215635
110,NARRATOR,Stimulus,Anticipation,35716,50,3.8559382722357527
111,NARRATOR,Stimulus,Anticipation,35696,70,3.1339761176077094
112,NARRATOR,Stimulus,Arousal,13112,1,0.4562472903895415
113,NARRATOR,Stimulus,Arousal,13108,5,2.2763950504505233
114,NARRATOR,Stimulus,Arousal,13103,10,4.520426350956078
115,NARRATOR,Stimulus,Arousal,13098,15,6.646815688886588
116,NARRATOR,Stimulus,Arousal,13093,20,8.525005502052045
117,NARRATOR,Stimulus,Arousal,13083,30,11.23274638930982
