,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,50646,1,0.1258645082216664
1,NARRATOR,Other,Unknown,50642,5,0.5753421036034525
2,NARRATOR,Other,Unknown,50637,10,1.1158443668714382
3,NARRATOR,Other,Unknown,50632,15,1.6345659544139703
4,NARRATOR,Other,Unknown,50627,20,2.1370396633040616
5,NARRATOR,Other,Unknown,50617,30,3.103660134479193
6,NARRATOR,Other,Unknown,50597,50,3.1096877873910747
7,NARRATOR,Other,Unknown,50577,70,2.918891029840505
8,NARRATOR,Response,Anger,50646,1,0.03095526943072916
9,NARRATOR,Response,Anger,50642,5,0.15305974679076037
10,NARRATOR,Response,Anger,50637,10,0.3040237399161937
11,NARRATOR,Response,Anger,50632,15,0.4536747997866173
12,NARRATOR,Response,Anger,50627,20,0.6020510361212061
13,NARRATOR,Response,Anger,50617,30,0.894633339575596
14,NARRATOR,Response,Anger,50597,50,1.111785077781225
15,NARRATOR,Response,Anger,50577,70,1.180131303148381
16,NARRATOR,Response,Anticipation,50646,1,0.04492706659733151
17,NARRATOR,Response,Anticipation,50642,5,0.2216711701935674
18,NARRATOR,Response,Anticipation,50637,10,0.4381423008712812
19,NARRATOR,Response,Anticipation,50632,15,0.650972905899834
20,NARRATOR,Response,Anticipation,50627,20,0.8602600449187451
21,NARRATOR,Response,Anticipation,50617,30,1.270874953924712
22,NARRATOR,Response,Anticipation,50597,50,1.4878092038236623
23,NARRATOR,Response,Anticipation,50577,70,1.5402437532106363
24,NARRATOR,Response,Arousal,50646,1,0.12424969973418556
25,NARRATOR,Response,Arousal,50642,5,0.5899054139053018
26,NARRATOR,Response,Arousal,50637,10,1.1430889802106012
27,NARRATOR,Response,Arousal,50632,15,1.6613908971796287
28,NARRATOR,Response,Arousal,50627,20,2.146005249839839
29,NARRATOR,Response,Arousal,50617,30,3.0387164065215617
30,NARRATOR,Response,Arousal,50597,50,2.7102309354684784
31,NARRATOR,Response,Arousal,50577,70,2.566643066662607
32,NARRATOR,Response,Disgust,64605,1,0.005119640937956856
33,NARRATOR,Response,Disgust,64601,5,0.025403876341174778
34,NARRATOR,Response,Disgust,64596,10,0.04977107587508116
35,NARRATOR,Response,Disgust,64591,15,0.07312726934862834
36,NARRATOR,Response,Disgust,64586,20,0.09527067031039621
37,NARRATOR,Response,Disgust,64576,30,0.13850876221577132
38,NARRATOR,Response,Disgust,64556,50,0.1870919123928556
39,NARRATOR,Response,Disgust,64536,70,0.21168106932085462
40,NARRATOR,Response,Dominance,62482,1,0.0041777436820094735
41,NARRATOR,Response,Dominance,62478,5,0.020208206649174856
42,NARRATOR,Response,Dominance,62473,10,0.0400120405466238
43,NARRATOR,Response,Dominance,62468,15,0.05939210667901224
44,NARRATOR,Response,Dominance,62463,20,0.07797930610233617
45,NARRATOR,Response,Dominance,62453,30,0.11477785255139905
46,NARRATOR,Response,Dominance,62433,50,0.1579951197594344
47,NARRATOR,Response,Dominance,62413,70,0.18088776273242213
48,NARRATOR,Response,Fear,50646,1,0.035474045587906504
49,NARRATOR,Response,Fear,50642,5,0.17523964578713275
50,NARRATOR,Response,Fear,50637,10,0.347203671326419
51,NARRATOR,Response,Fear,50632,15,0.5174723663170069
52,NARRATOR,Response,Fear,50627,20,0.6865774988402471
53,NARRATOR,Response,Fear,50617,30,1.0190380981746485
54,NARRATOR,Response,Fear,50597,50,1.2439584294472374
55,NARRATOR,Response,Fear,50577,70,1.297702087888693
56,NARRATOR,Response,Joy,33610,1,0.027499171149952706
57,NARRATOR,Response,Joy,33606,5,0.1202739799210882
58,NARRATOR,Response,Joy,33601,10,0.21945179701829162
59,NARRATOR,Response,Joy,33596,15,0.3082986143378459
60,NARRATOR,Response,Joy,33591,20,0.38704938340217093
61,NARRATOR,Response,Joy,33581,30,0.526438489607887
62,NARRATOR,Response,Joy,33561,50,0.5026260266907051
63,NARRATOR,Response,Joy,33541,70,0.49355579427595425
64,NARRATOR,Response,Sadness,62482,1,0.0020459391871931235
65,NARRATOR,Response,Sadness,62478,5,0.01022998488392298
66,NARRATOR,Response,Sadness,62473,10,0.020460691798052426
67,NARRATOR,Response,Sadness,62468,15,0.030692120175285137
68,NARRATOR,Response,Sadness,62463,20,0.040924269447146604
69,NARRATOR,Response,Sadness,62453,30,0.060326456648587184
70,NARRATOR,Response,Sadness,62433,50,0.08557753639827545
