,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,28147,1,0.006175416469572902
1,NARRATOR,Other,Unknown,28143,5,0.030248539414668103
2,NARRATOR,Other,Unknown,28138,10,0.05896774079072364
3,NARRATOR,Other,Unknown,28133,15,0.08675193541409068
4,NARRATOR,Other,Unknown,28128,20,0.11399472973918857
5,NARRATOR,Other,Unknown,28118,30,0.16642297438138734
6,NARRATOR,Other,Unknown,28098,50,0.21320258759733246
7,NARRATOR,Other,Unknown,28078,70,0.2320993706237957
8,NARRATOR,Response,Anger,35025,1,0.45244330520899956
9,NARRATOR,Response,Anger,35021,5,2.2579571256433586
10,NARRATOR,Response,Anger,35016,10,4.500430502144481
11,NARRATOR,Response,Anger,35011,15,6.654798820282046
12,NARRATOR,Response,Anger,35006,20,8.612187136687051
13,NARRATOR,Response,Anger,34996,30,11.629150521528594
14,NARRATOR,Response,Anger,34976,50,2.5770205795220646
15,NARRATOR,Response,Anger,34956,70,0.9008487572295648
16,NARRATOR,Response,Anticipation,46777,1,0.04147616938230156
17,NARRATOR,Response,Anticipation,46773,5,0.20626606204330347
18,NARRATOR,Response,Anticipation,46768,10,0.40995484148483413
19,NARRATOR,Response,Anticipation,46763,15,0.6115542710638759
20,NARRATOR,Response,Anticipation,46758,20,0.8113767095777575
21,NARRATOR,Response,Anticipation,46748,30,1.2051308097175941
22,NARRATOR,Response,Anticipation,46728,50,1.4483662087123088
23,NARRATOR,Response,Anticipation,46708,70,1.521191918201984
24,NARRATOR,Response,Arousal,25907,1,0.2253503665383934
25,NARRATOR,Response,Arousal,25903,5,1.1250245485678376
26,NARRATOR,Response,Arousal,25898,10,2.2438352161650332
27,NARRATOR,Response,Arousal,25893,15,3.346582486269766
28,NARRATOR,Response,Arousal,25888,20,4.418280713841226
29,NARRATOR,Response,Arousal,25878,30,6.399222372750104
30,NARRATOR,Response,Arousal,25858,50,4.223015239081955
31,NARRATOR,Response,Arousal,25838,70,2.897581045594085
32,NARRATOR,Response,Disgust,31532,1,0.5278237736512355
33,NARRATOR,Response,Disgust,31528,5,2.629988627486595
34,NARRATOR,Response,Disgust,31523,10,5.227354381256387
35,NARRATOR,Response,Disgust,31518,15,7.650319190173009
36,NARRATOR,Response,Disgust,31513,20,9.676468660519468
37,NARRATOR,Response,Disgust,31503,30,12.396581102559198
38,NARRATOR,Response,Disgust,31483,50,2.1378785595455274
39,NARRATOR,Response,Disgust,31463,70,0.7392261076221059
40,NARRATOR,Response,Dominance,31532,1,0.03959852597604214
41,NARRATOR,Response,Dominance,31528,5,0.19722585730422584
42,NARRATOR,Response,Dominance,31523,10,0.3918214805380208
43,NARRATOR,Response,Dominance,31518,15,0.5842073076528844
44,NARRATOR,Response,Dominance,31513,20,0.7724183667133959
45,NARRATOR,Response,Dominance,31503,30,1.1347204110073221
46,NARRATOR,Response,Dominance,31483,50,1.323411692144546
47,NARRATOR,Response,Dominance,31463,70,1.3942359569402327
48,NARRATOR,Response,Fear,55204,1,0.40673793931751195
49,NARRATOR,Response,Fear,55200,5,2.03285392986339
50,NARRATOR,Response,Fear,55195,10,4.0585915103956545
51,NARRATOR,Response,Fear,55190,15,6.043461187484903
52,NARRATOR,Response,Fear,55185,20,7.921411948245816
53,NARRATOR,Response,Fear,55175,30,11.109009325625305
54,NARRATOR,Response,Fear,55155,50,3.0154963200582747
55,NARRATOR,Response,Fear,55135,70,1.164068689409284
56,NARRATOR,Response,Joy,55204,1,0.40673793931751195
57,NARRATOR,Response,Joy,55200,5,2.03285392986339
58,NARRATOR,Response,Joy,55195,10,4.0585915103956545
59,NARRATOR,Response,Joy,55190,15,6.043461187484903
60,NARRATOR,Response,Joy,55185,20,7.921411948245816
61,NARRATOR,Response,Joy,55175,30,11.109009325625305
62,NARRATOR,Response,Joy,55155,50,3.0154963200582747
63,NARRATOR,Response,Joy,55135,70,1.164068689409284
64,NARRATOR,Response,Sadness,31532,1,0.8286869446021117
65,NARRATOR,Response,Sadness,31528,5,4.141783960266123
66,NARRATOR,Response,Sadness,31523,10,8.25773891910547
67,NARRATOR,Response,Sadness,31518,15,11.930330489070899
68,NARRATOR,Response,Sadness,31513,20,14.059185739427855
69,NARRATOR,Response,Sadness,31503,30,14.908823372199778
70,NARRATOR,Response,Sadness,31483,50,0.0
71,NARRATOR,Response,Sadness,31463,70,0.002603685125151632
72,NARRATOR,Response,Surprise,55204,1,0.40673793931751195
73,NARRATOR,Response,Surprise,55200,5,2.03285392986339
74,NARRATOR,Response,Surprise,55195,10,4.0585915103956545
75,NARRATOR,Response,Surprise,55190,15,6.043461187484903
76,NARRATOR,Response,Surprise,55185,20,7.921411948245816
77,NARRATOR,Response,Surprise,55175,30,11.109009325625305
78,NARRATOR,Response,Surprise,55155,50,3.0154963200582747
79,NARRATOR,Response,Surprise,55135,70,1.164068689409284
80,NARRATOR,Response,Trust,31532,1,0.026077608635930855
81,NARRATOR,Response,Trust,31528,5,0.10189378566804262
82,NARRATOR,Response,Trust,31523,10,0.17361208049793575
83,NARRATOR,Response,Trust,31518,15,0.2267398391692796
84,NARRATOR,Response,Trust,31513,20,0.2732678135764844
85,NARRATOR,Response,Trust,31503,30,0.36308282506743966
86,NARRATOR,Response,Trust,31483,50,0.3950716489442196
87,NARRATOR,Response,Trust,31463,70,0.4353541410263118
88,NARRATOR,Response,Valence,55204,1,0.40673793931751195
89,NARRATOR,Response,Valence,55200,5,2.03285392986339
90,NARRATOR,Response,Valence,55195,10,4.0585915103956545
91,NARRATOR,Response,Valence,55190,15,6.043461187484903
92,NARRATOR,Response,Valence,55185,20,7.921411948245816
93,NARRATOR,Response,Valence,55175,30,11.109009325625305
94,NARRATOR,Response,Valence,55155,50,3.0154963200582747
95,NARRATOR,Response,Valence,55135,70,1.164068689409284
96,NARRATOR,Stimulus,Anger,46777,1,0.2791008562555471
97,NARRATOR,Stimulus,Anger,46773,5,1.393283279630071
98,NARRATOR,Stimulus,Anger,46768,10,2.777730510211647
99,NARRATOR,Stimulus,Anger,46763,15,4.140249115303979
100,NARRATOR,Stimulus,Anger,46758,20,5.451889102896215
101,NARRATOR,Stimulus,Anger,46748,30,7.849353742104678
102,NARRATOR,Stimulus,Anger,46728,50,4.1536678630050705
103,NARRATOR,Stimulus,Anger,46708,70,2.5071789711462555
104,NARRATOR,Stimulus,Anticipation,46777,1,0.12845394205214306
105,NARRATOR,Stimulus,Anticipation,46773,5,0.5981137685781405
106,NARRATOR,Stimulus,Anticipation,46768,10,1.1491806612225117
107,NARRATOR,Stimulus,Anticipation,46763,15,1.668063267582507
108,NARRATOR,Stimulus,Anticipation,46758,20,2.156868800495858
109,NARRATOR,Stimulus,Anticipation,46748,30,3.063256978625117
110,NARRATOR,Stimulus,Anticipation,46728,50,2.892351764052032
111,NARRATOR,Stimulus,Anticipation,46708,70,2.7408629721389346
112,NARRATOR,Stimulus,Arousal,12355,1,0.21365274009178037
