,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,10833,1,0.2881002733849586
1,NARRATOR,Other,Unknown,10829,5,1.430901372961555
2,NARRATOR,Other,Unknown,10824,10,2.827896758557102
3,NARRATOR,Other,Unknown,10819,15,4.144720605937659
4,NARRATOR,Other,Unknown,10814,20,5.352509372153123
5,NARRATOR,Other,Unknown,10804,30,7.383024488275775
6,NARRATOR,Other,Unknown,10784,50,3.7940382736335754
7,NARRATOR,Other,Unknown,10764,70,2.537308963838862
8,NARRATOR,Response,Anger,21578,1,0.4188999963170874
9,NARRATOR,Response,Anger,21574,5,2.092311915890047
10,NARRATOR,Response,Anger,21569,10,4.16293698934264
11,NARRATOR,Response,Anger,21564,15,6.152429573387793
12,NARRATOR,Response,Anger,21559,20,7.9698858130061545
13,NARRATOR,Response,Anger,21549,30,10.788609602659504
14,NARRATOR,Response,Anger,21529,50,0.0
15,NARRATOR,Response,Anger,21509,70,1.0305761718513669
16,NARRATOR,Response,Anticipation,26702,1,0.7944493789553166
17,NARRATOR,Response,Anticipation,26698,5,3.9715060185785522
18,NARRATOR,Response,Anticipation,26693,10,7.917371606155421
19,NARRATOR,Response,Anticipation,26688,15,11.462691024060186
20,NARRATOR,Response,Anticipation,26683,20,13.67522340056729
21,NARRATOR,Response,Anticipation,26673,30,14.665981797844635
22,NARRATOR,Response,Anticipation,26653,50,0.0
23,NARRATOR,Response,Anticipation,26633,70,0.0036368700137277285
24,NARRATOR,Response,Arousal,35765,1,0.4275551695271993
25,NARRATOR,Response,Arousal,35761,5,2.1350540747938114
26,NARRATOR,Response,Arousal,35756,10,4.254636777460174
27,NARRATOR,Response,Arousal,35751,15,6.298730400445786
28,NARRATOR,Response,Arousal,35746,20,8.165038635314675
29,NARRATOR,Response,Arousal,35736,30,11.11779096300321
30,NARRATOR,Response,Arousal,35716,50,2.762824539558955
31,NARRATOR,Response,Arousal,35696,70,1.084280746549766
32,NARRATOR,Response,Disgust,37025,1,0.01635073049230167
33,NARRATOR,Response,Disgust,37021,5,0.08003383424450922
34,NARRATOR,Response,Disgust,37016,10,0.15548817775948015
35,NARRATOR,Response,Disgust,37011,15,0.2273171779856776
36,NARRATOR,Response,Disgust,37006,20,0.2953650683086244
37,NARRATOR,Response,Disgust,36996,30,0.42407535105482447
38,NARRATOR,Response,Disgust,36976,50,0.5135522797414772
39,NARRATOR,Response,Disgust,36956,70,0.5533843296072849
40,NARRATOR,Response,Dominance,21578,1,0.5803515495969471
41,NARRATOR,Response,Dominance,21574,5,2.9000902826588444
42,NARRATOR,Response,Dominance,21569,10,5.768948746497444
43,NARRATOR,Response,Dominance,21564,15,8.428164213939995
44,NARRATOR,Response,Dominance,21559,20,10.592163861564766
45,NARRATOR,Response,Dominance,21549,30,13.120469412393467
