,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,13496,1,0.11925775685434753
1,NARRATOR,Other,Unknown,13492,5,0.500035770474811
2,NARRATOR,Other,Unknown,13487,10,0.8738721901256823
3,NARRATOR,Other,Unknown,13482,15,1.158695547788704
4,NARRATOR,Other,Unknown,13477,20,1.3914400655327452
5,NARRATOR,Other,Unknown,13467,30,1.7832741546002724
6,NARRATOR,Other,Unknown,13447,50,1.4899189466982072
7,NARRATOR,Other,Unknown,13427,70,1.5102601805525786
8,NARRATOR,Response,Anger,38535,1,0.06590449406332366
9,NARRATOR,Response,Anger,38531,5,0.3209526758941918
10,NARRATOR,Response,Anger,38526,10,0.629832443804041
11,NARRATOR,Response,Anger,38521,15,0.926896674781313
12,NARRATOR,Response,Anger,38516,20,1.2155764157283169
13,NARRATOR,Response,Anger,38506,30,1.766921798497433
14,NARRATOR,Response,Anger,38486,50,1.8614711779466138
15,NARRATOR,Response,Anger,38466,70,1.8283815772540344
16,NARRATOR,Response,Anticipation,31532,1,0.047664235404322144
17,NARRATOR,Response,Anticipation,31528,5,0.2348918805004317
18,NARRATOR,Response,Anticipation,31523,10,0.4651031466767432
19,NARRATOR,Response,Anticipation,31518,15,0.6922390778922238
20,NARRATOR,Response,Anticipation,31513,20,0.9175560899850229
21,NARRATOR,Response,Anticipation,31503,30,1.3608918429312136
22,NARRATOR,Response,Anticipation,31483,50,1.6061712660216214
23,NARRATOR,Response,Anticipation,31463,70,1.628882905892965
24,NARRATOR,Response,Arousal,13496,1,0.020819384128507576
25,NARRATOR,Response,Arousal,13492,5,0.10033395026711568
26,NARRATOR,Response,Arousal,13487,10,0.19744735794046156
27,NARRATOR,Response,Arousal,13482,15,0.2937528863241201
28,NARRATOR,Response,Arousal,13477,20,0.3872887631054285
29,NARRATOR,Response,Arousal,13467,30,0.574241985403788
30,NARRATOR,Response,Arousal,13447,50,0.7767533465737733
31,NARRATOR,Response,Arousal,13427,70,0.8683883908330272
32,NARRATOR,Response,Disgust,55204,1,0.40673793931751195
33,NARRATOR,Response,Disgust,55200,5,2.03285392986339
34,NARRATOR,Response,Disgust,55195,10,4.0585915103956545
35,NARRATOR,Response,Disgust,55190,15,6.043461187484903
36,NARRATOR,Response,Disgust,55185,20,7.921411948245816
37,NARRATOR,Response,Disgust,55175,30,11.109009325625305
38,NARRATOR,Response,Disgust,55155,50,3.0154963200582747
39,NARRATOR,Response,Disgust,55135,70,1.164068689409284
40,NARRATOR,Response,Dominance,55204,1,0.06063454255350019
41,NARRATOR,Response,Dominance,55200,5,0.29970459499866015
42,NARRATOR,Response,Dominance,55195,10,0.594381963539855
43,NARRATOR,Response,Dominance,55190,15,0.8854446843994901
44,NARRATOR,Response,Dominance,55185,20,1.1730811424768592
45,NARRATOR,Response,Dominance,55175,30,1.731332428307432
46,NARRATOR,Response,Dominance,55155,50,1.8902826444227923
47,NARRATOR,Response,Dominance,55135,70,1.8760976870151886
48,NARRATOR,Response,Fear,55204,1,0.40673793931751195
49,NARRATOR,Response,Fear,55200,5,2.03285392986339
50,NARRATOR,Response,Fear,55195,10,4.0585915103956545
51,NARRATOR,Response,Fear,55190,15,6.043461187484903
52,NARRATOR,Response,Fear,55185,20,7.921411948245816
53,NARRATOR,Response,Fear,55175,30,11.109009325625305
54,NARRATOR,Response,Fear,55155,50,3.0154963200582747
55,NARRATOR,Response,Fear,55135,70,1.164068689409284
56,NARRATOR,Response,Joy,55204,1,0.6264675362230804
57,NARRATOR,Response,Joy,55200,5,3.1294907077807896
58,NARRATOR,Response,Joy,55195,10,6.242178092319365
59,NARRATOR,Response,Joy,55190,15,9.207559786129357
60,NARRATOR,Response,Joy,55185,20,11.697343806138125
61,NARRATOR,Response,Joy,55175,30,14.573715576492203
62,NARRATOR,Response,Joy,55155,50,0.9976538333774242
63,NARRATOR,Response,Joy,55135,70,0.15712514824484491
64,NARRATOR,Response,Sadness,55204,1,0.4475959008173278
65,NARRATOR,Response,Sadness,55200,5,2.2310544820717713
66,NARRATOR,Response,Sadness,55195,10,4.444560889211082
67,NARRATOR,Response,Sadness,55190,15,6.582243545361457
68,NARRATOR,Response,Sadness,55185,20,8.551318520329481
69,NARRATOR,Response,Sadness,55175,30,11.652114466720784
70,NARRATOR,Response,Sadness,55155,50,2.7970477848594553
71,NARRATOR,Response,Sadness,55135,70,1.0541723712515612
72,NARRATOR,Response,Surprise,55204,1,0.3833062029984753
73,NARRATOR,Response,Surprise,55200,5,1.9083944681573304
74,NARRATOR,Response,Surprise,55195,10,3.8004890695922713
75,NARRATOR,Response,Surprise,55190,15,5.636741288472872
76,NARRATOR,Response,Surprise,55185,20,7.360292760571073
77,NARRATOR,Response,Surprise,55175,30,10.25339347221613
78,NARRATOR,Response,Surprise,55155,50,3.548949653491347
79,NARRATOR,Response,Surprise,55135,70,1.725083896313047
80,NARRATOR,Response,Trust,31532,1,0.008653181675907503
81,NARRATOR,Response,Trust,31528,5,0.04032574942391832
82,NARRATOR,Response,Trust,31523,10,0.07514522476122117
83,NARRATOR,Response,Trust,31518,15,0.10728069784322809
84,NARRATOR,Response,Trust,31513,20,0.13581430425457994
85,NARRATOR,Response,Trust,31503,30,0.18656360962752339
86,NARRATOR,Response,Trust,31483,50,0.22072707847499037
87,NARRATOR,Response,Trust,31463,70,0.24928737718517358
88,NARRATOR,Response,Valence,31532,1,0.9968285890614794
89,NARRATOR,Response,Valence,31528,5,4.980558966037087
90,NARRATOR,Response,Valence,31523,10,9.934590255495422
91,NARRATOR,Response,Valence,31518,15,14.076459627959448
92,NARRATOR,Response,Valence,31513,20,14.906955002895124
93,NARRATOR,Response,Valence,31503,30,14.943201601141395
94,NARRATOR,Response,Valence,31483,50,0.003643037204383769
95,NARRATOR,Response,Valence,31463,70,0.0
96,NARRATOR,Stimulus,Anger,55204,1,0.40673793931751195
97,NARRATOR,Stimulus,Anger,55200,5,2.03285392986339
98,NARRATOR,Stimulus,Anger,55195,10,4.0585915103956545
99,NARRATOR,Stimulus,Anger,55190,15,6.043461187484903
100,NARRATOR,Stimulus,Anger,55185,20,7.921411948245816
101,NARRATOR,Stimulus,Anger,55175,30,11.109009325625305
102,NARRATOR,Stimulus,Anger,55155,50,3.0154963200582747
103,NARRATOR,Stimulus,Anger,55135,70,1.164068689409284
104,NARRATOR,Stimulus,Anticipation,31532,1,0.8286869446021117
105,NARRATOR,Stimulus,Anticipation,31528,5,4.141783960266123
106,NARRATOR,Stimulus,Anticipation,31523,10,8.25773891910547
107,NARRATOR,Stimulus,Anticipation,31518,15,11.930330489070899
108,NARRATOR,Stimulus,Anticipation,31513,20,14.059185739427855
109,NARRATOR,Stimulus,Anticipation,31503,30,14.908823372199778
110,NARRATOR,Stimulus,Anticipation,31483,50,0.0
111,NARRATOR,Stimulus,Anticipation,31463,70,0.002603685125151632
112,NARRATOR,Stimulus,Arousal,55204,1,0.9964593525068168
113,NARRATOR,Stimulus,Arousal,55200,5,4.980809612318874
114,NARRATOR,Stimulus,Arousal,55195,10,9.946982742046085
115,NARRATOR,Stimulus,Arousal,55190,15,14.446338648991578
116,NARRATOR,Stimulus,Arousal,55185,20,15.687573863714894
117,NARRATOR,Stimulus,Arousal,55175,30,15.75154586256853
118,NARRATOR,Stimulus,Arousal,55155,50,0.0
119,NARRATOR,Stimulus,Arousal,55135,70,0.0
120,NARRATOR,Stimulus,Disgust,55204,1,0.7830632893984535
121,NARRATOR,Stimulus,Disgust,55200,5,3.9135595836420727
122,NARRATOR,Stimulus,Disgust,55195,10,7.809486384923836
123,NARRATOR,Stimulus,Disgust,55190,15,11.440630349210473
124,NARRATOR,Stimulus,Disgust,55185,20,13.972942174502819
125,NARRATOR,Stimulus,Disgust,55175,30,15.592556694128898
126,NARRATOR,Stimulus,Disgust,55155,50,0.0
