,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,46777,1,0.12845394205214306
1,NARRATOR,Other,Unknown,46773,5,0.5981137685781405
2,NARRATOR,Other,Unknown,46768,10,1.1491806612225117
3,NARRATOR,Other,Unknown,46763,15,1.668063267582507
4,NARRATOR,Other,Unknown,46758,20,2.156868800495858
5,NARRATOR,Other,Unknown,46748,30,3.063256978625117
6,NARRATOR,Other,Unknown,46728,50,2.892351764052032
7,NARRATOR,Other,Unknown,46708,70,2.7408629721389346
8,NARRATOR,Response,Anger,46777,1,0.02940476667104109
9,NARRATOR,Response,Anger,46773,5,0.14602704668780772
10,NARRATOR,Response,Anger,46768,10,0.29026041166311206
11,NARRATOR,Response,Anger,46763,15,0.4326496999935389
12,NARRATOR,Response,Anger,46758,20,0.5735885241738394
13,NARRATOR,Response,Anger,46748,30,0.853871731412042
14,NARRATOR,Response,Anger,46728,50,1.0818733913567884
15,NARRATOR,Response,Anger,46708,70,1.1587228314360272
16,NARRATOR,Response,Anticipation,46777,1,0.04899366038472755
17,NARRATOR,Response,Anticipation,46773,5,0.24253819326753642
18,NARRATOR,Response,Anticipation,46768,10,0.47993518887542047
19,NARRATOR,Response,Anticipation,46763,15,0.7126358140977506
20,NARRATOR,Response,Anticipation,46758,20,0.9412959298209698
21,NARRATOR,Response,Anticipation,46748,30,1.386418042530245
22,NARRATOR,Response,Anticipation,46728,50,1.5949915073767849
23,NARRATOR,Response,Anticipation,46708,70,1.6429455968714433
24,NARRATOR,Response,Arousal,46777,1,0.13618199220257882
25,NARRATOR,Response,Arousal,46773,5,0.6640481580132194
26,NARRATOR,Response,Arousal,46768,10,1.3028849609039952
27,NARRATOR,Response,Arousal,46763,15,1.914538964670051
28,NARRATOR,Response,Arousal,46758,20,2.4932649714044066
29,NARRATOR,Response,Arousal,46748,30,3.5642560652784465
30,NARRATOR,Response,Arousal,46728,50,3.050473440636534
31,NARRATOR,Response,Arousal,46708,70,2.8216847241141396
32,NARRATOR,Response,Disgust,46777,1,0.019938001561182587
33,NARRATOR,Response,Disgust,46773,5,0.09929231092581589
34,NARRATOR,Response,Disgust,46768,10,0.19769719492076926
35,NARRATOR,Response,Disgust,46763,15,0.29562589500731284
36,NARRATOR,Response,Disgust,46758,20,0.3927701833051385
37,NARRATOR,Response,Disgust,46748,30,0.5842323216856898
38,NARRATOR,Response,Disgust,46728,50,0.7796962961326608
39,NARRATOR,Response,Disgust,46708,70,0.861272148031119
40,NARRATOR,Response,Dominance,46777,1,0.20706578818252952
41,NARRATOR,Response,Dominance,46773,5,0.9836552718205207
42,NARRATOR,Response,Dominance,46768,10,1.90185093869646
43,NARRATOR,Response,Dominance,46763,15,2.7491046606449996
44,NARRATOR,Response,Dominance,46758,20,3.511419251443342
45,NARRATOR,Response,Dominance,46748,30,4.837585277682388
46,NARRATOR,Response,Dominance,46728,50,3.5527788403261438
47,NARRATOR,Response,Dominance,46708,70,3.0970630221020214
48,NARRATOR,Response,Fear,12051,1,0.06698599837850898
49,NARRATOR,Response,Fear,12047,5,0.3243697894569296
50,NARRATOR,Response,Fear,12042,10,0.628201675030894
51,NARRATOR,Response,Fear,12037,15,0.9100449636989665
52,NARRATOR,Response,Fear,12032,20,1.1659494772972008
53,NARRATOR,Response,Fear,12022,30,1.6240351787467209
54,NARRATOR,Response,Fear,12002,50,1.498273376262529
55,NARRATOR,Response,Fear,11982,70,1.403925086154045
56,NARRATOR,Response,Joy,62482,1,0.3542443004596476
57,NARRATOR,Response,Joy,62478,5,1.764532781337044
58,NARRATOR,Response,Joy,62473,10,3.515041708751932
59,NARRATOR,Response,Joy,62468,15,5.219879239095179
60,NARRATOR,Response,Joy,62463,20,6.8323611281229155
61,NARRATOR,Response,Joy,62453,30,9.635398174726951
62,NARRATOR,Response,Joy,62433,50,3.772425847615191
63,NARRATOR,Response,Joy,62413,70,1.8850266188396732
64,NARRATOR,Response,Sadness,14901,1,0.21645255362292742
65,NARRATOR,Response,Sadness,14897,5,1.0796769785504001
66,NARRATOR,Response,Sadness,14892,10,2.1487807222025896
67,NARRATOR,Response,Sadness,14887,15,3.1890338718375557
68,NARRATOR,Response,Sadness,14882,20,4.184382880892955
69,NARRATOR,Response,Sadness,14872,30,6.006096280036384
70,NARRATOR,Response,Sadness,14852,50,4.034786556476179
71,NARRATOR,Response,Sadness,14832,70,2.844522245604406
72,NARRATOR,Response,Surprise,32839,1,0.04089936404804193
73,NARRATOR,Response,Surprise,32835,5,0.2004188510678995
74,NARRATOR,Response,Surprise,32830,10,0.3973766075828331
75,NARRATOR,Response,Surprise,32825,15,0.5911660871085366
76,NARRATOR,Response,Surprise,32820,20,0.7831210966364729
77,NARRATOR,Response,Surprise,32810,30,1.1583803603257803
78,NARRATOR,Response,Surprise,32790,50,1.4208659499104592
79,NARRATOR,Response,Surprise,32770,70,1.5114190657338655
80,NARRATOR,Response,Trust,12051,1,0.40127799581999724
81,NARRATOR,Response,Trust,12047,5,2.004578115719511
82,NARRATOR,Response,Trust,12042,10,3.9786213601288543
83,NARRATOR,Response,Trust,12037,15,5.849330651202841
84,NARRATOR,Response,Trust,12032,20,7.528467314223339
85,NARRATOR,Response,Trust,12022,30,10.103846429636286
86,NARRATOR,Response,Trust,12002,50,2.8528851910200594
87,NARRATOR,Response,Trust,11982,70,1.2840047158804737
88,NARRATOR,Response,Valence,46777,1,0.2333920152413254
89,NARRATOR,Response,Valence,46773,5,1.09884353975611
90,NARRATOR,Response,Valence,46768,10,2.1140426010114117
91,NARRATOR,Response,Valence,46763,15,3.0374686955313264
92,NARRATOR,Response,Valence,46758,20,3.8499954583846265
93,NARRATOR,Response,Valence,46748,30,5.243797105224518
94,NARRATOR,Response,Valence,46728,50,3.6689790955735457
95,NARRATOR,Response,Valence,46708,70,3.1644554851840185
96,NARRATOR,Stimulus,Anger,22907,1,0.031742522725462186
97,NARRATOR,Stimulus,Anger,22903,5,0.15809511903535847
98,NARRATOR,Stimulus,Anger,22898,10,0.313812180898518
99,NARRATOR,Stimulus,Anger,22893,15,0.46774516306643216
100,NARRATOR,Stimulus,Anger,22888,20,0.6170690868930522
101,NARRATOR,Stimulus,Anger,22878,30,0.9012987033796919
102,NARRATOR,Stimulus,Anger,22858,50,1.0450217251615583
103,NARRATOR,Stimulus,Anger,22838,70,1.0925266045361817
104,NARRATOR,Stimulus,Anticipation,22907,1,0.04288666802135722
105,NARRATOR,Stimulus,Anticipation,22903,5,0.2134826998264333
106,NARRATOR,Stimulus,Anticipation,22898,10,0.42316355831404934
107,NARRATOR,Stimulus,Anticipation,22893,15,0.6259792209842355
108,NARRATOR,Stimulus,Anticipation,22888,20,0.8224985528560699
109,NARRATOR,Stimulus,Anticipation,22878,30,1.1991845774163563
110,NARRATOR,Stimulus,Anticipation,22858,50,1.3660340396365607
111,NARRATOR,Stimulus,Anticipation,22838,70,1.4142441828081425
112,NARRATOR,Stimulus,Arousal,31532,1,0.3511659678525099
113,NARRATOR,Stimulus,Arousal,31528,5,1.7509608694248573
114,NARRATOR,Stimulus,Arousal,31523,10,3.485657612364238
115,NARRATOR,Stimulus,Arousal,31518,15,5.164680707189543
116,NARRATOR,Stimulus,Arousal,31513,20,6.734501586328317
117,NARRATOR,Stimulus,Arousal,31503,30,9.402238170709277
118,NARRATOR,Stimulus,Arousal,31483,50,3.699195328993524
119,NARRATOR,Stimulus,Arousal,31463,70,1.8847615950257983
120,NARRATOR,Stimulus,Disgust,46777,1,0.15902288046571583
121,NARRATOR,Stimulus,Disgust,46773,5,0.7926515366830789
122,NARRATOR,Stimulus,Disgust,46768,10,1.5798369633665417
123,NARRATOR,Stimulus,Disgust,46763,15,2.355521691460109
124,NARRATOR,Stimulus,Disgust,46758,20,3.118416622540999
125,NARRATOR,Stimulus,Disgust,46748,30,4.57561398825818
126,NARRATOR,Stimulus,Disgust,46728,50,3.8727035255415005
127,NARRATOR,Stimulus,Disgust,46708,70,3.1636162239819074
128,NARRATOR,Stimulus,Dominance,26029,1,0.036050710194563705
129,NARRATOR,Stimulus,Dominance,26025,5,0.1728407000987854
130,NARRATOR,Stimulus,Dominance,26020,10,0.33733814143891416
131,NARRATOR,Stimulus,Dominance,26015,15,0.4952044838121889
132,NARRATOR,Stimulus,Dominance,26010,20,0.6459849217819362
133,NARRATOR,Stimulus,Dominance,26000,30,0.9274710138397974
134,NARRATOR,Stimulus,Dominance,25980,50,1.0373408716302823
135,NARRATOR,Stimulus,Dominance,25960,70,1.0835149626531009
136,NARRATOR,Stimulus,Fear,26029,1,0.11641277239826515
137,NARRATOR,Stimulus,Fear,26025,5,0.5779338953712865
138,NARRATOR,Stimulus,Fear,26020,10,1.1434196426975962
139,NARRATOR,Stimulus,Fear,26015,15,1.6938761879699604
140,NARRATOR,Stimulus,Fear,26010,20,2.219883675112276
141,NARRATOR,Stimulus,Fear,26000,30,3.182203462956297
142,NARRATOR,Stimulus,Fear,25980,50,2.808644341598891
143,NARRATOR,Stimulus,Fear,25960,70,2.5250194451717634
144,NARRATOR,Stimulus,Joy,46777,1,0.3214225264835985
145,NARRATOR,Stimulus,Joy,46773,5,1.6044486813309886
146,NARRATOR,Stimulus,Joy,46768,10,3.1984185918924584
147,NARRATOR,Stimulus,Joy,46763,15,4.7545006185076355
148,NARRATOR,Stimulus,Joy,46758,20,6.236736229487091
149,NARRATOR,Stimulus,Joy,46748,30,8.875268612546673
150,NARRATOR,Stimulus,Joy,46728,50,3.944717733620396
151,NARRATOR,Stimulus,Joy,46708,70,2.095280441756768
152,NARRATOR,Stimulus,Sadness,46777,1,0.27141991653741615
153,NARRATOR,Stimulus,Sadness,46773,5,1.3545094859745104
154,NARRATOR,Stimulus,Sadness,46768,10,2.699927026766214
155,NARRATOR,Stimulus,Sadness,46763,15,4.023811410619195
156,NARRATOR,Stimulus,Sadness,46758,20,5.298514196199033
157,NARRATOR,Stimulus,Sadness,46748,30,7.636551596574541
158,NARRATOR,Stimulus,Sadness,46728,50,4.197831058498674
