,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,35289,1,0.17914518759045522
1,NARRATOR,Other,Unknown,35285,5,0.8061784670696124
2,NARRATOR,Other,Unknown,35280,10,1.5401133171829275
3,NARRATOR,Other,Unknown,35275,15,2.2148607804226783
4,NARRATOR,Other,Unknown,35270,20,2.8336157496636747
5,NARRATOR,Other,Unknown,35260,30,3.9691647225929527
6,NARRATOR,Other,Unknown,35240,50,3.458823192730708
7,NARRATOR,Other,Unknown,35220,70,3.1648103066099846
8,NARRATOR,Response,Anger,35289,1,0.036228183977457584
9,NARRATOR,Response,Anger,35285,5,0.17941143185708142
10,NARRATOR,Response,Anger,35280,10,0.35669809792588353
11,NARRATOR,Response,Anger,35275,15,0.5308477561084566
12,NARRATOR,Response,Anger,35270,20,0.7019578532685753
13,NARRATOR,Response,Anger,35260,30,1.036892285635025
14,NARRATOR,Response,Anger,35240,50,1.2841285108326148
15,NARRATOR,Response,Anger,35220,70,1.3728699937578186
16,NARRATOR,Response,Anticipation,29763,1,0.7312628876895149
17,NARRATOR,Response,Anticipation,29759,5,3.655176787131897
18,NARRATOR,Response,Anticipation,29754,10,7.285217328384459
19,NARRATOR,Response,Anticipation,29749,15,10.623617464125735
20,NARRATOR,Response,Anticipation,29744,20,13.024553912506924
21,NARRATOR,Response,Anticipation,29734,30,14.699768193049108
22,NARRATOR,Response,Anticipation,29714,50,0.0
23,NARRATOR,Response,Anticipation,29694,70,0.021407880732892764
24,NARRATOR,Response,Arousal,35289,1,0.1607728437764151
25,NARRATOR,Response,Arousal,35285,5,0.774311913632839
26,NARRATOR,Response,Arousal,35280,10,1.5085053999760254
27,NARRATOR,Response,Arousal,35275,15,2.197575530724473
28,NARRATOR,Response,Arousal,35270,20,2.84025696961053
29,NARRATOR,Response,Arousal,35260,30,4.002167140070023
30,NARRATOR,Response,Arousal,35240,50,3.2856255299121306
31,NARRATOR,Response,Arousal,35220,70,2.9740451794486056
32,NARRATOR,Response,Disgust,35289,1,0.024173809702234737
33,NARRATOR,Response,Disgust,35285,5,0.11914882548172076
34,NARRATOR,Response,Disgust,35280,10,0.23695810281827556
35,NARRATOR,Response,Disgust,35275,15,0.3527553410389084
36,NARRATOR,Response,Disgust,35270,20,0.46765816115534914
