,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,14883,1,0.03078133214796729
1,NARRATOR,Other,Unknown,14879,5,0.1534813473990366
2,NARRATOR,Other,Unknown,14874,10,0.3050406622271916
3,NARRATOR,Other,Unknown,14869,15,0.4525448163173338
4,NARRATOR,Other,Unknown,14864,20,0.5991880661871962
5,NARRATOR,Other,Unknown,14854,30,0.8879026428980868
6,NARRATOR,Other,Unknown,14834,50,1.1215054213794047
7,NARRATOR,Other,Unknown,14814,70,1.2145487517498987
8,NARRATOR,Response,Anger,43000,1,0.789426786545995
9,NARRATOR,Response,Anger,42996,5,3.9442754680889163
10,NARRATOR,Response,Anger,42991,10,7.86884438940862
11,NARRATOR,Response,Anger,42986,15,11.486838815976363
12,NARRATOR,Response,Anger,42981,20,13.888638584519734
13,NARRATOR,Response,Anger,42971,30,15.267201075870181
14,NARRATOR,Response,Anger,42951,50,0.0
15,NARRATOR,Response,Anger,42931,70,0.013722353621149529
16,NARRATOR,Response,Anticipation,30325,1,0.4954487529497318
17,NARRATOR,Response,Anticipation,30321,5,2.4734097282427587
18,NARRATOR,Response,Anticipation,30316,10,4.922613097449282
19,NARRATOR,Response,Anticipation,30311,15,7.250506331421757
20,NARRATOR,Response,Anticipation,30306,20,9.295643159403483
21,NARRATOR,Response,Anticipation,30296,30,12.211005149292514
22,NARRATOR,Response,Anticipation,30276,50,2.100306423545095
23,NARRATOR,Response,Anticipation,30256,70,0.6655892315792253
24,NARRATOR,Response,Arousal,35772,1,0.06029151153121513
25,NARRATOR,Response,Arousal,35768,5,0.2909264683613697
26,NARRATOR,Response,Arousal,35763,10,0.568927150031899
27,NARRATOR,Response,Arousal,35758,15,0.8342703305356209
28,NARRATOR,Response,Arousal,35753,20,1.0885786182687553
29,NARRATOR,Response,Arousal,35743,30,1.5594449210683887
30,NARRATOR,Response,Arousal,35723,50,1.6184146908504977
31,NARRATOR,Response,Arousal,35703,70,1.6418909329327673
32,NARRATOR,Response,Disgust,26702,1,0.5074137535449997
33,NARRATOR,Response,Disgust,26698,5,2.5352535922088153
34,NARRATOR,Response,Disgust,26693,10,5.0517908860245635
35,NARRATOR,Response,Disgust,26688,15,7.446635141769963
36,NARRATOR,Response,Disgust,26683,20,9.538344804397726
37,NARRATOR,Response,Disgust,26673,30,12.47893494230916
38,NARRATOR,Response,Disgust,26653,50,1.8585096305664488
39,NARRATOR,Response,Disgust,26633,70,0.4409492669653679
40,NARRATOR,Response,Dominance,35765,1,0.3150109042168836
41,NARRATOR,Response,Dominance,35761,5,1.483473727482547
42,NARRATOR,Response,Dominance,35756,10,2.8488820670431547
43,NARRATOR,Response,Dominance,35751,15,4.050917339870817
44,NARRATOR,Response,Dominance,35746,20,5.043148985965314
45,NARRATOR,Response,Dominance,35736,30,6.595583002688019
46,NARRATOR,Response,Dominance,35716,50,3.7830233996136142
47,NARRATOR,Response,Dominance,35696,70,3.151873467076265
48,NARRATOR,Response,Fear,30325,1,0.6386308636850232
49,NARRATOR,Response,Fear,30321,5,3.191182129138654
50,NARRATOR,Response,Fear,30316,10,6.360579803884272
51,NARRATOR,Response,Fear,30311,15,9.317919172637136
52,NARRATOR,Response,Fear,30306,20,11.679400521819584
53,NARRATOR,Response,Fear,30296,30,14.100862362588362
54,NARRATOR,Response,Fear,30276,50,0.8454378669373498
55,NARRATOR,Response,Fear,30256,70,0.0950965721740813
56,NARRATOR,Response,Joy,30295,1,0.650622452065587
57,NARRATOR,Response,Joy,30291,5,3.252374871638697
58,NARRATOR,Response,Joy,30286,10,6.484734403833573
59,NARRATOR,Response,Joy,30281,15,9.518497003664262
60,NARRATOR,Response,Joy,30276,20,11.934761501788882
61,NARRATOR,Response,Joy,30266,30,14.302628482558838
62,NARRATOR,Response,Joy,30246,50,0.559494733335368
63,NARRATOR,Response,Joy,30226,70,0.09104769691425141
64,NARRATOR,Response,Sadness,30325,1,0.32396618428901713
