,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,23317,1,0.029122008001930468
1,NARRATOR,Other,Unknown,23313,5,0.14498284136582731
2,NARRATOR,Other,Unknown,23308,10,0.28828169799360126
3,NARRATOR,Other,Unknown,23303,15,0.42938188025370966
4,NARRATOR,Other,Unknown,23298,20,0.566358339631611
5,NARRATOR,Other,Unknown,23288,30,0.8364489736645466
6,NARRATOR,Other,Unknown,23268,50,1.0499776207733162
7,NARRATOR,Other,Unknown,23248,70,1.1239507437466905
8,NARRATOR,Response,Anger,35025,1,0.05849827936481915
9,NARRATOR,Response,Anger,35021,5,0.29105194331661005
10,NARRATOR,Response,Anger,35016,10,0.5790164147030901
11,NARRATOR,Response,Anger,35011,15,0.8630365461391726
12,NARRATOR,Response,Anger,35006,20,1.1444831748179585
13,NARRATOR,Response,Anger,34996,30,1.693745923123552
14,NARRATOR,Response,Anger,34976,50,1.9231763078781343
15,NARRATOR,Response,Anger,34956,70,1.918639817940807
16,NARRATOR,Response,Anticipation,16490,1,0.1529321540541666
17,NARRATOR,Response,Anticipation,16486,5,0.6975843934246899
18,NARRATOR,Response,Anticipation,16481,10,1.3036922996109381
19,NARRATOR,Response,Anticipation,16476,15,1.835248628765246
20,NARRATOR,Response,Anticipation,16471,20,2.3018164195368302
21,NARRATOR,Response,Anticipation,16461,30,3.109293965330019
22,NARRATOR,Response,Anticipation,16441,50,2.5643426599994794
23,NARRATOR,Response,Anticipation,16421,70,2.4418602348825678
24,NARRATOR,Response,Arousal,17256,1,0.381743814988178
25,NARRATOR,Response,Arousal,17252,5,1.9054536793375554
26,NARRATOR,Response,Arousal,17247,10,3.787673269288029
27,NARRATOR,Response,Arousal,17242,15,5.592316299159158
28,NARRATOR,Response,Arousal,17237,20,7.235087096762061
29,NARRATOR,Response,Arousal,17227,30,9.859603895419342
30,NARRATOR,Response,Arousal,17207,50,3.3482988061293453
31,NARRATOR,Response,Arousal,17187,70,1.4408613216578272
32,NARRATOR,Response,Disgust,35025,1,0.046257810414572206
33,NARRATOR,Response,Disgust,35021,5,0.23053201091614917
34,NARRATOR,Response,Disgust,35016,10,0.45981956140914093
35,NARRATOR,Response,Disgust,35011,15,0.6872906785814029
36,NARRATOR,Response,Disgust,35006,20,0.9126211176030183
